feature,inter_cluster_std,intra_cluster_mean_std,f_ratio
pipeline tag_text-generation,0.5748347637736968,0.031219527052723132,18.412667205421037
datasets :: MMLU,0.15508963447524785,0.07718704690580909,2.0092702142572683
pipeline tag_nan,0.3849001794597505,0.1924500897298753,1.999999998960769
datasets :: Average,0.12825711054934383,0.07068104076220129,1.814590008647326
architectural type_llama,0.41863186911475625,0.23645048950264483,1.7704842557876168
real architecture_LlamaForCausalLM,0.4135928478689535,0.23822699226582147,1.7361292427931094
UGI-Leaderboard :: W/10-Adherence,3.792663644546028,2.2116453694707974,1.7148606628928265
datasets :: ARC,0.1222421073258189,0.07334259955014372,1.6667272214093023
datasets :: GSM8K,0.24461433411205286,0.15176733821988572,1.6117719189122894
datasets :: Winogrande,0.07347994116196158,0.05356333366578687,1.371832856469742
UGI-Leaderboard :: W/10 👍,2.383394884883076,1.8059904400026512,1.3197162243824534
datasets :: HellaSwag,0.12471275598931833,0.09499883525375072,1.3127819464830361
UGI-Leaderboard :: Coding 💻,6.749655638598862,5.668778053870966,1.1906720591875606
UGI-Leaderboard :: UGI 🏆,9.875562091709966,8.637333935574647,1.1433576801889163
datasets :: TruthfulQA,0.06314809199819331,0.06155550042051474,1.025872447859437
UGI-Leaderboard :: NatInt 💡,7.22341718199385,7.108104315544271,1.016222731297821
pipeline tag_question-answering,0.19245008972987526,0.1924500897298753,0.9999999994803845
architectural type_nan,0.19245008972987526,0.1924500897298753,0.9999999994803845
real architecture_nan,0.19245008972987526,0.1924500897298753,0.9999999994803845
parameters_24B,0.19245008972987526,0.1924500897298753,0.9999999994803845
parameters_7B,0.2971794669558759,0.29999728832949984,0.9906071768569129
architectural type_mixtral,0.14433756729740646,0.1474419561548971,0.9789450097086083
real architecture_MixtralForCausalLM,0.14433756729740646,0.1474419561548971,0.9789450097086083
real architecture_MistralForCausalLM,0.37477122736870444,0.3969198461922963,0.9441987617135139
architectural type_mistral,0.37477122736870444,0.3969198461922963,0.9441987617135139
UGI-Leaderboard :: Societal/Political,0.7842457027705345,0.9283332071284638,0.8447890225880187
datasets :: Unnamed: 0,1291.2993642742183,1533.0466080788178,0.8423092667041373
likes,243.5500621894024,329.01751556404105,0.7402343360711536
parameters_34B,0.08609609277389156,0.11926071965820954,0.7219149184110553
parameters_4X7B,0.07216878364870323,0.11261065411536271,0.6408699438925534
parameters_22B,0.1786484503169748,0.29171099852657556,0.6124158881841334
version number,1.9283333382330172,3.2836341269798903,0.5872558462985243
created_at_numeric,9408560.801926926,16527924.874844909,0.5692523939436899
real architecture_Qwen2ForCausalLM,0.05064476045523033,0.09471172957101043,0.534725325270158
architectural type_qwen2,0.05064476045523033,0.09471172957101043,0.534725325270158
version_v0.1,0.17032477471196383,0.32209611318884707,0.5288010866471436
UGI-Leaderboard :: W/10-Direct,0.9642365197998373,1.8312225953428842,0.5265534196658572
parameters_13B,0.1667435956653012,0.31979043483240477,0.5214152064946732
parameters_10.7B,0.048112522432468816,0.09410995042887998,0.511237357602311
UGI-Leaderboard :: Total Parameters,4.146217035139301,10.954112995863905,0.3785077839407896
UGI-Leaderboard :: Active Parameters,4.146217035139301,10.954112995863905,0.3785077839407896
architectural type_gemma,0.025322380227615165,0.06856229541369838,0.3693339033923666
real architecture_GemmaForCausalLM,0.025322380227615165,0.06856229541369838,0.3693339033923666
parameters_6.7B,0.025322380227615165,0.06856229541369839,0.36933390339236655
parameters_4B,0.025322380227615165,0.06856229541369839,0.36933390339236655
