index,likes,downloads,datasets :: ARC,datasets :: Average,datasets :: GSM8K,datasets :: HellaSwag,datasets :: MMLU,datasets :: TruthfulQA,datasets :: Unnamed: 0,datasets :: Winogrande,version number,UGI-Leaderboard :: Internet,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: W/10 👍,created_at_numeric,pipeline tag_question-answering,pipeline tag_text-classification,pipeline tag_text-generation,pipeline tag_nan,architectural type_codegen,architectural type_deepseek_v2,architectural type_gemma,architectural type_gpt2,architectural type_gpt_bigcode,architectural type_llama,architectural type_mistral,architectural type_mixtral,architectural type_qwen2,architectural type_stablelm,architectural type_nan,real architecture_CodeGenForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_GPT2LMHeadModel,real architecture_GPTBigCodeForCausalLM,real architecture_GemmaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForSequenceClassification,real architecture_MistralForCausalLM,real architecture_MixtralForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_StableLmForCausalLM,real architecture_nan,parameters_0.5B,parameters_1.1B,parameters_1.3B,parameters_10.2B,parameters_10.7B,parameters_13B,parameters_14B,parameters_16B,parameters_22B,parameters_24B,parameters_2B,parameters_2X7B,parameters_32B,parameters_33B,parameters_34B,parameters_3B,parameters_3X7B,parameters_4B,parameters_4X7B,parameters_6.7B,parameters_60B,parameters_6B,parameters_70B,parameters_7B,parameters_8B,parameters_9B,parameters_nan,is instruct/chat_False,is instruct/chat_True,is instruct/chat_<NA>,version_v0.1,version_v1,version_v1.0,version_v1.3,version_v1.5,version_v1.9,version_v10,version_v11.1,version_v12,version_v13,version_v14,version_v2,version_v2.0,version_v3,version_v3.5,version_v4,version_v5,version_v6.1,version_nan,is_anomaly,anomaly_score,anomaly_label
mistralai/Codestral-22B-v0.1,1318,8549,,,,,,,,,0.1,1.6,22.53,1.3,6.5,1716982130,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.46430846279390214,Аномалия
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,509,220951,,,,,,,,,2.0,5.0,15.66,15.0,3.636363636,1718346213,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,-0.45665651547634384,Аномалия
cloudyu/60B_MoE_Coder_v3,3,63,0.71160409556314,0.7474618811869069,0.6694465504169825,0.8544114718183629,0.7536776152192871,0.6700593362662586,761,0.8255722178374112,3.0,,,,,1707369473,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,-0.43677989958562347,Аномалия
Gryphe/Codex-24B-Small-3.2,59,231,,,,,,,,,,2.7,37.73,4.2,8.5,1750595516,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.4330289035776558,Аномалия
CodeLlama-70b-Instruct-hf,208,3975,0.5503412969283277,0.599784412158893,0.4624715693707354,0.7723561043616809,0.5640310901888521,0.5044393244952377,5338,0.745067087608524,,0.0,0.0,0.0,0.0,1706526004,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.43162525904163324,Аномалия
shareAI/CodeLLaMA-chat-13b-Chinese,21,130,0.4325938566552901,0.4483836718796732,0.1076573161485974,0.6387173869747063,0.3428563918194793,0.4897083346128792,1336,0.6787687450670876,,,,,,1692943422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.4303390274896139,Аномалия
microsoft/CodeGPT-small-py,28,5924,0.2269624573378839,0.2916732535303711,0.0,0.2725552678749253,0.2504909026686048,0.5122645160316733,5602,0.4877663772691397,,,,,,1646263745,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.42948865751738063,Аномалия
failspy/Codestral-22B-v0.1-abliterated-v3,12,8634,,,,,,,,,0.1,5.0,17.57,40.0,4.545454545,1717434507,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.4232647274229547,Аномалия
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,2,63,0.2926621160409556,0.301795696841213,0.0,0.2613025293766182,0.2464302446713588,0.4997242001927576,208,0.510655090765588,,,,,,1706589314,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.42156347787299,Аномалия
codeparrot/codeparrot,111,1316,0.2167235494880546,0.2947699491145046,0.0022744503411675,0.2834096793467436,0.2555426340354811,0.5086962165189903,3513,0.5019731649565904,,,,,,1646263745,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.4210767149814314,Аномалия
