Признак,Направление отличия,Разница средних,Абсолютная разница,Среднее (нормальные),Среднее (аномальные)
pipeline tag_text-generation,АНАМАЛЬНЫЕ НИЖЕ,-1.7209204248294758,1.7209204248294758,0.17087153154335252,-1.5500488932861234
pipeline tag_nan,АНАМАЛЬНЫЕ ВЫШЕ,1.2080882898639067,1.2080882898639067,-0.11995202878081368,1.0881362610830931
real architecture_LlamaForCausalLM,АНАМАЛЬНЫЕ НИЖЕ,-1.1031426873658854,1.1031426873658854,0.10953189803632901,-0.9936107893295564
UGI-Leaderboard :: Unruly,АНАМАЛЬНЫЕ ВЫШЕ,1.0649054151466257,1.0649054151466257,-0.10573528944718272,0.959170125699443
likes,АНАМАЛЬНЫЕ ВЫШЕ,1.0618815974080207,1.0618815974080207,-0.10543505222490988,0.9564465451831108
architectural type_llama,АНАМАЛЬНЫЕ НИЖЕ,-0.959379680831957,0.959379680831957,0.09525755696203823,-0.8641221238699188
parameters_22B,АНАМАЛЬНЫЕ ВЫШЕ,0.935402286517008,0.935402286517008,-0.09287682277473822,0.8425254637422698
version_v2,АНАМАЛЬНЫЕ ВЫШЕ,0.9354022865170076,0.9354022865170076,-0.092876822774738,0.8425254637422697
UGI-Leaderboard :: Internet,АНАМАЛЬНЫЕ ВЫШЕ,0.9085685665895253,0.9085685665895253,-0.09021248178903042,0.8183560848004949
architectural type_deepseek_v2,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337204,0.8511910708337204,-0.08451542547285144,0.766675645360869
parameters_60B,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337204,0.8511910708337204,-0.08451542547285144,0.766675645360869
real architecture_DeepseekV2ForCausalLM,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337204,0.8511910708337204,-0.08451542547285144,0.766675645360869
parameters_24B,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337203,0.8511910708337203,-0.08451542547285144,0.7666756453608689
version_v1.3,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337203,0.8511910708337203,-0.08451542547285144,0.7666756453608689
pipeline tag_text-classification,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337201,0.8511910708337201,-0.08451542547285144,0.7666756453608687
real architecture_LlamaForSequenceClassification,АНАМАЛЬНЫЕ ВЫШЕ,0.8511910708337201,0.8511910708337201,-0.08451542547285144,0.7666756453608687
pipeline tag_question-answering,АНАМАЛЬНЫЕ ВЫШЕ,0.85119107083372,0.85119107083372,-0.08451542547285144,0.7666756453608686
real architecture_nan,АНАМАЛЬНЫЕ ВЫШЕ,0.85119107083372,0.85119107083372,-0.08451542547285144,0.7666756453608686
architectural type_nan,АНАМАЛЬНЫЕ ВЫШЕ,0.85119107083372,0.85119107083372,-0.08451542547285144,0.7666756453608686
real architecture_GPT2LMHeadModel,АНАМАЛЬНЫЕ ВЫШЕ,0.7656063307312233,0.7656063307312233,-0.07601764985983762,0.6895886808713857
