Признак,Среднее (нормальные),Среднее (аномальные),Медиана (нормальные),Медиана (аномальные),Стд. отклонение (нормальные),Стд. отклонение (аномальные),Разница средних,Абсолютная разница
pipeline tag_text-generation,0.17087153154335252,-1.5500488932861234,0.17087153154335247,0.17087153154335247,5.551115123125783e-17,2.7210141071828637,-1.7209204248294758,1.7209204248294758
pipeline tag_nan,-0.11995202878081368,1.0881362610830931,-0.11995202878081344,-0.11995202878081344,2.3592239273284576e-16,2.9591998743981107,1.2080882898639067,1.2080882898639067
real architecture_LlamaForCausalLM,0.10953189803632901,-0.9936107893295564,0.7760623217710853,-1.2885563078463302,0.9653332710963278,0.722466022286703,-1.1031426873658854,1.1031426873658854
UGI-Leaderboard :: Unruly,-0.10573528944718272,0.959170125699443,-0.0984776112095313,-0.0984776112095313,0.07413026196111665,3.0000254878507926,1.0649054151466257,1.0649054151466257
likes,-0.10543505222490988,0.9564465451831108,-0.3412487569055441,-0.25663666770797955,0.563414063264533,2.485196766538936,1.0618815974080207,1.0618815974080207
architectural type_llama,0.09525755696203823,-0.8641221238699188,0.7643753416492111,-1.3082577962842268,0.969080535321279,0.8504550645820947,-0.959379680831957,0.959379680831957
parameters_22B,-0.09287682277473822,0.8425254637422698,-0.14744195615489714,-0.14744195615489714,0.6124921031165284,2.424915040727637,0.935402286517008,0.935402286517008
version_v2,-0.092876822774738,0.8425254637422697,-0.14744195615489714,-0.14744195615489714,0.6124921031165289,2.4249150407276368,0.9354022865170076,0.9354022865170076
UGI-Leaderboard :: Internet,-0.09021248178903042,0.8183560848004949,-0.041146395325163745,-0.041146395325163745,0.3380736505059515,2.879424938357442,0.9085685665895253,0.9085685665895253
architectural type_deepseek_v2,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,2.0816681711721685e-16,3.0690130511080786,0.8511910708337204,0.8511910708337204
