index,likes,downloads,datasets :: ARC,datasets :: Average,datasets :: GSM8K,datasets :: HellaSwag,datasets :: MMLU,datasets :: TruthfulQA,datasets :: Unnamed: 0,datasets :: Winogrande,version number,UGI-Leaderboard :: Internet,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: W/10 👍,created_at_numeric,pipeline tag_question-answering,pipeline tag_text-classification,pipeline tag_text-generation,pipeline tag_nan,architectural type_codegen,architectural type_deepseek_v2,architectural type_gemma,architectural type_gpt2,architectural type_gpt_bigcode,architectural type_llama,architectural type_mistral,architectural type_mixtral,architectural type_qwen2,architectural type_stablelm,architectural type_nan,real architecture_CodeGenForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_GPT2LMHeadModel,real architecture_GPTBigCodeForCausalLM,real architecture_GemmaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForSequenceClassification,real architecture_MistralForCausalLM,real architecture_MixtralForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_StableLmForCausalLM,real architecture_nan,parameters_0.5B,parameters_1.1B,parameters_1.3B,parameters_10.2B,parameters_10.7B,parameters_13B,parameters_14B,parameters_16B,parameters_22B,parameters_24B,parameters_2B,parameters_2X7B,parameters_32B,parameters_33B,parameters_34B,parameters_3B,parameters_3X7B,parameters_4B,parameters_4X7B,parameters_6.7B,parameters_60B,parameters_6B,parameters_70B,parameters_7B,parameters_8B,parameters_9B,parameters_nan,is instruct/chat_False,is instruct/chat_True,is instruct/chat_<NA>,version_v0.1,version_v1,version_v1.0,version_v1.3,version_v1.5,version_v1.9,version_v10,version_v11.1,version_v12,version_v13,version_v14,version_v2,version_v2.0,version_v3,version_v3.5,version_v4,version_v5,version_v6.1,version_nan,is_anomaly_lof,lof_score,lof_label
shareAI/CodeLLaMA-chat-13b-Chinese,21,130,0.4325938566552901,0.4483836718796732,0.1076573161485974,0.6387173869747063,0.3428563918194793,0.4897083346128792,1336,0.6787687450670876,,,,,,1692943422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,4.743068003290466,Аномалия
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,509,220951,,,,,,,,,2.0,5.0,15.66,15.0,3.636363636,1718346213,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,4.25333455556314,Аномалия
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,2,63,0.2926621160409556,0.301795696841213,0.0,0.2613025293766182,0.2464302446713588,0.4997242001927576,208,0.510655090765588,,,,,,1706589314,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,4.064702938603628,Аномалия
stabilityai/stable-code-3b,658,5635,0.3532423208191126,0.4152714344941353,0.1956027293404094,0.5744871539533958,0.3753183003253452,0.4160246692195242,2151,0.5769534333070244,,,,,,1704765838,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,3.9033039704688712,Аномалия
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,81,1052,0.3267918088737201,0.3414593698728914,0.0,0.476000796654053,0.2862565924952323,0.4040637694384942,2332,0.5556432517758485,,,,,,1683317045,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,3.8417688198430633,Аномалия
Qwen/Qwen2.5-Coder-0.5B-Instruct,54,5952727,,,,,,,,,,0.6,11.51,0.6,3.5,1730879366,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,3.4835458552892127,Аномалия
Salesforce/codegen-16B-nl,18,1081,0.4675767918088737,0.4258935558882286,0.026535253980288,0.7186815375423222,0.3235430166341825,0.3394667243139816,599,0.6795580110497238,,,,,,1649811116,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,3.333451270017561,Аномалия
Gryphe/Codex-24B-Small-3.2,59,231,,,,,,,,,,2.7,37.73,4.2,8.5,1750595516,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,3.2920691667369084,Аномалия
Ramikan-BR/tinyllama-coder-py-v14,0,9,0.3071672354948805,0.344627367395758,0.0189537528430629,0.5147380999800837,0.2510606751470485,0.4036266034982647,3282,0.5722178374112076,14.0,,,,,1717072575,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,3.0554677987041052,Аномалия
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v5,0,36,0.2824232081911262,0.3235495911604487,0.0022744503411675,0.4353714399522007,0.2412900451560516,0.4369234072684756,3279,0.5430149960536701,5.0,,,,,1715354973,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,3.026350381757344,Аномалия
