Признак,Среднее (нормальные),Среднее (локальные аномалии),Медиана (нормальные),Медиана (локальные аномалии),Разница средних,Абсолютная разница
pipeline tag_text-generation,0.12344459070159555,-1.1198187870787544,0.17087153154335247,0.17087153154335247,-1.24326337778035,1.24326337778035
parameters_nan,-0.08965418684369171,0.8132915520820605,-0.3450327796711772,-0.3450327796711772,0.9029457389257523,0.9029457389257523
real architecture_StableLmForCausalLM,-0.08451542547285144,0.766675645360869,-0.08451542547285167,-0.08451542547285167,0.8511910708337204,0.8511910708337204
real architecture_DeepseekV2ForCausalLM,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,0.8511910708337204,0.8511910708337204
architectural type_stablelm,-0.08451542547285144,0.766675645360869,-0.08451542547285167,-0.08451542547285167,0.8511910708337204,0.8511910708337204
parameters_0.5B,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,0.8511910708337204,0.8511910708337204
architectural type_deepseek_v2,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,0.8511910708337204,0.8511910708337204
parameters_24B,-0.08451542547285144,0.766675645360869,-0.08451542547285165,-0.08451542547285165,0.8511910708337204,0.8511910708337204
real architecture_LlamaForSequenceClassification,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,0.8511910708337203,0.8511910708337203
architectural type_gpt_bigcode,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,0.8511910708337203,0.8511910708337203
real architecture_GPTBigCodeForCausalLM,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,0.8511910708337203,0.8511910708337203
pipeline tag_text-classification,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,0.8511910708337203,0.8511910708337203
version_v1.3,-0.08451542547285144,0.7666756453608689,-0.08451542547285165,-0.08451542547285165,0.8511910708337203,0.8511910708337203
version_v3.5,-0.08451542547285144,0.7666756453608687,-0.08451542547285164,-0.08451542547285164,0.8511910708337201,0.8511910708337201
architectural type_nan,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
version_v4,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
real architecture_nan,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
version_v14,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
version_v5,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
version_v13,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
pipeline tag_question-answering,-0.08451542547285144,0.7666756453608686,-0.08451542547285164,-0.08451542547285164,0.85119107083372,0.85119107083372
parameters_16B,-0.08451542547285144,0.7666756453608684,-0.08451542547285164,-0.08451542547285164,0.8511910708337198,0.8511910708337198
downloads,-0.0835324602325511,0.7577587463952851,-0.11446579728918922,-0.11630313726233082,0.8412912066278362,0.8412912066278362
version number,-0.08243413574474354,0.7477953742558886,-0.210657738471873,-0.210657738471873,0.8302295100006322,0.8302295100006322
datasets :: MMLU,0.07374032925899844,-0.6689301297066353,0.031027409398942284,-0.8745879968185183,-0.7426704589656338,0.7426704589656338
datasets :: Average,0.07213991455158743,-0.6544120820036837,-0.129591363401368,-0.6003804640780916,-0.7265519965552711,0.7265519965552711
datasets :: Winogrande,0.07015914700299429,-0.6364436906700116,-0.008516688643727226,-0.6043598292526098,-0.7066028376730059,0.7066028376730059
datasets :: ARC,0.06896045829508599,-0.6255698716768584,-0.0205150741993291,-0.6245836372881417,-0.6945303299719444,0.6945303299719444
datasets :: GSM8K,0.06634331031969308,-0.6018286007572154,-0.26290836061976686,-0.7995535847216373,-0.6681719110769085,0.6681719110769085
parameters_4B,-0.06401440064395388,0.5807020629844376,-0.1917412472118426,-0.1917412472118426,0.6447164636283915,0.6447164636283915
datasets :: Unnamed: 0,0.0628595866407904,-0.5702262502414567,-0.17340690674896286,-0.22855196582761345,-0.6330858368822471,0.6330858368822471
real architecture_LlamaForCausalLM,0.06076137922646893,-0.5511925115543962,0.7760623217710853,-1.2885563078463302,-0.6119538907808652,0.6119538907808652
created_at_numeric,-0.059091408746126776,0.5360434936255662,0.04882760212141629,0.8346675641649137,0.595134902371693,0.595134902371693
UGI-Leaderboard :: W/10 👍,-0.058856371979922266,0.5339113743893077,-0.07970517055896939,-0.07970517055896939,0.5927677463692299,0.5927677463692299
version_nan,0.057266054868054764,-0.5194849263030703,0.6073977599851281,-0.5194849263030703,-0.5767509811711251,0.5767509811711251
