Признак,Важность (среднее),Важность (std),Важность (min),Важность (max)
LyraxiZen/UGI-Leaderboard :: I/10 📚,0.0,0.0,-0.34429838709677485,0.006827419354839215
LyraxiZen/UGI-Leaderboard :: Reg+Int 🏆,0.0,0.0,0.0,0.0
LyraxiZen/UGI-Leaderboard :: Reg+MyScore 🏆,0.0,0.0,-0.40687258064516163,0.031630645161289106
LyraxiZen/UGI-Leaderboard :: Writing,0.0,0.0,-2.3545161290322585,0.006827419354839215
assets :: ARC,0.0,0.0,-0.40687258064516163,0.031630645161289106
assets :: Average ⬆️,0.0,0.0,-0.40687258064516163,0.031630645161289106
assets :: GSM8K,0.0,0.0,-0.31030645161290327,0.1706951612903227
assets :: HellaSwag,0.0,0.0,-0.31030645161290327,0.1706951612903227
downloads,-0.004087741935483979,0.006244128946933543,-0.31030645161290327,0.1706951612903227
likes,-0.2235314516129034,0.11843914439140285,-0.34429838709677485,0.006827419354839215
