index,model_index,som_x,som_y,quantization_error,cluster
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1,1,8.932404923402206,3
failspy/Codestral-22B-v0.1-abliterated-v3,failspy/Codestral-22B-v0.1-abliterated-v3,2,5,4.9906056005218415,3
S-miguel/The-Trinity-Coder-7B,S-miguel/The-Trinity-Coder-7B,6,6,2.7495995086754843,2
cloudyu/60B_MoE_Coder_v3,cloudyu/60B_MoE_Coder_v3,6,4,5.991632016651016,2
Qwen/CodeQwen1.5-7B-Chat,Qwen/CodeQwen1.5-7B-Chat,0,1,4.556106308152281,3
Gryphe/Codex-24B-Small-3.2,Gryphe/Codex-24B-Small-3.2,6,1,4.832363696972649,1
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct,0,1,4.622485563157666,3
01-ai/Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,1,0,4.887665733293682,3
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,4.197547341425188,3
Qwen/Qwen2.5-Coder-14B-Instruct,Qwen/Qwen2.5-Coder-14B-Instruct,0,1,11.80024712198724,3
Qwen/Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,0,1,7.614192135631228,3
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,0,1,5.628448362033058,3
mistralai/Codestral-22B-v0.1,mistralai/Codestral-22B-v0.1,6,2,3.8927216340953823,1
prithivMLmods/Viper-Coder-HybridMini-v1.3,prithivMLmods/Viper-Coder-HybridMini-v1.3,0,0,4.817750570228514,3
huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,0,1,10.466583461032519,3
WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,0,1,3.9058712764750525,3
codellama/CodeLlama-7b-Instruct-hf,codellama/CodeLlama-7b-Instruct-hf,1,3,4.251649476648043,3
codellama/CodeLlama-34b-Instruct-hf,codellama/CodeLlama-34b-Instruct-hf,3,3,5.044552618253353,3
codellama/CodeLlama-13b-Instruct-hf,codellama/CodeLlama-13b-Instruct-hf,1,3,3.9704918361116555,3
codellama/CodeLlama-70b-hf,codellama/CodeLlama-70b-hf,5,0,3.290871781282094,3
allenai/codetulu-2-7b,allenai/codetulu-2-7b,1,3,2.8429819576373068,3
allenai/codetulu-2-13b,allenai/codetulu-2-13b,1,3,2.173374966596549,3
allenai/codetulu-2-34b,allenai/codetulu-2-34b,1,3,4.006402519432417,3
FelixChao/vicuna-33b-coder,FelixChao/vicuna-33b-coder,4,1,2.27888875202548,3
FelixChao/Gemma-10.2B-Coder,FelixChao/Gemma-10.2B-Coder,4,0,6.644007761313679,3
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,0,5,9.587899490013465,3
FelixChao/CodeLlama13B-Finetune-v1,FelixChao/CodeLlama13B-Finetune-v1,2,4,3.5160212804465267,3
Badgids/Gonzo-Code-7B,Badgids/Gonzo-Code-7B,6,6,1.4025757803279801,2
Danielbrdz/CodeBarcenas-7b,Danielbrdz/CodeBarcenas-7b,1,3,2.61790342544607,3
invalid-coder/Starling-LM-7B-beta-laser-dpo,invalid-coder/Starling-LM-7B-beta-laser-dpo,6,6,2.0119226108595143,2
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,4,6,4.269562478977901,2
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,4,6,3.8211874137243984,2
invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,4,3,5.0091757572922635,3
invalid-coder/dolphin-2.1-mistral-7b-snr-laser,invalid-coder/dolphin-2.1-mistral-7b-snr-laser,6,6,1.576380081525965,2
invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,6,6,1.5439672133220261,2
itsliupeng/llama2_7b_code,itsliupeng/llama2_7b_code,1,3,3.3182217761472574,3
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,0,6,6.404815521225159,3
lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,1,3,3.7731781078452338,3
llm-agents/tora-code-7b-v1.0,llm-agents/tora-code-7b-v1.0,1,3,5.6137722434853,3
llm-agents/tora-code-34b-v1.0,llm-agents/tora-code-34b-v1.0,2,3,5.240120123893364,3
llm-agents/tora-code-13b-v1.0,llm-agents/tora-code-13b-v1.0,1,3,5.358390713433833,3
deepseek-ai/deepseek-coder-6.7b-instruct,deepseek-ai/deepseek-coder-6.7b-instruct,3,2,3.0335179239018446,3
deepseek-ai/deepseek-coder-6.7b-base,deepseek-ai/deepseek-coder-6.7b-base,3,2,0.886502336853898,3
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-ai/deepseek-coder-1.3b-instruct,4,2,2.789507423664471,3
deepseek-ai/deepseek-coder-7b-instruct-v1.5,deepseek-ai/deepseek-coder-7b-instruct-v1.5,6,3,4.137856968805011,3
bullerwins/Codestral-22B-v0.1-hf,bullerwins/Codestral-22B-v0.1-hf,6,5,5.604357111695515,2
budecosystem/code-millenials-34b,budecosystem/code-millenials-34b,2,3,4.163297922001559,3
codeparrot/codeparrot,codeparrot/codeparrot,0,4,1.7152150399498236,3
codemateai/CodeMate-v0.1,codemateai/CodeMate-v0.1,3,5,5.579308194935958,3
codellama/CodeLlama-7b-Python-hf,codellama/CodeLlama-7b-Python-hf,1,3,2.599895436738899,3
codellama/CodeLlama-70b-Python-hf,codellama/CodeLlama-70b-Python-hf,5,0,3.235151760764162,3
codellama/CodeLlama-34b-Python-hf,codellama/CodeLlama-34b-Python-hf,2,3,4.121535339006451,3
codellama/CodeLlama-13b-Python-hf,codellama/CodeLlama-13b-Python-hf,1,3,1.9442412228392838,3
google/codegemma-7b-it,google/codegemma-7b-it,4,0,6.438127667312638,3
google/codegemma-7b,google/codegemma-7b,4,0,6.535254283114128,3
google/codegemma-2b,google/codegemma-2b,3,0,2.7407720030239,3
glaiveai/glaive-coder-7b,glaiveai/glaive-coder-7b,1,3,3.201451461409003,3
ed001/datascience-coder-6.7b,ed001/datascience-coder-6.7b,3,2,1.3774516909447583,3
fhai50032/RP-Coder-SM3,fhai50032/RP-Coder-SM3,6,6,4.627250188843674,2
stabilityai/stable-code-3b,stabilityai/stable-code-3b,1,2,16.392874651979273,3
speechlessai/speechless-codellama-airoboros-orca-platypus-13b,speechlessai/speechless-codellama-airoboros-orca-platypus-13b,1,3,2.245698566283387,3
speechlessai/speechless-codellama-34b-v1.0,speechlessai/speechless-codellama-34b-v1.0,2,3,5.230476003762254,3
tyson0420/stack_codellama-7b-inst,tyson0420/stack_codellama-7b-inst,1,3,2.686873887514406,3
rombodawg/test_dataset_Codellama-3-8B,rombodawg/test_dataset_Codellama-3-8B,2,0,2.0687337189151296,3
rombodawg/Llama-3-8B-Instruct-Coder,rombodawg/Llama-3-8B-Instruct-Coder,2,0,1.8090879969529043,3
rombodawg/Llama-3-8B-Base-Coder-v3.5-10k,rombodawg/Llama-3-8B-Base-Coder-v3.5-10k,5,2,5.557515585761992,3
rombodawg/Everyone-Coder-4x7b-Base,rombodawg/Everyone-Coder-4x7b-Base,5,4,0.9864972442984485,2
shareAI/CodeLLaMA-chat-13b-Chinese,shareAI/CodeLLaMA-chat-13b-Chinese,6,0,6.328333316659709,1
sethuiyer/CodeCalc-Mistral-7B,sethuiyer/CodeCalc-Mistral-7B,6,6,1.5628495551386543,2
senseable/33x-coder,senseable/33x-coder,1,3,4.260610346965604,3
uukuguy/speechless-zephyr-code-functionary-7b,uukuguy/speechless-zephyr-code-functionary-7b,6,6,1.5185646459252562,2
uukuguy/speechless-tora-code-7b-v1.0,uukuguy/speechless-tora-code-7b-v1.0,1,3,5.473017167902121,3
uukuguy/speechless-codellama-platypus-13b,uukuguy/speechless-codellama-platypus-13b,1,3,1.8907846520397498,3
uukuguy/speechless-codellama-orca-platypus-13b-0.10e,uukuguy/speechless-codellama-orca-platypus-13b-0.10e,1,3,3.341114348203192,3
uukuguy/speechless-codellama-orca-airoboros-13b-0.10e,uukuguy/speechless-codellama-orca-airoboros-13b-0.10e,1,3,3.2187415379401645,3
uukuguy/speechless-codellama-orca-13b,uukuguy/speechless-codellama-orca-13b,1,3,1.8204246704388836,3
uukuguy/speechless-codellama-dolphin-orca-platypus-34b,uukuguy/speechless-codellama-dolphin-orca-platypus-34b,2,3,4.1743509604324265,3
uukuguy/speechless-codellama-34b-v2.0,uukuguy/speechless-codellama-34b-v2.0,2,2,5.161308012962766,3
uukuguy/speechless-codellama-34b-v1.9,uukuguy/speechless-codellama-34b-v1.9,1,4,7.7643102219003435,3
uukuguy/speechless-code-mistral-orca-7b-v1.0,uukuguy/speechless-code-mistral-orca-7b-v1.0,6,6,4.755653213627129,2
uukuguy/speechless-code-mistral-7b-v2.0,uukuguy/speechless-code-mistral-7b-v2.0,2,2,5.671487089382585,3
uukuguy/speechless-code-mistral-7b-v1.0,uukuguy/speechless-code-mistral-7b-v1.0,6,6,4.316159647916886,2
uukuguy/speechless-coder-ds-1.3b,uukuguy/speechless-coder-ds-1.3b,4,2,2.854425723429767,3
uukuguy/speechless-coder-ds-6.7b,uukuguy/speechless-coder-ds-6.7b,3,2,1.1269295271126227,3
uukuguy/speechless-mistral-hermes-code-7b,uukuguy/speechless-mistral-hermes-code-7b,6,6,1.2950122033772287,2
rombodawg/Everyone-Coder-33b-Base,rombodawg/Everyone-Coder-33b-Base,4,1,2.3587853331537674,3
mwitiderrick/open_llama_3b_code_instruct_0.1,mwitiderrick/open_llama_3b_code_instruct_0.1,1,2,4.879426056925953,3
mrm8488/llama-2-coder-7b,mrm8488/llama-2-coder-7b,1,3,3.871449903057251,3
mwitiderrick/open_llama_3b_glaive_code_v0.1,mwitiderrick/open_llama_3b_glaive_code_v0.1,1,2,3.942518782481627,3
nextai-team/Moe-4x7b-reason-code-qa,nextai-team/Moe-4x7b-reason-code-qa,5,4,0.6141548559175769,2
nextai-team/Moe-3x7b-QA-Code-Inst,nextai-team/Moe-3x7b-QA-Code-Inst,5,3,6.676270536797213,2
nextai-team/Moe-2x7b-QA-Code,nextai-team/Moe-2x7b-QA-Code,5,5,8.20823322231895,2
mahiatlinux/MasherAI-v6.1-7B-checkpoint3-code4,mahiatlinux/MasherAI-v6.1-7B-checkpoint3-code4,5,6,5.381112847730311,2
microsoft/CodeGPT-small-py,microsoft/CodeGPT-small-py,0,4,1.8399489565101261,3
qualis2006/llama-2-7b-int4-python-code-18k,qualis2006/llama-2-7b-int4-python-code-18k,1,3,3.515737103791687,3
raincandy-u/Coder1.8-ORPO-TEST,raincandy-u/Coder1.8-ORPO-TEST,0,1,5.016396326461987,3
oobabooga/CodeBooga-34B-v0.1,oobabooga/CodeBooga-34B-v0.1,3,5,5.698792856219497,3
OpenAssistant/codellama-13b-oasst-sft-v10,OpenAssistant/codellama-13b-oasst-sft-v10,0,3,4.759109758473937,3
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,2,3,9.406496709686843,3
Phind/Phind-CodeLlama-34B-v2,Phind/Phind-CodeLlama-34B-v2,2,1,3.259454204603032,3
Phind/Phind-CodeLlama-34B-v1,Phind/Phind-CodeLlama-34B-v1,2,4,2.3499345288916604,3
Phind/Phind-CodeLlama-34B-Python-v1,Phind/Phind-CodeLlama-34B-Python-v1,2,4,2.3730453979553814,3
Plaban81/Moe-4x7b-math-reason-code,Plaban81/Moe-4x7b-math-reason-code,5,4,1.660162212502945,2
Sharathhebbar24/code_gpt2_mini_model,Sharathhebbar24/code_gpt2_mini_model,0,4,2.7170385198082743,3
Sharathhebbar24/code_gpt2,Sharathhebbar24/code_gpt2,0,4,2.7217717317673458,3
Ramikan-BR/tinyllama-coder-py-4bit-v3,Ramikan-BR/tinyllama-coder-py-4bit-v3,2,6,8.008686047087817,3
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v5,Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v5,3,6,4.505876059473688,3
Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v12,Ramikan-BR/tinyllama_PY-CODER-4bit-lora_4k-v12,1,6,2.6252847498352785,3
Ramikan-BR/tinyllama-coder-py-v14,Ramikan-BR/tinyllama-coder-py-v14,1,5,9.227539427527809,3
Ramikan-BR/tinyllama-coder-py-v13,Ramikan-BR/tinyllama-coder-py-v13,1,5,8.467004762754682,3
Ramikan-BR/tinyllama-coder-py-v12,Ramikan-BR/tinyllama-coder-py-v12,1,6,4.612812480409119,3
Ramikan-BR/tinyllama-coder-py-4bit-v4,Ramikan-BR/tinyllama-coder-py-4bit-v4,2,6,6.830533014922996,3
Ramikan-BR/tinyllama-coder-py-4bit-v10,Ramikan-BR/tinyllama-coder-py-4bit-v10,0,3,7.69959599239659,3
Salesforce/codegen-6B-nl,Salesforce/codegen-6B-nl,3,4,4.501440015147236,3
Salesforce/codegen-6B-multi,Salesforce/codegen-6B-multi,3,4,4.650486415655105,3
Salesforce/codegen-16B-nl,Salesforce/codegen-16B-nl,3,4,10.084472364459922,3
HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca,HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca,3,3,5.4692733215866465,3
InnerI/I-Code-NousLlama7B-slerp,InnerI/I-Code-NousLlama7B-slerp,1,3,3.1578100684908326,3
