index,model_index,cluster,pca_component_1,pca_component_2,tsne_component_1,tsne_component_2
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,0.41878619788143245,-4.715648419190149,2.772113,1.6175762
failspy/Codestral-22B-v0.1-abliterated-v3,failspy/Codestral-22B-v0.1-abliterated-v3,0,2.7152056174345245,-7.547112047207366,1.9000542,-7.098114
S-miguel/The-Trinity-Coder-7B,S-miguel/The-Trinity-Coder-7B,0,5.6302568932396095,-0.6416297013288568,5.418823,-6.0485845
cloudyu/60B_MoE_Coder_v3,cloudyu/60B_MoE_Coder_v3,0,7.214288383779623,2.132787771605183,7.992312,-5.324522
Qwen/CodeQwen1.5-7B-Chat,Qwen/CodeQwen1.5-7B-Chat,0,-0.579609751358184,-1.3562897565093361,-9.011995,0.31873336
Gryphe/Codex-24B-Small-3.2,Gryphe/Codex-24B-Small-3.2,0,2.778545964088928,-13.476382006837122,0.79811966,-5.764759
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct,0,0.5633483004835805,-0.23001845915285682,-8.428355,0.5716317
01-ai/Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,0,-0.38246353504877534,0.29267909801556846,-4.0262184,-1.4108329
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0.3323532342578973,0.5653263900139178,-9.264363,1.4056062
Qwen/Qwen2.5-Coder-14B-Instruct,Qwen/Qwen2.5-Coder-14B-Instruct,0,0.45248067781382323,-0.9625058391961219,-7.6381583,-0.09121416
Qwen/Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct,0,0.48623369468835137,-1.6713668672582707,-11.3683405,0.5565206
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,0,0.07098274458437236,0.9017214044347301,-8.03361,1.4690317
mistralai/Codestral-22B-v0.1,mistralai/Codestral-22B-v0.1,0,2.6759443610195524,-9.651740770676025,1.2256826,-5.975888
prithivMLmods/Viper-Coder-HybridMini-v1.3,prithivMLmods/Viper-Coder-HybridMini-v1.3,0,0.3401246956640081,-3.5725803122848814,-9.246278,-1.0476135
huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,0,0.6752399601441303,-4.458454560957134,-11.412183,0.5556947
WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,0,0.5959125334533542,-0.713001782871899,-8.732024,0.22661507
codellama/CodeLlama-7b-Instruct-hf,codellama/CodeLlama-7b-Instruct-hf,0,-1.5864526171730475,0.6662156883676371,-3.555583,-0.6183103
codellama/CodeLlama-34b-Instruct-hf,codellama/CodeLlama-34b-Instruct-hf,0,0.6290262374244588,1.7211444574164734,-1.4344475,-1.602741
codellama/CodeLlama-13b-Instruct-hf,codellama/CodeLlama-13b-Instruct-hf,0,-1.1969418716771751,1.1278903439756716,-4.0512905,0.3385983
codellama/CodeLlama-70b-hf,codellama/CodeLlama-70b-hf,0,1.211843987640841,2.0010209644721244,5.0540586,4.3006983
allenai/codetulu-2-7b,allenai/codetulu-2-7b,0,-0.305508487708475,0.7345594590160452,-0.7428001,2.084848
allenai/codetulu-2-13b,allenai/codetulu-2-13b,0,-0.7092380133044751,0.9907987736040677,-2.232557,1.1014309
allenai/codetulu-2-34b,allenai/codetulu-2-34b,0,-0.6286673525525994,1.0972570838296403,-0.07124565,-0.42020455
FelixChao/vicuna-33b-coder,FelixChao/vicuna-33b-coder,0,1.1455514854449924,1.4697312528254092,-3.011327,-4.701134
FelixChao/Gemma-10.2B-Coder,FelixChao/Gemma-10.2B-Coder,0,3.391896131228478,0.03814854051644314,-1.7583557,-8.289169
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,0,-3.594434493600249,-1.800866463209835,2.03582,4.831184
FelixChao/CodeLlama13B-Finetune-v1,FelixChao/CodeLlama13B-Finetune-v1,0,-0.9148500289490602,0.7585374656824505,5.0706472,1.2690177
Badgids/Gonzo-Code-7B,Badgids/Gonzo-Code-7B,0,4.435829441052826,-0.8336304808893692,4.535821,-5.9284873
Danielbrdz/CodeBarcenas-7b,Danielbrdz/CodeBarcenas-7b,0,-1.8251201237961723,0.5154000476876426,-1.2468511,3.049343
invalid-coder/Starling-LM-7B-beta-laser-dpo,invalid-coder/Starling-LM-7B-beta-laser-dpo,0,5.1635066119498925,-0.7141903066219065,5.1146297,-6.1198316
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,0,4.604687987256393,2.140675053410113,2.1843855,-10.266141
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,0,4.4894739428042065,2.4136066980199207,2.1879954,-10.258656
invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,invalid-coder/TinyLlama-1.1B-intermediate-step-1431k-3T-laser-dpo,0,-2.8599050245492457,0.15921210211683343,-4.079873,4.738744
invalid-coder/dolphin-2.1-mistral-7b-snr-laser,invalid-coder/dolphin-2.1-mistral-7b-snr-laser,0,4.496607564637261,-0.8829566123130551,4.8951755,-5.513385
invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,invalid-coder/dolphin-2.1-mistral-7b-snr-math-laser,0,4.403891238333508,-0.9077888683523228,4.7969284,-5.456617
itsliupeng/llama2_7b_code,itsliupeng/llama2_7b_code,0,-0.2017762721339975,0.815598799829869,-0.56067044,1.7452706
lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,lqtrung1998/Codellama-7b-hf-ReFT-Rerank-GSM8k,0,-3.6826813217085763,-4.737147647611421,-0.20867278,4.4659595
lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,lqtrung1998/Codellama-7b-hf-ReFT-GSM8k,0,-0.8523666384592471,0.36212701864378527,-0.113309294,2.589004
llm-agents/tora-code-7b-v1.0,llm-agents/tora-code-7b-v1.0,0,-1.7480276072382388,0.3179514612843383,2.9232845,-0.5432461
llm-agents/tora-code-34b-v1.0,llm-agents/tora-code-34b-v1.0,0,-0.4522104847874874,1.1109953046915377,2.4396307,-1.4873452
llm-agents/tora-code-13b-v1.0,llm-agents/tora-code-13b-v1.0,0,-1.5658498223996944,0.7320962270749571,3.1714697,-0.8817267
deepseek-ai/deepseek-coder-6.7b-instruct,deepseek-ai/deepseek-coder-6.7b-instruct,0,-1.859121570205893,0.7929160985081791,0.64004385,7.210327
deepseek-ai/deepseek-coder-6.7b-base,deepseek-ai/deepseek-coder-6.7b-base,0,-2.259900374788135,0.6226356656292227,0.106567085,6.687939
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-ai/deepseek-coder-1.3b-instruct,0,-3.725359170948295,0.23295590027553623,-4.9506745,6.6476803
deepseek-ai/deepseek-coder-7b-instruct-v1.5,deepseek-ai/deepseek-coder-7b-instruct-v1.5,0,0.10508134362462616,1.0094048026197715,-3.155665,-2.1001678
bullerwins/Codestral-22B-v0.1-hf,bullerwins/Codestral-22B-v0.1-hf,0,5.091886866037762,-3.139521107277919,2.0468712,-6.5147095
budecosystem/code-millenials-34b,budecosystem/code-millenials-34b,0,0.11525512958146782,1.2487493279564765,-0.1023777,-0.80296975
codeparrot/codeparrot,codeparrot/codeparrot,0,-4.873777341781972,-1.9941948992067413,-7.7548347,-6.132616
codemateai/CodeMate-v0.1,codemateai/CodeMate-v0.1,0,1.0562361998310978,0.001812514975262589,0.27278537,-3.535632
codellama/CodeLlama-7b-Python-hf,codellama/CodeLlama-7b-Python-hf,0,-2.239572808859414,0.3868453756318292,-1.3890566,3.5126476
codellama/CodeLlama-70b-Python-hf,codellama/CodeLlama-70b-Python-hf,0,1.046055567781302,1.9421471961979206,5.0567455,4.303898
codellama/CodeLlama-34b-Python-hf,codellama/CodeLlama-34b-Python-hf,0,-0.0076911723969619325,1.4606779008355375,-0.23311606,-0.842812
codellama/CodeLlama-13b-Python-hf,codellama/CodeLlama-13b-Python-hf,0,-2.6023961741960706,0.6440442285080228,-3.2024417,2.4985857
google/codegemma-7b-it,google/codegemma-7b-it,0,1.9932709010387053,-0.1263086096518947,-1.8152187,-7.69813
google/codegemma-7b,google/codegemma-7b,0,1.6909713263027297,-0.15209355240079736,-1.8202672,-7.684247
google/codegemma-2b,google/codegemma-2b,0,-2.5581038408940167,-1.3574549951621853,-7.0347466,9.002632
