index,likes,downloads,datasets :: ARC,datasets :: Average,datasets :: GSM8K,datasets :: HellaSwag,datasets :: MMLU,datasets :: TruthfulQA,datasets :: Unnamed: 0,datasets :: Winogrande,version number,UGI-Leaderboard :: Internet,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: W/10 👍,created_at_numeric,pipeline tag_question-answering,pipeline tag_text-classification,pipeline tag_text-generation,pipeline tag_nan,architectural type_codegen,architectural type_deepseek_v2,architectural type_gemma,architectural type_gpt2,architectural type_gpt_bigcode,architectural type_llama,architectural type_mistral,architectural type_mixtral,architectural type_qwen2,architectural type_stablelm,architectural type_nan,real architecture_CodeGenForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_GPT2LMHeadModel,real architecture_GPTBigCodeForCausalLM,real architecture_GemmaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForSequenceClassification,real architecture_MistralForCausalLM,real architecture_MixtralForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_StableLmForCausalLM,real architecture_nan,parameters_0.5B,parameters_1.1B,parameters_1.3B,parameters_10.2B,parameters_10.7B,parameters_13B,parameters_14B,parameters_16B,parameters_22B,parameters_24B,parameters_2B,parameters_2X7B,parameters_32B,parameters_33B,parameters_34B,parameters_3B,parameters_3X7B,parameters_4B,parameters_4X7B,parameters_6.7B,parameters_60B,parameters_6B,parameters_70B,parameters_7B,parameters_8B,parameters_9B,parameters_nan,is instruct/chat_False,is instruct/chat_True,is instruct/chat_<NA>,version_v0.1,version_v1,version_v1.0,version_v1.3,version_v1.5,version_v1.9,version_v10,version_v11.1,version_v12,version_v13,version_v14,version_v2,version_v2.0,version_v3,version_v3.5,version_v4,version_v5,version_v6.1,version_nan,Latent_Factor_1,Latent_Factor_2,Latent_Factor_3,Latent_Factor_4,Latent_Factor_5,Latent_Factor_6,Latent_Factor_7,Latent_Factor_8,Latent_Factor_9,Latent_Factor_10
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,509,220951,,,,,,,,,2.0,5.0,15.66,15.0,3.636363636,1718346213,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-10.121538,0.17619093,-6.0664477,-5.331314,1.2086475,-0.03442092,3.245595,3.9818857,-10.308041,5.0046325
failspy/Codestral-22B-v0.1-abliterated-v3,12,8634,,,,,,,,,0.1,5.0,17.57,40.0,4.545454545,1717434507,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.028884,-2.597471,-2.263962,-1.0630547,0.30440038,3.1613896,-3.5413067,-8.598707,-7.580375,-1.0012864
S-miguel/The-Trinity-Coder-7B,6,63,0.6936860068259386,0.728075974548184,0.7338893100833965,0.8616809400517825,0.6489934839762492,0.6125265483406871,1542,0.8176795580110497,,,,,,1711150332,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.182863,0.5924319,-4.47601,-1.0438236,2.7124157,0.23019081,-1.7397732,-2.701872,1.6021334,1.4153879
cloudyu/60B_MoE_Coder_v3,3,63,0.71160409556314,0.7474618811869069,0.6694465504169825,0.8544114718183629,0.7536776152192871,0.6700593362662586,761,0.8255722178374112,3.0,,,,,1707369473,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.4187813,4.564829,-9.661356,-5.0774593,-5.2824926,1.0288675,1.8621722,-8.703823,4.89953,8.408919
Qwen/CodeQwen1.5-7B-Chat,349,2761,0.3549488054607508,0.4326098089490287,0.2789992418498863,0.5403306114319857,0.3937326322889418,0.4475370654250384,5359,0.580110497237569,,0.7,17.23,1.2,6.0,1713165426,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8679874,0.95109785,-2.2137647,4.0591874,-3.1916015,3.6679556,0.22980803,1.5455072,-1.1018791,-0.83104706
Gryphe/Codex-24B-Small-3.2,59,231,,,,,,,,,,2.7,37.73,4.2,8.5,1750595516,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.2578771,-3.3132594,1.7502533,7.620033,2.2713127,-3.349383,2.5121877,-1.6275878,-0.6753568,10.838498
Qwen/Qwen2.5-Coder-7B-Instruct,571,677381,,,,,,,,,,1.9,15.86,2.8,2.0,1726580329,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.131193,0.7606798,-2.7682517,3.7510388,-2.3983521,2.4849207,0.34329805,1.407363,-0.68234223,-0.39163646
01-ai/Yi-Coder-9B-Chat,211,14659,,,,,,,,,,1.9,17.83,1.6,5.0,1724206312,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9827292,0.19464763,-1.5968192,0.41134343,-0.36292326,4.993797,1.6322868,4.0020533,3.6816301,0.2153595
Qwen/Qwen2.5-Coder-0.5B-Instruct,54,5952727,,,,,,,,,,0.6,11.51,0.6,3.5,1730879366,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.32866925,-0.325912,-7.0879955,2.8545094,-9.056868,7.428396,2.7030814,2.0052054,-0.24472736,1.1529509
Qwen/Qwen2.5-Coder-14B-Instruct,132,55690,,,,,,,,,,1.4,19.68,3.2,3.0,1730879386,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4016459,2.8462443,-3.5272408,4.4104085,-2.0797403,3.7644966,-0.8839041,4.0779963,0.70914334,0.5807477
Qwen/Qwen2.5-Coder-32B-Instruct,1957,305471,,,,,,,,,,1.6,18.1,2.5,4.0,1730879390,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.7135873,2.4594684,-2.0571656,9.183766,-1.9710158,3.9170794,0.29992852,2.1062016,-0.8059329,-1.8715243
Qwen/Qwen2.5-Coder-3B-Instruct,84,76017,,,,,,,,,,0.7,10.23,0.6,2.5,1730879378,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5033717,0.044998877,-3.3143969,3.0648055,-3.6152792,3.2408402,2.0232532,3.1723704,-0.017795889,-1.879913
mistralai/Codestral-22B-v0.1,1318,8549,,,,,,,,,0.1,1.6,22.53,1.3,6.5,1716982130,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4717987,-1.1560981,2.9264574,2.8841403,1.8313195,0.86077636,-4.6217513,-3.4330664,-5.3081117,5.6878133
prithivMLmods/Viper-Coder-HybridMini-v1.3,9,22,,,,,,,,,1.3,0.9,21.88,2.2,7.0,1740173244,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.200002,0.22157136,-2.7273874,2.5642295,-4.7332973,1.6866833,1.9716117,0.36630848,-4.328675,3.292885
huihui-ai/Qwen2.5-Coder-32B-Instruct-abliterated,34,201,,,,,,,,,,1.7,27.9,2.5,8.5,1731419165,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.3107033,1.0092291,-0.97588533,8.6159725,-1.3245327,2.8573067,1.1194842,1.9532998,-0.7482004,0.06222666
WhiteRabbitNeo/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B,60,57,,,,,,,,,,1.0,16.68,2.0,4.0,1727489058,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3319602,0.8200646,-2.2679458,2.7272391,-2.1900868,1.8255285,0.36268204,0.30830008,-0.25215265,-0.06719978
codellama/CodeLlama-7b-Instruct-hf,251,50753,0.3831058020477815,0.4134792633153837,0.0796057619408642,0.5932085241983669,0.3648418531305971,0.4144940647783233,5336,0.6456195737963694,,,,,,1692894817,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5944663,-0.27536952,-0.5560043,1.3473146,-0.7662413,1.0013561,0.22369671,1.6455073,-0.38912368,-1.3866124
codellama/CodeLlama-34b-Instruct-hf,299,42646,0.5426621160409556,0.5728884716001909,0.379833206974981,0.7691694881497709,0.555434278513721,0.4443753863305565,5335,0.7458563535911602,,,,,,1692896302,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.059016526,1.4578526,-0.98835385,-0.2520795,0.685397,0.9142692,-0.9196991,1.6033931,1.358336,-0.3597718
codellama/CodeLlama-13b-Instruct-hf,157,13050,0.4453924914675768,0.4582135103285878,0.1266110689916603,0.6492730531766581,0.3888705360076341,0.4587866352956375,5339,0.6803472770323599,,,,,,1692894834,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.45285615,0.33523852,1.0806694,1.0534462,-0.01112932,1.0193014,0.2913622,0.1233834,0.61380655,-1.1582394
codellama/CodeLlama-70b-hf,323,661,0.5674061433447098,0.5893282467847092,0.4397270659590599,0.7821151165106552,0.5966658993115309,0.3978847741300497,5333,0.7521704814522494,,,,,,1706525943,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8741729,1.6907308,-0.7904174,-1.850878,-0.0077246465,1.2208875,-0.022028357,-0.11188409,2.0935962,0.41224477
allenai/codetulu-2-7b,1,69,,,,,,,,,,,,,,1699839844,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.77885276,-0.55099076,0.14724755,-0.06499979,0.9533612,-1.0412103,0.7554052,0.35646066,0.25594926,-0.40024495
allenai/codetulu-2-13b,3,57,,,,,,,,,,,,,,1699841771,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.53397036,0.33324504,0.47922695,0.016279697,-0.02259165,-0.4968322,0.98685336,-0.058399685,0.7300128,-1.041986
allenai/codetulu-2-34b,2,67,,,,,,,,,,,,,,1699837880,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1894586,-0.2789577,0.39682627,-1.762477,0.25672784,0.17309852,1.1857475,0.42416912,0.88145703,-0.10078141
FelixChao/vicuna-33b-coder,4,1122,0.606655290102389,0.5707916770236011,0.1288855193328279,0.8330013941445927,0.5691889424130079,0.5182738490611815,503,0.7687450670876085,,,,,,1692670525,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.95781165,-0.83534515,-0.7377653,-0.29349136,1.3663377,0.3772193,0.45845455,0.4048114,1.4994484,0.76897216
FelixChao/Gemma-10.2B-Coder,0,62,0.5870307167235495,0.6393719608537366,0.5011372251705838,0.8203545110535749,0.6195977847580427,0.5243704066589732,498,0.7837411207576953,,,,,,1710685477,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.795719,1.3989189,-3.6769059,5.2322116,1.6259105,-1.0736668,4.669097,-1.6974589,2.9269352,6.1999035
