Latent_Factor_1,Latent_Factor_2,Latent_Factor_3,Latent_Factor_4,Latent_Factor_5,Latent_Factor_6,Latent_Factor_7,Latent_Factor_8,Latent_Factor_9,Latent_Factor_10
-10.121538,0.17619093,-6.0664477,-5.331314,1.2086475,-0.03442092,3.245595,3.9818857,-10.308041,5.0046325
-7.028884,-2.597471,-2.263962,-1.0630547,0.30440038,3.1613896,-3.5413067,-8.598707,-7.580375,-1.0012864
-2.182863,0.5924319,-4.47601,-1.0438236,2.7124157,0.23019081,-1.7397732,-2.701872,1.6021334,1.4153879
-3.4187813,4.564829,-9.661356,-5.0774593,-5.2824926,1.0288675,1.8621722,-8.703823,4.89953,8.408919
2.8679874,0.95109785,-2.2137647,4.0591874,-3.1916015,3.6679556,0.22980803,1.5455072,-1.1018791,-0.83104706
-0.2578771,-3.3132594,1.7502533,7.620033,2.2713127,-3.349383,2.5121877,-1.6275878,-0.6753568,10.838498
2.131193,0.7606798,-2.7682517,3.7510388,-2.3983521,2.4849207,0.34329805,1.407363,-0.68234223,-0.39163646
1.9827292,0.19464763,-1.5968192,0.41134343,-0.36292326,4.993797,1.6322868,4.0020533,3.6816301,0.2153595
-0.32866925,-0.325912,-7.0879955,2.8545094,-9.056868,7.428396,2.7030814,2.0052054,-0.24472736,1.1529509
1.4016459,2.8462443,-3.5272408,4.4104085,-2.0797403,3.7644966,-0.8839041,4.0779963,0.70914334,0.5807477
4.7135873,2.4594684,-2.0571656,9.183766,-1.9710158,3.9170794,0.29992852,2.1062016,-0.8059329,-1.8715243
1.5033717,0.044998877,-3.3143969,3.0648055,-3.6152792,3.2408402,2.0232532,3.1723704,-0.017795889,-1.879913
-2.4717987,-1.1560981,2.9264574,2.8841403,1.8313195,0.86077636,-4.6217513,-3.4330664,-5.3081117,5.6878133
4.200002,0.22157136,-2.7273874,2.5642295,-4.7332973,1.6866833,1.9716117,0.36630848,-4.328675,3.292885
5.3107033,1.0092291,-0.97588533,8.6159725,-1.3245327,2.8573067,1.1194842,1.9532998,-0.7482004,0.06222666
2.3319602,0.8200646,-2.2679458,2.7272391,-2.1900868,1.8255285,0.36268204,0.30830008,-0.25215265,-0.06719978
0.5944663,-0.27536952,-0.5560043,1.3473146,-0.7662413,1.0013561,0.22369671,1.6455073,-0.38912368,-1.3866124
-0.059016526,1.4578526,-0.98835385,-0.2520795,0.685397,0.9142692,-0.9196991,1.6033931,1.358336,-0.3597718
-0.45285615,0.33523852,1.0806694,1.0534462,-0.01112932,1.0193014,0.2913622,0.1233834,0.61380655,-1.1582394
0.8741729,1.6907308,-0.7904174,-1.850878,-0.0077246465,1.2208875,-0.022028357,-0.11188409,2.0935962,0.41224477
0.77885276,-0.55099076,0.14724755,-0.06499979,0.9533612,-1.0412103,0.7554052,0.35646066,0.25594926,-0.40024495
0.53397036,0.33324504,0.47922695,0.016279697,-0.02259165,-0.4968322,0.98685336,-0.058399685,0.7300128,-1.041986
1.1894586,-0.2789577,0.39682627,-1.762477,0.25672784,0.17309852,1.1857475,0.42416912,0.88145703,-0.10078141
-0.95781165,-0.83534515,-0.7377653,-0.29349136,1.3663377,0.3772193,0.45845455,0.4048114,1.4994484,0.76897216
3.795719,1.3989189,-3.6769059,5.2322116,1.6259105,-1.0736668,4.669097,-1.6974589,2.9269352,6.1999035
-2.5820553,-1.1360556,0.3836134,8.53649,-5.664883,3.9021168,-1.1217883,-1.1988374,3.1534886,-3.3482137
1.6011345,-0.3677801,1.9160867,-0.6564138,0.06329079,-1.897381,2.257977,-0.6718265,0.099493384,0.71917474
-0.93211,0.6419687,-3.1531537,-0.87648076,2.1424615,0.44178814,-1.8007303,-2.3775756,1.3283858,1.3431985
1.0571198,0.0070081353,0.89668036,0.25117356,-0.2857364,0.48079053,1.3150359,0.42359245,-0.11027972,-0.47186998
-1.8449464,-0.051225945,-3.7377148,-0.93621165,2.32943,0.1950568,-2.0831022,-2.511017,2.047132,2.2274084
-8.453104,4.4546394,-3.8064835,-6.5256457,-0.423004,1.27597,-2.4270778,0.9758279,0.54623514,5.129146
-6.116942,4.4451857,-2.9822512,-3.8199055,0.1161454,1.2789911,-2.7542937,0.7329066,1.9391184,2.829708
0.25694954,-1.4430959,-0.58329564,-0.8703573,-2.2763107,1.6587154,2.1569788,-0.33501858,-1.6156822,2.733588
-1.7404534,-0.0039597526,-3.5294578,-0.9475974,2.0213947,0.26753208,-1.3591104,-2.7045007,1.6614943,1.5465802
-1.7147334,-0.009427264,-3.7197797,-1.0534167,2.4143748,0.44867128,-1.8478819,-2.056061,0.78967446,1.3449466
0.61921513,-0.4822218,-0.7089178,-0.5194758,0.41614258,0.38654336,0.27102888,-0.6966776,0.27671304,-0.1421006
7.6483846,-4.1407123,7.5732436,3.4997613,-4.494494,-2.4629474,5.687509,6.4971757,-4.0702057,3.1821175
-0.5032801,-1.285828,0.42378825,0.15010345,0.2553761,-0.5658313,1.2015362,-0.21399426,0.34775403,0.05804871
0.78375524,-0.9305378,0.9743308,-1.5134028,0.2493361,0.46596783,1.7036468,0.81909704,-0.7314533,-1.0019335
0.7975545,-0.34298822,-0.018252641,-1.783205,0.99749196,0.88896555,1.7430226,-0.61311644,0.5408221,-0.0974563
1.3170549,0.35262567,1.571234,-0.55644035,-0.21995999,-0.33935052,1.9642649,0.12778026,0.3623867,-1.3216491
2.8631563,0.73812926,0.7142026,0.55976015,-1.8809931,2.3010612,0.59199184,0.28454983,0.7394461,-2.345269
2.7666042,0.5523411,1.2336394,-0.43858963,-2.4642398,1.6908383,1.6267829,-0.29648387,0.91513646,-1.4702753
-2.6029959,0.15542743,1.2001258,2.8544877,-2.041254,1.1005167,2.410297,1.2862802,-2.6757572,-2.1654088
-2.6789508,1.6077905,-1.7999959,-1.1342982,-1.2875036,1.7918527,-1.1865327,2.6933436,1.6255828,1.8841182
-3.6899853,-0.44576734,-1.189605,-3.0912287,1.024107,2.468786,-4.3946075,-6.543124,-2.5372553,0.35555267
0.7011883,0.12938878,0.040406805,-1.1838336,-0.11698872,0.6775364,0.55210304,-0.6148585,0.8765329,0.24235664
-1.1443671,-1.2469112,6.8053594,2.5515554,-7.8488064,4.4775968,-0.5623782,-0.84919274,-0.9929558,0.68429327
-0.17102858,1.7350035,0.65095556,-1.7543069,-0.11435646,-0.98199964,-0.8363256,-1.5642427,-1.5437994,0.15740314
0.33741266,0.06336427,0.75578034,0.37570095,-0.79174995,0.26387864,1.6773922,0.33746988,-0.7075741,-1.101842
1.0903814,2.26401,-0.5773653,-3.0693583,-0.41200104,1.0716919,-0.016341388,-1.8537643,1.8784559,0.058110923
0.4290617,-0.016277324,0.508013,-0.566879,1.3423151,0.57148933,0.30637422,0.13035458,1.0135646,0.3431672
1.5367589,0.3801536,2.0060675,-0.11583268,-1.2318565,0.4375224,1.4886659,-0.35353947,0.5045456,-1.7591606
0.80332077,1.621058,-2.8578012,3.3515422,-0.18137379,1.2286048,2.0654738,-3.3406162,0.23840354,3.8069417
1.0574964,1.0460197,-3.008326,2.432577,-0.15701029,0.4009574,1.7523861,-3.104127,-0.45154342,3.576283
0.54720175,0.23654331,-0.054144353,5.4216275,-2.761943,-0.26938003,4.7672634,-2.723902,-3.1310391,4.270518
0.97695374,0.14243716,1.128305,-0.34352535,0.00790745,-0.8503361,1.7564293,1.7611662,0.3520435,-0.60583174
3.9251633,1.1010654,1.5744394,-0.5209164,-2.1518123,1.0241673,1.4915222,-0.015012827,0.9895551,-1.7480162
-2.2433906,1.6269641,-2.7471504,-1.4310645,1.1385548,-0.17102602,-1.8398476,-1.7517189,0.46285507,2.3073149
-1.1313951,-7.375199,-4.493252,7.087699,-2.3170004,5.7571707,11.505482,2.7178483,-3.725472,-0.61621493
1.2527575,0.5990403,1.263138,-0.4870812,-0.43083644,0.8541312,0.99415654,-0.8961604,1.1318208,-0.42868894
0.8798777,-0.16696773,-0.7884798,-0.8289695,1.1344261,1.293465,1.1625512,-0.5167465,1.2386065,0.51907146
0.5830691,-0.8168924,-0.15215608,-0.091614455,0.19160509,-0.19207862,0.96815866,0.59779775,0.308087,-0.41957572
0.7253992,2.484643,-2.226683,-2.1034312,-0.09282398,0.36864126,-0.6897514,-0.113416284,1.2762578,0.89937514
0.6109191,2.688416,-2.1828115,-2.232479,-0.34983766,0.5598485,-1.6047326,1.1596333,0.68402946,0.5880463
1.4638985,5.366414,-1.718806,-3.3105278,-1.7213666,0.5597792,1.467551,-0.014216363,-1.6191168,1.2461805
-0.7566742,7.081802,-3.5485232,1.1394029,-2.0434587,0.0076019913,2.796309,-4.120911,5.15513,4.409423
0.98562527,5.395288,15.8662195,10.210258,0.44611907,-0.12403433,-3.5566196,4.6545496,-2.3629408,-1.3399609
-1.1573606,0.06210439,-3.5902946,-0.7049263,2.5732803,-0.20818272,-1.3927082,-3.1456285,1.6463057,1.3064649
-0.51342624,1.0131532,0.5543134,-0.63637364,-1.0323765,0.08299331,0.30701512,0.5627202,-0.68450207,0.21508068
-1.0701181,-0.60214466,-3.6164012,-1.0117036,1.8709996,0.6145282,-1.412375,-2.2833817,1.4939904,2.032013
0.4219634,-0.79703027,-0.08566111,-1.4536123,0.2547239,0.4264949,1.8928711,0.552149,-0.422234,-0.7091979
0.61739826,0.62841356,1.4430333,-0.22722855,-1.1562846,-0.61166966,0.95433927,1.7058953,0.8317832,-0.76474285
1.2191671,-0.047379464,2.5427895,0.18059409,-2.0389352,0.47508112,2.355395,0.5571538,-0.66693723,-1.0866101
1.5764372,-0.3965984,2.847134,-0.33393878,-2.168396,0.076937586,2.3691156,0.4613626,-0.34255502,-1.4494724
0.62925017,0.7493691,1.658431,-0.19994777,-0.99530286,1.0591009,1.2160668,-0.17055804,-0.03819096,-0.88187766
1.7584347,0.39187032,0.025220558,-2.097663,0.9783597,0.39764187,0.53984433,0.74363387,1.0062014,-0.019508764
-0.5537538,0.72610706,0.59861344,-4.286408,0.9582369,3.0248322,1.8298255,-3.025195,1.9150589,0.79927623
2.37179,-1.9384989,-2.1147237,-0.5580097,0.27942106,1.2981577,3.9729679,0.7488001,3.4622755,2.4322045
-1.4291972,-0.5278639,-3.1874864,-1.9030658,3.0627038,0.557104,-0.87545735,-1.5467836,0.84791815,1.6073989
-1.3690429,-0.33924198,-0.8659414,-3.001543,3.300999,2.1432965,-0.6865708,-5.1557703,0.845418,1.9075
-1.8686491,-0.5091987,-3.7756376,-1.353885,3.431331,1.0479693,-0.40373504,-2.1397202,1.600942,1.7458977
-1.9166628,-0.4467375,1.0220566,2.0582252,-1.6542794,0.3931083,4.0101585,-0.0009960979,-2.0083559,-1.1884826
3.2613032,0.96082294,1.4488517,-0.38329032,-2.2919934,1.3823323,1.6967846,-0.5236074,0.7861915,-1.7398702
-1.3352102,-0.037553623,-2.7432072,-0.82882345,1.9031268,0.33592522,-1.8324468,-2.4634876,0.99979407,1.1776208
0.15679264,-0.9716694,-0.9007059,0.101931445,0.5472474,0.54918134,1.2502301,-0.30955374,0.5215047,-0.13184449
-0.3499859,-1.884035,0.75943935,0.73796344,-1.6727251,0.83299315,1.6041149,2.6588106,-1.1803008,-2.8943915
-1.0205846,0.09044028,-0.55430305,-0.3562764,0.7483629,-1.2169673,1.0498072,0.59911627,1.1017957,0.23408464
-0.77747923,-3.1450021,1.06875,-0.26248184,-1.8733397,0.7074435,1.1849955,-0.5084054,-2.8873124,-2.4737828
-0.24298045,7.013999,-3.430952,1.4124458,-2.0893495,-0.30043203,3.1757855,-3.8872883,5.451848,4.7209644
-4.9828424,7.873323,-2.2510831,2.3002558,-0.75565994,-1.3061373,1.8587681,-3.5046847,4.919366,6.041322
0.9204325,2.3511884,-8.592031,5.8454094,-0.62964875,3.4673233,3.3219004,-7.6078153,6.7552814,2.2578673
-3.8834343,3.7299657,-2.865864,-7.1408505,-0.22057623,-0.4400341,-2.731503,-2.3581166,0.12378946,4.22498
-1.2947615,-1.3288307,6.6533213,2.873752,-7.7203836,4.4669614,-0.6873697,-0.92166996,-0.7490144,0.7269241
0.9946477,0.4613402,-0.2829888,-0.69869393,0.59764206,-0.7409946,1.0569181,0.35542333,0.75632066,-0.19149241
2.1108341,0.77511626,-0.6039067,3.0206203,-3.6388376,2.0017123,0.4303765,0.52532923,-0.87420285,-0.4287092
-0.008017495,0.06300872,0.8783877,-1.2486564,0.26153362,0.86103165,-0.9219629,-2.336213,-0.40842235,-0.13276342
1.8457417,2.5973048,1.1998255,-0.3032492,-0.82256174,2.7834623,1.3401366,-1.3243113,0.905968,-3.2319608
4.7604322,3.5977328,1.1736745,-6.7473197,-1.9710882,5.7517796,2.0597317,-2.278824,0.3713451,4.874592
0.7550517,-1.5871085,0.51454896,-2.470839,-1.548979,0.5437469,1.6849027,0.5683518,-1.2124245,2.2442014
2.7224526,-1.8094717,1.8115034,-0.8906909,-0.38548636,-1.0033133,2.8437808,-0.6195549,0.09687618,0.8032241
2.3641372,-2.0875711,2.2043197,-1.0417515,-0.6375023,-1.2400038,2.647046,-0.30896693,-0.17139363,1.21659
-0.5798444,6.904968,-3.5180287,1.1742462,-1.8482991,-0.66541827,3.3826394,-4.025664,5.5045056,5.2457137
-0.5083664,-1.8631675,5.663773,2.629111,-7.545989,3.9064412,-0.24696985,-0.4287411,-1.1866937,0.650862
-0.81032807,-1.7541758,5.6170945,2.1911266,-7.504639,3.8466582,-0.15595832,-0.38384604,-1.1031177,0.5815938
-0.9299897,-2.4305606,1.2435801,-2.6006055,-5.0193286,-0.58094573,3.7674437,0.62643784,0.4198346,0.7186212
-3.9671311,-1.5507616,3.9875832,-1.991878,-4.106904,2.8126216,3.3415642,-2.773808,2.0835187,2.2933593
2.521761,3.1352592,3.374687,-5.6002483,-4.5323496,0.0817418,5.6757264,2.1398718,-3.6497266,-0.16670631
2.3003027,2.1410427,3.5399203,-5.404993,-5.548778,0.23336071,1.5705736,2.4792168,-4.6200895,0.91461474
2.1887972,-0.021078482,1.5030011,-2.9219446,-5.060361,1.0893897,4.5524106,1.5682542,-4.2457585,-3.0232413
3.2115247,3.2628767,3.450634,-4.7446957,-3.6403904,0.05186689,4.3654947,1.5886226,-3.9803715,0.330153
1.5404048,-0.6776456,1.8100313,-2.8430002,-4.253476,2.0440032,3.9932086,-0.4923578,-0.3301065,-1.2481518
1.7188733,0.5333042,0.8806979,-1.3214204,-2.9095552,2.0604677,3.3049035,-1.1927675,0.010004144,-2.4700317
-1.9997146,2.4115295,-1.0585701,0.9684508,-1.8037767,-0.118706495,1.391135,-1.126621,-0.73454803,2.651287
-0.3252588,1.3194739,1.6509819,3.0776753,-2.5566158,0.49387404,1.7926484,-1.4573696,0.7103908,2.3153722
-4.7286654,2.6779776,0.7528665,2.4055882,-2.2471623,-1.7731014,2.46173,-0.46346796,-1.5131632,1.1750914
-1.8150909,1.3837612,-0.2102687,-0.7086837,-1.1097181,1.5647763,-0.7959945,-0.49367866,1.1485078,-1.7892671
0.8165543,-1.2820754,0.55585676,0.030290484,-0.9373193,0.21348749,1.5053583,0.5036372,-0.2564674,-0.2069295
0.16099696,2.276894,-1.4796723,4.9307094,-1.8384382,-0.23644672,3.6290073,-3.0937736,-2.6939569,5.165353
-1.4243581,0.5034086,-0.24718985,-0.13469559,-0.16500723,-0.32401335,-0.22297326,-0.6941388,2.2013404,-0.12216544
-0.1185953,0.02679032,-0.7814202,-0.52734786,1.281144,0.6132568,0.5964834,-0.39821205,1.3837073,-0.7153941
-0.036359385,0.6391093,0.8353889,-0.57062703,0.21558669,0.43415996,0.5956358,-1.6806501,0.9841907,-0.27734968
-1.7090125,0.20718588,-3.9000936,-1.3437697,2.4606273,0.5152701,-2.0958395,-3.2069747,1.6570878,1.7866911
-0.011411905,2.575227,-0.98167884,-1.0077715,-1.4609711,0.82005614,0.54186064,0.5633072,0.57278633,0.09045778
2.9268823,1.0750928,1.757131,0.40875366,-2.6559875,1.6016066,1.4317122,1.0460447,0.55003333,-2.7773168
1.0245903,0.78456837,0.6942438,-0.49793768,0.10617991,-0.022624522,0.7319707,0.11165026,1.2794354,-0.60187393
-0.78119826,0.6911735,-0.011044145,-0.46195006,0.686419,0.6616949,0.48336112,0.13384727,1.6684378,-0.37359184
-1.3985533,0.8015781,-3.6969383,-0.56621283,1.9339942,0.74998444,-2.0847578,-1.6726673,1.7073828,2.2628863
-0.6433846,-2.3109508,-2.2927842,-2.0847375,2.0800016,0.1198151,-1.4891626,-2.1525888,0.6183255,0.90975463
-0.9242784,2.451707,-1.500193,-2.5518415,0.9511796,0.08610287,-0.84039795,-1.1336098,2.7705967,1.6183183
0.09548145,0.6882179,0.38962004,-0.8637708,0.09704007,0.6981349,-0.009555191,1.4273623,1.1368372,-0.2293922
0.6395842,1.6122054,-0.1452568,-1.6370627,-0.7835115,0.2501937,1.7612023,-0.30659848,0.46139956,-0.41474319
1.9257234,-0.98664033,1.2286259,-0.8303454,-0.37148649,0.6765233,1.5484504,-0.23734695,0.75951636,-0.17038068
0.39957076,0.11113143,0.80586946,0.37721696,-0.89203286,1.3860054,0.09929924,-0.3653357,0.39826807,-2.610951
1.3271053,0.78188473,1.9372936,-0.19857618,-0.69769335,0.9278673,1.8685682,0.8186207,0.0636377,-1.5930552
0.9428527,0.095414326,0.49887377,-0.21887127,0.33112562,0.84025323,0.65657014,1.2527494,1.1309831,-0.42089173
0.16803871,2.666918,-2.4585023,-1.892711,-1.6293862,2.7880497,0.22848308,1.2696509,3.9374433,-0.44719627
1.5499804,-0.5630287,0.85467595,-0.8844677,-0.07699449,0.35778537,0.9952123,0.17009985,0.8486316,0.15490717
1.3821466,0.61002934,1.5423545,-0.87816155,-0.4291021,0.7023642,1.2932944,1.4400284,0.7088437,-0.97663903
1.1365759,-0.48758173,0.7963494,-0.67221355,-0.32408732,0.3245588,1.6472518,-0.039079785,-0.74910367,-1.0689689
1.052972,-0.17095071,0.62143445,-0.24343234,-0.27911863,0.80355895,0.8875198,0.4893186,0.6533255,-1.1788027
