Method,Task,Geometry Plausibility,Geometry Details,Texture Quality,Geo.-Tex. Coherence,Prompt-3D Alignment,Overall
hunyuan3d-2.5-i,"Image-to-3D",6.460,2.86,2.79,0.981,3.47,16.561
hunyuan3d-2.0,"Image-to-3D",6.2919,2.7215,2.7644,0.9876,3.4334,16.1988
hunyuan3d-2.5-t,"Text-to-3D",6.42,2.7,2.45,0.947,3.18,15.697
trellis,"Image-to-3D",5.8626,2.392,2.4693,0.9702,3.5048,15.1989
spar3d,"Image-to-3D",5.7791,2.3031,2.4749,0.9601,3.4842,15.0014
triposr,"Image-to-3D",5.2216,2.4225,2.3758,0.9562,3.3643,14.3404
instantmesh,"Image-to-3D",5.4242,2.2252,2.3063,0.9587,3.363,14.2775
crm,"Image-to-3D",4.745,2.2991,2.3777,0.9164,3.219,13.5572
mvdream,"Text-to-3D",4.4064,2.742,2.8116,0.951,2.5879,13.4989
unique3d,"Image-to-3D",4.9288,2.3233,1.9627,0.776,3.1989,13.1897
openlrm,"Image-to-3D",3.7754,2.2614,2.0922,0.902,2.2298,11.2608
wonder3d,"Image-to-3D",3.7879,2.0092,1.9658,0.9255,2.0874,10.7758
sz123,"Image-to-3D",3.6052,1.6548,2.0293,0.8902,2.2578,10.4374
magic123,"Image-to-3D",3.4617,1.74,2.0094,0.898,2.2171,10.3262
grm-i,"Image-to-3D",3.2932,1.857,1.8885,0.849,2.0735,9.9612
lgm,"Image-to-3D",3.2148,1.6733,1.8891,0.8118,2.0304,9.6193
lucid-dreamer,"Text-to-3D",2.9346,1.5891,2.1069,0.8333,2.0297,9.4936
grm-t,"Text-to-3D",3.0096,1.6627,1.7389,0.898,1.793,9.1023
latent-nerf,"Text-to-3D",2.7265,1.7067,1.7065,0.8412,1.7688,8.7497
magic3d,"Text-to-3D",2.9015,1.6239,1.5395,0.9431,1.5618,8.5698
syncdreamer,"Image-to-3D",2.9423,1.5323,1.2134,0.8529,1.2776,7.8185
dreamfusion,"Text-to-3D",2.669,1.2525,1.183,0.9137,1.3446,7.3627
triplane-gaussian,"Image-to-3D",2.2948,1.1859,1.2028,0.6647,1.2908,6.6389
shap-e-i,"Image-to-3D",1.5054,1.3373,0.832,1.5774,0.8755,6.1276
shap-e-t,"Text-to-3D",2.4951,1.448,0.9376,0.6161,1.4391,6.9359
sjc,"Text-to-3D",1.8904,1.57,0.8631,1.1767,1.2761,6.7763
point-e-i,"Image-to-3D",1.1738,1.1178,0.8663,0.9337,0.9257,5.0173
point-e-t,"Text-to-3D",3.1374,1.0174,0.9254,0.5071,1.2621,6.8494
escher-net,"Image-to-3D",1.171,0.8269,0.8654,0.8595,0.9189,4.6417
free3d,"Image-to-3D",0.9077,0.5597,0.6562,0.474,0.6688,3.2664
