Model,Rank,MT-Bench Hard,MT-Bench,MT-Bench,LC-AlpacaEval,openLLM,MMLU,From,Open?,Params(B),Cost,Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-05-13,1,,,,57.5,,87.2,OpenAI,No,-,15,1197.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4-turbo-0409,2,82.6,,,55,86.27,86.5,OpenAI,No,-,30,1137.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimax-abab6.5-chat,3,,,,,,78.7,minimax,No,-,4.2,1090.027116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3-70b-chat-hf,4,41.1,,,34.4,77.88,80.06,meta,Yes,70B,-,1076.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glm-4,5,,,,,,81.5,Zhipu AI,No,-,13.8,1063.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reka-core-20240501,7,,,,,,83.2,Reka AI,No,-,25,1027.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-r-plus,6,33.1,,,,74.62,75.7,Cohere,Yes,104B,15,1048.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-haiku-20240307,8,41.5,9.1,9.1,,84.8,75.2,Anthropic,No,-,1.25,1025.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen1.5-72B-chat,9,36.1,8.61,8.61,36.6,72.91,77.2,Alibaba,Yes,72B,-,1024.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenseChat-5,10,,,,,,84.7,SenseTime,No,-,13.8,1007.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixtral-8x7B-Instruct-v0.1,11,23.4,8.3,8.3,23.7,72.71,71.4,Mistral AI,Yes,7B,-,963.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wenxin-4,12,,,,,,,Baidu,No,-,16.6,955.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zero-one-ai/Yi-34B-Chat,13,23.1,7,7,27.2,63.17,74.87,Zero One AI,Yes,34B,-,942.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
