model_name,ag_input_researcher,large_farm_operator,professional_farmer,small_farmer,Average (All Topics)
Claude-3.5-haiku,13.1078,14.8323,10.8955,10.1271,12.36590766
Claude-haiku-4.5,69.3721,56.4385,51.5493,27.6833,52.84063192
Claude-opus-4.5,66.3852,76.3004,64.6301,54.7895,66.00468475
Claude-sonnet-4.5,44.2239,50.3045,46.4167,25.3696,42.23496585
DeepSeek-R1-0528,52.3101,53.3305,48.557,61.5596,53.70458866
Deepseek-v3.1,34.0768,27.9003,28.3125,25.8293,29.33394455
Deepseek-v3.2-exp,61.6892,74.9174,65.0436,87.6184,71.34018597
DeepSeek-V3-0324,29.3007,27.8157,23.0962,23.1379,26.0879648
Gemini-2.5-flash,16.1984,21.0647,14.4246,16.1057,16.98406469
Gemini-2.5-flash-lite,9.6342,14.0787,10.6556,9.7651,10.97991167
Gemini-2.5-pro,47.8884,54.0435,54.4473,45.0034,50.43020029
Gemini-3-pro-preview,41.3062,54.0394,44.3436,45.0654,46.1533093
Gemma-3-27b-it,33.2778,34.0911,30.2504,23.5466,30.64022747
GLM-4.5,50.8355,59.1203,44.3903,48.3185,50.83704673
GLM-4.5-Air,35.9658,39.438,35.8384,28.6699,35.25712315
Gpt-5,117.089,111.9879,118.9011,98.3861,112.1926213
Gpt-5.1,132.4308,157.406,137.7383,135.4157,140.6559751
Gpt-5-mini,75.4383,75.0885,86.1547,59.0047,74.34256833
Gpt-oss-120b,30.3434,46.1344,35.0479,26.3054,34.62964683
Grok-3-mini,23.4522,24.5811,20.3284,24.969,23.29594754
Grok-4,68.3739,69.3112,73.7128,70.455,70.41157242
Grok-4.1-fast,25.0256,20.8067,27.1992,23.175,24.08985138
Grok-4.1-fast-thinking,40.5094,44.5835,43.8897,54.7598,45.40523004
Kimi-K2-Instruct,24.2689,24.7006,18.4177,15.6973,21.11152292
Kimi-k2-thinking,63.1766,74.4992,73.7857,60.0506,68.0282735
Llama-3.1-nemotron-ultra-253b-v1,29.2634,41.2077,31.6158,42.6803,35.678345
Llama-3.3-nemotron-super-49b-v1.5,29.7519,38.115,34.8889,41.0264,35.55935411
Llama-4-maverick,11.1642,13.0467,9.7799,14.8059,12.08569704
Llama-4-scout,16.0982,14.4672,15.4599,14.3707,15.15800778
Magistral-small-2506,7.3283,7.9912,6.527,8.3095,7.510135598
Minimax-m2,75.677,62.4322,78.3261,53.4083,68.35790329
Mistral-large-2512,69.0277,62.8374,60.8943,50.5348,61.59501498
Nemotron-nano-9b-v2,19.2514,18.184,17.6735,14.2169,17.50408955
Nova-lite-v1,6.4751,6.8216,6.4547,6.3224,6.525232401
Nova-pro-v1,8.4274,8.1033,7.5394,7.06,7.83512939
Phi-3-mini-128k-instruct,11.8013,24.0792,28.4105,16.388,19.88632743
Phi-4,14.6097,16.3131,12.971,15.6721,14.87012727
Qwen3-235B-A22B-Thinking-2507,73.2685,78.8224,68.3296,76.9412,74.1826127
Qwen3-30b-a3b-instruct-2507,22.3004,21.5667,28.993,13.7122,21.86853585
Qwen3-next-80b-a3b-thinking,28.6866,36.1919,32.1134,32.2459,32.18985488
