排名,大模型名称,"回答获取
方式",机构,"中学水平
正确率","大学水平
正确率",平均正确率
1,GPT 4-Turbo,API,OpenAI,83.95%,72.14%,76.77%
2,GPT 4,API,OpenAI,81.94%,73.22%,76.64%
3,Gemini Pro,网页,Google,79.93%,60.69%,68.24%
4,文心一言4.0,API,百度,69.23%,66.09%,67.32%
5,Claude 2,网页,Anthropic,80.94%,55.29%,65.35%
6,商汤日日新,API,商汤科技,73.24%,58.10%,64.04%
7,GPT 3.5-Turbo,API,OpenAI,76.92%,54.43%,63.25%
8,MiniMax,API,MiniMax,73.91%,53.78%,61.68%
9,Llama 2,API,Meta,64.55%,58.53%,60.89%
10,通义千问2.0,API,阿里巴巴,65.89%,49.46%,55.91%
11,讯飞星火v3.0,API,科大讯飞,67.22%,47.52%,55.25%
12,百川大模型,API,百川智能,59.87%,49.89%,53.81%
13,360智脑,API,360,74.92%,36.07%,51.31%
14,智谱清言,API,清华&智谱,54.85%,39.31%,45.41%
15,BLOOMZ-7B,API,BigScience,32.11%,32.18%,32.15%
16,悟道·天鹰,API,智源研究院,29.10%,24.84%,26.51%
