排名,模型,Model version,机构,国家,数学,化学,历史,地理,生物,物理,平均正确率
1,通义千问-VL,qwen-vl-max-0809,阿里巴巴,中国,46.70%,53.30%,83.30%,66.70%,71.40%,48.60%,61.70%
2,GPT-4o,gpt-4o-2024-05-13,OpenAI,美国,43.30%,43.30%,70.00%,73.30%,50.00%,48.60%,54.80%
3,Claude,claude-3-5-sonnet-20240620,Anthropic,美国,43.30%,63.30%,70.00%,70.00%,42.90%,37.10%,54.40%
4,海螺AI,not specified,MiniMax,中国,23.30%,56.70%,70.00%,70.00%,64.30%,28.60%,52.10%
5,Step-1V,step-1v-32k,阶跃星辰,中国,30.00%,36.70%,76.70%,50.00%,78.60%,40.00%,52.00%
6,GPT-4 Turbo,gpt-4-turbo-2024-04-09,OpenAI,美国,33.30%,53.30%,46.70%,63.30%,64.30%,45.70%,51.10%
7,混元-Vision,hunyuan-vision,腾讯,混元,40.00%,50.00%,73.30%,66.70%,42.90%,31.40%,50.70%
8,Gemini,gemini-1.5-pro,Google,美国,40.00%,46.70%,73.30%,63.30%,35.70%,37.10%,49.40%
9,书生•万象,InternVL2-40B,上海人工智能实验室,中国,23.30%,36.70%,80.00%,53.30%,64.30%,34.30%,48.70%
10,SenseChat-Vision5,SenseChat-Vision5,商汤科技,中国,26.70%,43.30%,80.00%,50.00%,64.30%,25.70%,48.30%
11,文心一言,文心大模型 4.0 Turbo,百度,中国,43.30%,36.70%,70.00%,46.70%,42.90%,45.70%,47.50%
12,Yi-Vision,yi-vision,零一万物,中国,40.00%,23.30%,56.70%,70.00%,50.00%,31.40%,45.20%
13,百小应,Baichuan4,百川智能,中国,20.00%,33.30%,70.00%,73.30%,42.90%,25.70%,44.20%
14,GPT-4o-mini,gpt-4o-mini-2024-07-18,OpenAI,美国,26.70%,40.00%,40.00%,56.70%,50.00%,31.40%,40.80%
15,浦语•灵笔2,internlm-xcomposer2-vl-7b,上海人工智能实验室,中国,23.30%,26.70%,66.70%,46.70%,35.70%,22.90%,37.00%
16,智谱GLM-4V,glm-4v,智谱AI,中国,23.30%,30.00%,50.00%,40.00%,42.90%,28.60%,35.80%
17,Reka Core,reka-core-20240501,Reka,美国,23.30%,33.30%,60.00%,53.30%,21.40%,17.10%,34.80%
18,MiniCPM-Llama3-V 2.5,MiniCPM-Llama3-V 2.5,面壁智能,中国,23.30%,20.00%,53.30%,50.00%,21.40%,31.40%,33.30%
19,讯飞星火,spark/v2.1/image,科大讯飞,中国,26.70%,26.70%,30.00%,40.00%,42.90%,17.10%,30.60%
20,DeepSeek-VL,deepseek-vl-7b-chat,深度求索,中国,10.00%,30.00%,30.00%,40.00%,14.30%,28.60%,25.50%
