id,class
50309,low
95219,low
197653,medium
111236,low
147247,medium
353495,low
285002,high
249557,low
417657,low
400306,medium
366550,low
219723,medium
149309,medium
156746,medium
512352,medium
78273,low
395971,medium
440355,medium
401961,medium
24725,medium
242321,medium
428252,low
57250,low
300722,medium
316773,medium
105667,low
159177,medium
58096,medium
323180,medium
398555,medium
431636,medium
182634,low
234908,low
3581,medium
453453,medium
363661,low
483614,medium
412186,medium
48976,medium
33569,medium
185848,medium
33150,medium
75438,low
296975,medium
458488,medium
426304,medium
220754,medium
473556,medium
403137,medium
52689,medium
123119,medium
357725,medium
374725,medium
85912,medium
397750,low
261704,medium
413774,low
67459,medium
72869,low
380830,medium
458752,low
158875,low
181595,medium
298118,medium
299723,low
119078,medium
91382,medium
7199,medium
148349,medium
293034,medium
431414,medium
387327,medium
248206,low
167458,medium
434965,medium
428809,medium
134542,low
311253,low
206452,low
30860,medium
173036,medium
413188,medium
24038,medium
200421,medium
213269,medium
212526,low
72871,low
318229,medium
344394,medium
444689,low
273362,low
368357,medium
407952,medium
474017,low
509754,low
161249,low
140499,medium
172265,medium
336248,medium
471568,medium
71294,low
195414,low
319930,medium
161350,low
289109,medium
217731,medium
166972,medium
242595,low
470480,medium
193151,medium
24037,medium
255419,low
291362,medium
288865,low
502454,low
339494,medium
221159,low
76078,medium
149165,medium
220895,medium
340410,medium
189427,low
309986,medium
425059,medium
315380,low
87938,medium
78098,medium
382872,medium
310141,low
480821,low
38979,low
143400,medium
264087,medium
396142,low
258877,medium
224154,low
191594,low
283116,low
332549,medium
97998,medium
49990,medium
296651,low
129871,medium
238529,low
37872,medium
433450,medium
244967,low
275664,medium
207882,low
271007,medium
465081,medium
333584,low
25828,medium
397699,medium
86585,medium
123226,medium
323339,medium
147180,low
94824,low
276910,medium
171014,low
39461,medium
203277,medium
50400,medium
119186,medium
118705,medium
107488,low
441562,medium
18790,medium
393112,medium
301230,medium
141419,medium
96678,low
193567,medium
432951,medium
462491,medium
148060,medium
147998,medium
63926,medium
39449,medium
103495,low
245695,medium
55704,medium
507420,low
338687,medium
468180,high
206523,low
328444,medium
496256,low
136902,medium
66231,low
398771,low
115812,low
37223,medium
431960,medium
317688,medium
387496,medium
244722,medium
384931,low
440859,medium
447376,medium
46661,medium
158881,medium
464608,low
345567,medium
481309,medium
51540,low
372372,medium
244324,medium
307032,medium
302257,medium
487180,high
64020,low
64783,low
344136,low
411607,medium
25783,medium
61616,medium
403928,low
374954,medium
113233,medium
358907,medium
388560,low
32782,high
276375,medium
208279,medium
19727,medium
260574,medium
48030,medium
466713,medium
182647,medium
216555,medium
43181,medium
327887,medium
304226,medium
382632,medium
348686,medium
342317,medium
295516,low
152965,medium
466976,medium
205447,medium
266355,medium
77381,medium
367814,medium
162888,medium
24057,medium
58446,medium
220251,medium
66659,low
468348,medium
139844,low
195117,medium
361783,medium
214893,low
157682,medium
268133,low
50935,medium
127049,medium
173592,medium
309755,low
252179,medium
229099,medium
121396,medium
236552,medium
141178,medium
69264,medium
142291,medium
154971,medium
249623,high
284378,medium
277862,medium
115918,medium
53153,low
490693,medium
165871,low
41246,low
485055,medium
191924,medium
463350,low
403513,medium
356063,low
477372,medium
119325,medium
23467,medium
160970,medium
186433,medium
255382,medium
325595,medium
214761,low
262848,medium
77554,medium
505285,medium
256493,low
476691,medium
27142,low
506829,low
6209,medium
295176,medium
154031,medium
451250,medium
37400,medium
462087,low
34289,low
372460,low
59866,medium
260072,medium
379625,medium
101385,low
147946,medium
343931,medium
360888,medium
247080,medium
213033,low
251664,medium
96341,medium
13040,medium
356005,low
435278,low
131723,medium
483384,medium
13101,medium
38490,medium
36945,medium
441538,medium
238335,medium
335438,low
206824,low
117422,medium
439208,medium
306575,low
110516,medium
185186,low
155293,medium
66409,medium
181901,medium
182790,medium
503990,medium
66590,low
357336,medium
340284,medium
104018,medium
274796,medium
179449,medium
332659,medium
215326,medium
198960,low
142469,medium
1114,medium
168015,low
69778,low
253503,medium
388478,medium
373783,medium
394748,medium
347779,low
35635,medium
175756,medium
164713,low
240753,low
260511,medium
244275,medium
416008,medium
430287,low
461266,low
228112,low
17490,medium
119136,low
377975,medium
370527,medium
283339,medium
370648,low
504344,low
411919,low
293756,low
304596,medium
503938,medium
410298,medium
362832,medium
121793,medium
164802,medium
505653,medium
2173,medium
304949,medium
16358,medium
178641,medium
281994,medium
266562,medium
295414,medium
230026,medium
286392,low
514190,low
390778,medium
446671,medium
20884,medium
468028,medium
159134,medium
286583,medium
170309,medium
75067,low
316749,medium
404915,medium
509588,medium
52670,low
304941,low
220337,low
138560,medium
294556,medium
85048,low
361662,low
132058,medium
175474,medium
246828,high
428789,medium
503248,medium
31835,low
415322,medium
325577,medium
227780,medium
331437,medium
171262,low
352817,medium
159001,medium
162959,medium
497425,low
487094,low
323865,medium
76062,medium
198415,medium
181929,medium
265259,medium
86911,low
273885,medium
212833,medium
435089,medium
361569,medium
21700,low
266704,low
48821,medium
343698,medium
508167,medium
406997,low
176618,low
33839,medium
334597,medium
357279,medium
416087,medium
373283,medium
241648,medium
145494,medium
369839,low
338337,low
484258,low
89207,medium
448849,medium
174959,low
237658,medium
441631,medium
396581,medium
475981,medium
457575,low
493493,medium
17233,low
496953,low
413545,medium
223566,medium
194140,medium
16070,medium
123861,low
78645,medium
220583,medium
272642,medium
482617,medium
98936,medium
115029,medium
407340,medium
363802,medium
27167,low
458451,medium
381370,medium
117981,low
466364,medium
378697,medium
517212,medium
156272,medium
28291,medium
105811,medium
400673,low
317546,medium
191281,medium
412455,medium
504284,low
470730,medium
244393,low
430385,medium
120656,medium
217608,medium
465612,medium
99766,low
468071,low
243382,medium
112802,medium
58471,medium
37057,low
300685,low
473329,low
381544,medium
231227,low
331317,medium
131822,medium
174948,medium
47796,medium
274546,medium
80300,medium
440154,medium
233140,low
409668,medium
502366,medium
61343,low
236359,medium
9207,medium
476897,medium
40063,medium
453110,medium
318285,low
84161,medium
256996,medium
443844,medium
483045,medium
35236,medium
419995,medium
