"Rank","Model","Accuracy","Accuracy on Real","Accuracy on Fake","Accuracy on WAV","Accuracy on FLAC","Accuracy on MP3","Accuracy on WEBM","Accuracy on M4A","Accuracy on OGG"
"1","<a href=""https://www.resemble.ai/detect/"">Resemble AI</a>","96.6622","94.39","98.94","98.07000000000001","97.38","96.25","94.73","97.46000000000001","96.17"
"2","<a href=""https://arxiv.org/abs/2110.01200"">AASIST + Wav2Vec2</a>","89.0363","84.53","93.55","90.88000000000001","90.29","89.91","87.22","86.92","89.03999999999999"
"3","<a href=""https://arxiv.org/abs/2406.17376"">TCM-ADD + Wav2Vec2</a>","88.7931","85.41","92.17999999999999","89.92","88.98","89.91","86.96000000000001","87.32","89.7"
"4","<a href=""https://arxiv.org/abs/2504.05657"">Nes2Net + Wav2Vec2</a>","85.3006","75.55","95.05","87.42999999999999","85.56","86.16","82.21000000000001","84.38","86.13"
"5","<a href=""https://en.wikipedia.org/wiki/Mamba_(deep_learning_architecture)"">MambaSSM + Wav2Vec2</a>","81.4766","71.44","91.51","82.17999999999999","81.10000000000001","82.41000000000001","80.11","79.97","83.09"
"6","<a href=""https://openreview.net/pdf?id=acJMIXJg2u"">XLS + Wav2Vec2</a>","81.3439","68.39","94.3","82.73","81.5","82.41000000000001","79.45","79.97","82.03"
"7","<a href=""https://arxiv.org/abs/2107.12710"">RawGat-ST</a>","79.1556","76.75","81.56","79.42","79.79","79.17","80.11","78.5","77.94"
"8","<a href=""https://arxiv.org/abs/2110.01200"">AASIST + HuBERT</a>","78.5809","59.77","97.39","81.49","81.36","79.43","76.02","75.42999999999999","77.81"
"9","<a href=""https://en.wikipedia.org/wiki/Mamba_(deep_learning_architecture)"">MambaSSM + WavLM</a>","78.5367","63.129999999999995","93.94","79.7","79.92","79.3","77.21000000000001","75.57000000000001","79.52"
"10","<a href=""https://openreview.net/pdf?id=acJMIXJg2u"">XLS + HuBERT</a>","77.5641","57.29","97.83","79.7","80.58","77.88000000000001","75.89","74.1","77.28"
"11","<a href=""https://en.wikipedia.org/wiki/Mamba_(deep_learning_architecture)"">MambaSSM + HuBERT</a>","76.702","56.45","96.95","79.01","78.48","77.10000000000001","75.49","74.22999999999999","75.96000000000001"
"12","<a href=""https://arxiv.org/html/2409.05032v1"">MHFA + Data2Vec</a>","76.2157","59.330000000000005","93.10000000000001","78.45","76.64","77.88000000000001","75.22999999999999","73.16","75.96000000000001"
"13","<a href=""https://arxiv.org/html/2409.05032v1"">MHFA + WavLM</a>","75.1989","62.25000000000001","88.14999999999999","75.14","77.17","75.68","74.7","71.7","76.75"
"14","<a href=""https://arxiv.org/abs/2110.01200"">AASIST + Data2Vec</a>","75.1547","55.00000000000001","95.30999999999999","75.69","77.56","76.46","72.99","72.63","75.56"
"15","<a href=""https://en.wikipedia.org/wiki/Mamba_(deep_learning_architecture)"">MambaSSM + Data2Vec</a>","74.1158","52.83","95.39999999999999","75.55","76.38000000000001","76.71","72.07000000000001","70.23","73.71"
"16","<a href=""https://openreview.net/pdf?id=acJMIXJg2u"">XLS + Data2Vec</a>","73.0769","49.6","96.55","73.61999999999999","74.67","74.13","71.54","71.03","73.45"
"17","<a href=""https://arxiv.org/html/2409.05032v1"">MHFA + Wav2Vec2</a>","72.4801","54.02","90.94","73.9","73.88","73.87","70.09","70.49","72.66"
"18","<a href=""https://arxiv.org/abs/2011.01108"">RawNet2</a>","71.0654","53.669999999999995","88.46000000000001","67.54","70.73","72.32","74.03999999999999","68.89","72.66"
"19","<a href=""https://github.com/nii-yamagishilab/project-NN-Pytorch-scripts/blob/master/project/03-asvspoof-mega/lfcc-lcnn-fixed-sig/06/model.py"">LCNN</a>","69.7834","47.61","91.95","73.48","72.31","71.41","59.29","72.36","70.00999999999999"
