Model,Agg S2R,Agg MC,Agg VerilogEval S2R,Agg VerilogEval MC,Agg RTLLM,Agg VeriGen
DeepSeek V3.1 Terminus,71.79,76.57,74.92,76.83,61.48,74.2
Kimi K2 Instruct 0905,68.72,71.77,70.82,72.44,61.79,65.63
Gemini 2.5 Flash (Medium),63.55,69.84,68.27,69.16,47.99,76.02
DeepSeek R1-0528,76.79,78.86,78.84,79.65,70.04,71.64
DeepSeek R1,75.53,76.99,77.67,77.55,68.49,71.92
Qwen3 Coder 480B A35B,60.56,57.84,62.98,56.13,52.56,73.45
Llama 3.1 405B,53.23,54.73,56.55,54.35,42.26,58.23
Qwen3 236B A22B,69.16,67.53,74.83,68.36,50.48,60.01
gpt-oss-120b,70.52,77.82,75.89,78.74,52.82,69.41
Qwen2.5 72B,49.36,50.41,50.22,50.74,46.51,47.42
Llama 3.(1-3) 70B,39.48,43.15,39.47,40.83,39.53,64.29
Seed-OSS-36B,67.52,73.85,69.51,74.32,60.94,69.58
QwQ 32B,62.6,40.06,65.02,38.68,54.6,52.6
Qwen2.5 32B,50.39,41.4,50.86,41.01,48.86,45.0
Magistral Small 2506,40.82,22.62,40.96,19.96,40.37,46.88
gpt-oss-20b,63.7,66.48,67.41,68.44,51.46,48.58
StarChat2 15B v0.1,38.76,38.19,36.68,35.58,45.61,61.96
DeepSeek R1 Distill Qwen 14B,23.14,24.57,24.94,24.3,17.22,27.07
Hermes-4-14B-Reasoning,50.33,37.25,54.75,35.24,35.74,55.54
Hermes-4-14B,42.77,27.96,41.15,26.11,48.1,44.83
Qwen3-8B,45.1,48.16,48.72,49.24,33.17,38.32
CodeLlama 70B,33.04,33.68,32.2,32.27,35.81,46.56
DeepSeek Coder 33B,27.03,38.47,22.65,37.64,41.47,46.01
QwenCoder 2.5 32B,44.02,45.08,43.68,44.05,45.15,54.52
DeepCoder 14B,26.4,33.07,27.32,33.18,23.38,32.07
QwenCoder 2.5 14B,37.69,40.99,35.32,40.26,45.5,47.64
SeedCoder 8B,50.89,36.63,51.71,36.52,48.2,37.66
SeedCoder 8B Reasoning,43.75,48.07,47.85,46.76,30.22,59.97
OpenCoder 8B,30.06,35.58,26.8,34.57,40.83,44.8
QwenCoder 2.5 7B,14.15,33.64,6.57,33.0,39.16,39.46
DeepSeek Coder 6.7B,31.87,29.8,28.88,28.99,41.75,37.19
CodeV R1 Distill Qwen 7B,36.12,24.85,32.35,20.56,48.57,63.98
HaVen-CodeQwen,43.58,48.69,44.67,47.23,39.98,62.04
CodeV-QW-7B,20.37,51.58,18.82,50.64,25.48,60.14
RTLCoder Mistral,21.82,28.83,23.71,26.34,15.58,51.5
RTLCoder DeepSeek,37.22,37.85,38.33,36.13,33.58,53.57
OriGen,52.88,52.54,53.0,50.0,52.47,75.66
CodeV-CL-7B,14.73,32.7,12.71,30.93,21.38,48.85
CodeV-DS-6.7B,19.62,47.44,14.8,46.08,35.52,59.87
