Model Type,Model Name,Ability,Sampled by,Evaluated by,Accessibility,Date,WorldScore-Static,WorldScore-Dynamic,Camera Control,Object Control,Content Alignment,3D Consistency,Photometric Consistency,Style Consistency,Subjective Quality,Motion Accuracy,Motion Magnitude,Motion Smoothness
Video,[Gen-3](https://runwayml.com/),I2V,WorldScore,WorldScore,API,2025.03.30,60.71,57.58,29.47,62.92,50.49,68.31,87.09,62.82,63.85,54.53,27.48,68.87
Video,[Hailuo](https://hailuoai.video/),I2V,WorldScore,WorldScore,API,2025.03.30,57.55,56.36,22.39,69.56,73.53,67.18,62.82,54.91,52.44,63.46,27.20,70.07
Video,[DynamiCrafter](https://doubiiu.github.io/projects/DynamiCrafter/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,52.09,47.19,25.15,47.36,25.00,72.90,60.95,78.85,54.40,41.11,39.25,26.92
Video,[VideoCrafter1-T2V](https://ailab-cvc.github.io/videocrafter1/),T2V,WorldScore,WorldScore,Open Source,2025.03.30,47.10,43.54,21.61,50.44,60.78,64.86,51.36,38.05,42.63,11.76,75.00,18.87
Video,[VideoCrafter1-I2V](https://ailab-cvc.github.io/videocrafter1/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,50.47,47.64,25.46,24.25,35.27,74.42,73.89,65.17,54.85,55.63,25.00,42.49
Video,[VideoCrafter2](https://ailab-cvc.github.io/videocrafter2/),T2V,WorldScore,WorldScore,Open Source,2025.03.30,52.57,47.49,28.92,39.07,72.46,65.14,61.85,43.79,56.74,47.12,30.40,29.39
Video,[T2V-Turbo](https://t2v-turbo.github.io/),T2V,WorldScore,WorldScore,Open Source,2025.03.30,45.65,40.20,27.80,30.68,69.14,38.72,34.84,49.65,68.74,34.87,40.09,7.48
Video,[EasyAnimate](https://easyanimate.github.io/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,52.85,51.65,26.72,54.50,50.76,67.29,47.35,73.05,50.31,75.00,31.16,40.32
Video,[CogVideoX-T2V](https://github.com/THUDM/CogVideo),T2V,WorldScore,WorldScore,Open Source,2025.03.30,54.18,48.79,40.22,51.05,68.12,68.81,64.20,42.19,44.67,25.00,47.31,36.28
Video,[CogVideoX-I2V](https://github.com/THUDM/CogVideo),I2V,WorldScore,WorldScore,Open Source,2025.03.30,62.15,59.12,38.27,40.07,36.73,86.21,88.12,83.22,62.44,69.56,26.42,60.15
Video,[Allegro](https://github.com/rhymes-ai/Allegro),I2V,WorldScore,WorldScore,Open Source,2025.03.30,55.31,51.97,24.84,57.47,51.48,70.50,69.89,65.60,47.41,54.39,40.28,37.81
Video,[Vchitect-2.0](https://vchitect.intern-ai.org.cn/),T2V,WorldScore,WorldScore,Open Source,2025.03.30,42.28,38.47,26.55,49.54,65.75,41.53,42.30,25.69,44.58,33.59,33.81,21.31
Video,[LTX-Video](https://www.lightricks.com/),I2V,WorldScore,WorldScore,Open Source,2025.07.03,55.44,56.54,25.06,53.41,39.73,78.41,88.92,53.50,49.08,76.22,29.95,71.09
Video,[Wan2.1](https://wan.video/),I2V,WorldScore,WorldScore,Open Source,2025.10.01,57.56,52.85,23.53,40.32,45.44,78.74,78.36,77.18,59.38,54.27,33.26,38.05
Video,[TeleWorld](https://github.com/Tele-AI/MMPL/),I2V,TeleWorld,TeleWorld,Open Source,2025.12.09,78.23,66.73,76.58,74.44,73.20,87.35,88.82,85.59,61.66,53.94,31.55,34.18
3D,[SceneScape](https://scenescape.github.io/),T2V,WorldScore,WorldScore,Open Source,2025.03.30,50.73,35.51,84.99,47.44,28.64,76.54,62.88,21.85,32.75,0.00,0.00,0.00
3D,[Text2Room](https://lukashoel.github.io/text-to-room/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,62.10,43.47,94.01,38.93,50.79,88.71,88.36,37.23,36.69,0.00,0.00,0.00
3D,[LucidDreamer](https://luciddreamer-cvlab.github.io/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,70.40,49.28,88.93,41.18,75.00,90.37,90.20,48.10,58.99,0.00,0.00,0.00
3D,[WonderJourney](https://kovenyu.com/wonderjourney/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,63.75,44.63,84.60,37.10,35.54,80.60,79.03,62.82,66.56,0.00,0.00,0.00
3D,[InvisibleStitch](https://research.paulengstler.com/invisible-stitch/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,61.12,42.78,93.20,36.51,29.53,88.51,89.19,32.37,58.50,0.00,0.00,0.00
3D,[WonderWorld](https://kovenyu.com/wonderworld/),I2V,WorldScore,WorldScore,Open Source,2025.03.30,72.69,50.88,92.98,51.76,71.25,86.87,85.56,70.57,49.81,0.00,0.00,0.00
3D,[Voyager](https://3d-models.hunyuan.tencent.com/world/),I2V,Voyager,Voyager,Open Source,2025.06.25,77.62,54.53,85.95,66.92,68.92,81.56,85.99,84.89,71.09,0.00,0.00,0.00
4D,[4D-fy](https://sherwinbahmani.github.io/4dfy/),T2V,WorldScore,WorldScore,Open Source,2025.03.30,27.98,32.10,69.92,55.09,0.85,35.47,1.59,32.04,0.89,22.22,22.88,80.06
