,Seatpost LENGTH,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,std,htd,ssd,Chain stay position on BB,SSTopZOFFSET,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,BB length,Wheel cut,BELTorCHAIN,Number of cogs,Number of chainrings,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,MATERIAL OHCLASS: ALUMINIUM,MATERIAL OHCLASS: STEEL,MATERIAL OHCLASS: TITANIUM,Head tube type OHCLASS: 0,Head tube type OHCLASS: 1,Head tube type OHCLASS: 2,Head tube type OHCLASS: 3,Down tube type OHCLASS: 0,Down tube type OHCLASS: 1,Down tube type OHCLASS: 2,RIM_STYLE front OHCLASS: DISC,RIM_STYLE front OHCLASS: SPOKED,RIM_STYLE front OHCLASS: TRISPOKE,RIM_STYLE rear OHCLASS: DISC,RIM_STYLE rear OHCLASS: SPOKED,RIM_STYLE rear OHCLASS: TRISPOKE,Handlebar style OHCLASS: 0,Handlebar style OHCLASS: 1,Handlebar style OHCLASS: 2,Stem kind OHCLASS: 0,Stem kind OHCLASS: 1,Stem kind OHCLASS: 2,Fork type OHCLASS: 0,Fork type OHCLASS: 1,Fork type OHCLASS: 2,Seat tube type OHCLASS: 0,Seat tube type OHCLASS: 1,Seat tube type OHCLASS: 2
592,350.0,460.0,55.0,651.6834,69.5,231.5,45.0,590.4,70.0,704.81866,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,31.9,65.4,59.9,330.0,300.0,16.0,18.0,0.0,0.0,135.0,1.1974207,1.2778203,1.5541216,1.3595846,1.7791086,1.5067418,1.0943285,736.6,114.6,736.6,114.6,68.0,692.0,1.0,9.0,1.0,255.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,839.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3118,330.0,427.0,31.7,532.5862,68.4,105.9,60.0,410.0,71.9,653.6561,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,23.7,75.2,49.4,330.0,350.0,16.0,18.0,1.0,1.0,130.0,4.7340207,0.926421,1.0892793,1.2862062,0.6521845,0.7068867,1.0511385,675.0,116.0,675.0,116.0,68.0,692.0,1.0,9.0,0.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,270.0,655.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1871,150.0,365.0,0.0,507.26575,71.0,115.0,55.0,308.0,72.0,615.9078,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,27.1,54.1,48.0,330.0,350.0,16.0,18.0,0.0,0.0,135.0,1.6680305,0.6957648,0.32782248,0.6204553,2.0700212,0.49738258,0.44304428,659.0,100.0,659.0,100.0,68.0,692.0,1.0,0.0,0.0,51.0,51.0,255.0,1.0,1.0,80.0,80.0,278.0,380.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3861,330.0,400.0,-40.0,592.56805,72.0,348.5,150.0,540.0,71.0,592.008,45.0,40.0,34.9,41.3,25.4,31.8,45.0,20.5,15.0,9.0,30.1,48.3,36.5,330.0,350.0,16.0,18.0,1.0,1.0,130.0,3.2147145,3.5922196,2.15671,1.3327434,1.6810862,1.9157689,1.655253,486.0,80.0,486.0,80.0,68.0,692.0,0.0,0.0,0.0,153.0,153.0,153.0,3.0,3.0,40.0,40.0,298.0,785.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4103,250.0,440.0,65.0,645.2356,72.0,200.0,40.0,580.0,72.0,660.10486,52.0,40.0,30.25,36.25,18.1,28.6,39.0,14.4,10.0,3.0,31.0,34.2,51.0,370.0,372.0,14.0,18.0,1.0,1.0,135.0,29.30361,16.174728,16.060106,22.351868,15.135947,12.831684,9.705528,700.0,78.0,700.0,78.0,68.0,692.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,80.0,80.0,278.0,763.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4392,300.0,410.0,65.0,592.6669,73.5,150.0,45.0,577.5,73.5,656.66077,45.0,40.0,31.8,36.5,20.45,31.8,45.0,15.0,15.0,9.0,31.8,47.5,48.8,330.0,350.0,16.0,18.0,1.0,1.0,120.0,2.6746416,0.79506975,1.5053008,1.3998388,1.030055,1.3456786,1.1654476,685.0,63.0,685.0,63.0,68.0,692.0,1.0,0.0,0.0,17.0,66.0,50.0,1.0,1.0,80.0,80.0,298.0,790.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1275,300.0,444.0,58.0,564.22565,71.0,116.9,45.0,442.2,73.0,664.7647,45.0,40.0,35.0,38.95,20.45,31.6,45.0,15.0,15.0,9.0,30.0,36.2,45.4,330.0,300.0,16.0,18.0,0.0,0.0,130.0,0.8750926,0.57828575,0.45826703,0.4743229,0.53838086,0.65467614,0.28249115,736.0,114.0,736.0,114.0,68.0,692.0,1.0,0.0,0.0,255.0,255.0,204.0,1.0,1.0,80.0,80.0,298.0,718.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
129,300.0,399.0,70.0,574.41046,73.0,125.0,45.0,474.7,74.5,648.31525,45.0,40.0,31.8,36.5,20.45,30.2,45.0,15.0,15.0,9.0,33.0,49.7,49.9,330.0,350.0,16.0,18.0,0.0,0.0,130.0,5.727516,0.5744165,2.8696308,1.404901,1.5575871,0.9063821,0.99012345,674.0,52.0,674.0,52.0,68.0,692.0,1.0,8.0,1.0,204.0,204.0,255.0,1.0,1.0,80.0,80.0,278.0,671.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3222,330.0,400.0,70.0,546.1799,72.5,110.1,45.0,463.8,74.0,616.021,45.0,50.0,31.8,50.0,25.025,31.8,50.0,14.0,15.0,9.0,19.3,13.8,45.9,330.0,350.0,16.0,18.0,1.0,1.0,130.0,12.647371,3.8200326,3.2077012,2.2474623,5.6380763,7.1895103,1.2346311,674.0,52.0,674.0,52.0,68.0,692.0,1.0,10.0,1.0,255.0,255.0,255.0,1.0,1.0,80.0,80.0,275.0,705.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1408,350.0,387.0,50.0,544.9194,75.0,135.0,55.0,592.5,76.0,632.3834,35.0,40.0,35.0,50.0,23.75,35.0,44.0,19.0,15.0,9.0,41.6,42.5,49.5,330.0,300.0,16.0,18.0,0.0,0.0,120.0,2.1240559,1.4497627,2.4166527,1.1211175,1.4281487,1.5496113,2.1648264,674.0,52.0,674.0,52.0,68.0,692.0,1.0,0.0,0.0,51.0,153.0,0.0,1.0,1.0,80.0,80.0,278.0,730.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
