Model,3SAT,Vertex Cover,Superstring,QDE,3DM,TSP,Hamiltonian Cycle,Bin Packing,3-COL,Min Sum Square,Bandwidth,Max Leaf Span Tree,Date,Average ⬆️,Rank,Reasoning,Open-source
DeepSeek-R1,0.768,0.6459999999999999,0.607,0.603,0.756,0.6490000000000001,0.634,0.629,0.7019999999999998,0.41900000000000004,0.646,0.42699999999999994,2025-01,0.6238333333333334,1,True,True
o3-mini,0.5919999999999999,0.5010000000000001,0.497,0.627,0.516,0.351,0.548,0.43000000000000005,0.731,0.355,0.5670000000000001,0.4,2025-01,0.5095833333333334,2,True,False
Claude-3.7-Sonnet,0.387,0.5549999999999999,0.788,0.33999999999999997,0.3519999999999999,0.6559999999999999,0.42699999999999994,0.29699999999999993,0.199,0.6829999999999999,0.6260000000000001,0.519,2025-02,0.48574999999999996,3,False,False
DeepSeek-V3-2503,0.49700000000000005,0.49800000000000005,0.49399999999999994,0.396,0.26099999999999995,0.5599999999999998,0.328,0.37200000000000005,0.35700000000000004,0.4539999999999999,0.554,0.38500000000000006,2025-03,0.4296666666666667,4,False,True
o1-mini,0.44600000000000006,0.44499999999999995,0.23199999999999998,0.21999999999999997,0.41000000000000003,0.38699999999999996,0.30300000000000005,0.26999999999999996,0.376,0.21299999999999994,0.586,0.20199999999999996,2024-09,0.3408333333333333,5,True,False
DeepSeek-V3,0.27199999999999996,0.43499999999999994,0.367,0.24899999999999997,0.11700000000000002,0.44800000000000006,0.18600000000000003,0.20600000000000002,0.159,0.458,0.643,0.4459999999999999,2024-12,0.33216666666666667,6,False,True
QwQ-32B,0.261,0.34199999999999997,0.271,0.16599999999999998,0.42399999999999993,0.24699999999999997,0.37500000000000006,0.225,0.367,0.078,0.622,0.2,2025-03,0.29816666666666664,7,True,True
GPT-4o,0.22099999999999995,0.32599999999999996,0.199,0.12200000000000003,0.11300000000000002,0.32,0.162,0.185,0.10400000000000001,0.3769999999999999,0.6209999999999998,0.163,2024-11,0.24275,8,False,False
DeepSeek-R1-32B,0.201,0.321,0.12500000000000003,0.165,0.139,0.196,0.141,0.03300000000000001,0.10400000000000001,0.05900000000000001,0.499,0.062,2025-01,0.17041666666666666,9,True,True
GPT-4o-mini,0.13799999999999998,0.21600000000000003,0.045000000000000005,0.075,0.054000000000000006,0.14600000000000002,0.11500000000000002,0.039999999999999994,0.05700000000000001,0.168,0.58,0.046,2024-07,0.13999999999999999,10,False,False
