Rank,Models,Model Size(B),Image-Overall,I-CLS,I-QA,I-RET,I-VG,VOC2007,N24News,SUN397,ObjectNet,Country211,Place365,ImageNet-1K,HatefulMemes,ImageNet-A,ImageNet-R,OK-VQA,A-OKVQA,DocVQA,InfographicsVQA,ChartQA,Visual7W,ScienceQA,GQA,TextVQA,VizWiz,VisDial,CIRR,VisualNews_t2i,VisualNews_i2t,MSCOCO_t2i,MSCOCO_i2t,NIGHTS,WebQA,FashionIQ,Wiki-SS-NQ,OVEN,EDIS,MSCOCO,RefCOCO,RefCOCO-Matching,Visual7W-Pointing
1,"<a href=""https://interestfm-tte.github.io/"">IFM-TTE-7B</a>",8.29,77.9,76.74,78.49,74.58,89.3,83.4,82.1,78.8,74.0,60.5,65.5,84.0,75.1,73.6,90.4,83.4,77.3,95.5,82.3,83.2,73.8,67.3,79.1,87.9,55.1,84.6,66.4,79.2,82.5,77.7,72.6,69.4,91.1,32.4,73.6,69.9,95.5,85.4,91.7,91.9,88.2
2,"<a href=""https://seed1-6-embedding.github.io"">seed-1.6-embedding</a>",unknown,77.78,76.06,73.97,77.9,91.25,91.9,82.9,80.8,85.4,47.7,52.8,84.2,73.7,73.1,88.1,74.2,64.6,96.2,82.9,69.2,59.6,79.2,74.7,85.1,54.0,84.6,65.0,83.4,84.5,78.8,77.4,72.1,91.7,49.0,79.6,77.2,91.5,82.1,95.5,93.0,94.4
3,"<a href=""https://github.com/360CVGroup/RzenEmbed"">RzenEmbed-v2-7B</a>",8.29,75.92,70.61,71.67,78.5,92.1,91.4,84.0,82.7,72.0,29.7,48.1,84.1,62.4,61.5,90.2,73.1,63.1,94.6,76.8,69.2,63.2,60.7,74.6,86.3,55.1,85.6,67.2,82.6,85.8,81.1,78.0,69.0,92.4,41.5,79.8,81.8,97.2,83.5,94.9,93.2,96.8
4,"<a href=""https://github.com/QQ-MM/QQMM-embed"">QQMM-embed-v2</a>",8.29,75.28,72.97,71.85,76.01,87.42,92.8,82.4,83.7,74.2,30.8,48.8,83.5,79.6,62.7,91.2,73.8,71.1,96.0,74.0,68.1,65.3,62.7,62.4,88.2,56.9,85.5,69.5,80.5,83.9,82.6,80.1,67.0,92.7,32.2,74.2,72.5,91.4,81.5,93.5,92.9,81.8
5,OEmbedding-v1-7B,8.29,74.05,70.56,70.02,74.67,90.97,89.2,82.0,79.0,72.6,31.2,46.0,84.5,70.5,59.9,90.7,73.2,63.3,95.2,74.4,69.4,60.5,54.8,68.9,86.2,54.3,85.8,65.9,82.5,86.0,81.7,76.8,68.2,90.8,25.6,69.9,73.5,89.4,81.8,95.6,94.1,92.4
6,ReCo-7B,8.29,73.87,70.95,71.52,73.66,87.7,88.8,83.8,81.2,74.1,28.0,47.4,84.2,73.6,58.3,90.1,74.1,61.8,95.1,76.3,66.7,67.2,54.5,76.8,87.3,55.4,85.3,60.7,81.4,84.3,79.5,74.0,68.7,90.7,20.6,72.1,74.0,92.6,74.1,93.5,94.1,89.1
7,RzenEmbed-v1-7B,8.29,73.6,69.78,68.72,76.83,85.67,91.6,81.7,82.4,68.5,29.0,43.5,82.8,70.0,59.0,89.3,69.6,61.3,94.8,73.6,64.0,60.5,58.2,65.5,86.2,53.5,83.1,66.3,82.6,85.8,78.6,76.0,68.6,91.3,38.7,74.8,79.6,96.5,78.3,88.3,85.1,91.0
8,"<a href=""https://huggingface.co/OpenSearch-AI/Ops-MM-embedding-v1-7B"">Ops-MM-embedding-v1-7B</a>",8.29,72.72,69.65,69.58,73.09,87.15,84.8,82.1,81.0,69.7,28.5,45.6,81.1,75.7,57.8,90.2,70.6,60.0,94.7,73.6,65.2,58.4,49.9,79.9,86.9,56.6,81.8,55.2,80.1,84.3,79.3,72.1,66.2,91.9,24.3,74.3,73.2,94.4,73.9,90.4,92.7,91.6
9,TCE-v1,8.0,72.36,67.89,70.28,72.31,88.85,91.6,81.7,78.8,53.8,20.2,46.4,81.3,75.4,59.6,90.1,71.5,61.4,95.0,81.0,72.0,57.8,58.7,69.4,83.6,52.4,86.7,57.8,77.9,81.8,79.0,77.3,68.1,89.3,25.6,66.2,65.4,92.6,85.2,93.7,91.4,85.1
10,"<a href=""https://github.com/QQ-MM/QQMM-embed"">QQMM-embed</a>",8.297,72.175,70.07,69.52,71.175,87.075,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,"<a href=""https://huggingface.co/raghavlite/B3_Qwen2_7B"">B3_Qwen2_7B</a>",8.29,72.0,70.0,66.5,74.1,84.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,"<a href=""https://github.com/GaryGuTC/UniME-v2"">UniME-V2-LLaVA-OneVision-7B</a>",8.03,71.77,65.64,68.66,73.1,90.85,92.5,66.0,78.8,73.2,19.0,43.8,78.9,66.1,49.0,89.1,71.7,71.5,92.4,67.1,59.2,62.7,55.2,69.0,84.4,53.4,84.8,67.0,77.3,80.1,80.0,74.6,68.3,90.2,27.0,70.9,68.5,88.5,81.3,95.3,92.8,94.0
13,"<a href=""https://huggingface.co/zhibinlan/UME-R1-7B"">UME-R1-7B</a>",8.29,71.25,67.09,69.18,71.9,84.85,90.8,82.3,80.3,42.3,25.0,46.8,80.4,79.0,53.9,90.1,71.7,58.7,93.8,79.2,75.1,55.2,53.7,69.3,83.5,51.6,80.7,55.3,76.8,82.0,78.3,71.4,68.1,90.9,23.4,72.5,71.4,92.0,72.7,91.4,91.1,84.2
14,"<a href=""https://huggingface.co/DeepGlint-AI/UniME-LLaVA-OneVision-7B"">UniME(LLaVA-OneVision-7B-LoRA-Res336)</a>",8.03,70.7,66.8,66.6,70.5,90.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,"<a href=""https://huggingface.co/zhibinlan/LLaVE-7B"">LLaVE-7B</a>",8.03,70.3,65.7,65.4,70.9,91.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
