,player_id,Player,pos,GP,TOI,TOI_pp,Goals,Assists,First_Assists,Total_Points,Total_Points_pp,Shots,ixG,iCF,iSCF,iHDCF,Hits,Shots_Blocked,SF,CF,GF,xGF,Def_Zone_Starts,Off_Zone_Starts,oiSH,SCF,GA,G-ixG,OZ Start%,GF%
0,8470595,Eric Staal,F,72,1025.066666666664,18.6166666666667,14,15,9,29,0.0,106,12.959999999999997,183,119,65,27,45,517,926,37,46.50000000000001,227,149,0.07156673114119923,440,63,1.0400000000000027,0.3962765957446808,0.37
1,8470600,Ryan Suter,D,82,1671.1166666666647,133.73333333333315,3,22,9,25,4.0,92,4.439999999999998,236,62,11,81,115,842,1647,76,85.46,240,231,0.09026128266033254,833,79,-1.4399999999999977,0.49044585987261147,0.49032258064516127
2,8470604,Jeff Carter,F,79,1082.8000000000013,123.16666666666669,13,16,9,29,9.0,139,17.030000000000005,240,141,75,80,54,544,968,47,57.28999999999999,370,107,0.08639705882352941,479,62,-4.030000000000005,0.22431865828092243,0.43119266055045874
3,8470610,Zach Parise,F,82,1323.6166666666686,116.21666666666658,21,13,10,34,4.0,182,27.189999999999998,275,205,127,89,83,630,1190,53,66.19999999999999,344,221,0.08412698412698413,627,51,-6.189999999999998,0.3911504424778761,0.5096153846153846
4,8470613,Brent Burns,D,82,1903.6500000000017,246.59999999999985,18,43,25,61,23.0,255,12.260000000000003,554,154,24,40,86,1196,2341,114,129.86999999999995,244,398,0.09531772575250837,1181,80,5.739999999999997,0.6199376947040498,0.5876288659793815
5,8470621,Corey Perry,F,81,936.5499999999981,144.68333333333328,12,13,7,25,12.0,116,16.289999999999996,194,139,86,48,25,541,1003,52,57.54999999999998,80,175,0.09611829944547134,564,55,-4.289999999999996,0.6862745098039216,0.48598130841121495
6,8470638,Patrice Bergeron,F,78,1356.549999999999,263.6000000000002,27,31,16,58,19.0,249,31.08,437,300,134,66,54,960,1744,110,109.93000000000004,397,486,0.11458333333333333,972,39,-4.079999999999998,0.5503963759909399,0.738255033557047
7,8470794,Joe Pavelski,F,82,1453.266666666669,253.01666666666628,28,49,24,77,27.0,185,28.150000000000013,338,254,152,93,64,971,1830,140,116.27999999999999,139,375,0.14418125643666324,1049,48,-0.1500000000000128,0.7295719844357976,0.7446808510638298
8,8470966,Mark Giordano,D,78,1478.133333333336,45.433333333333316,4,20,8,24,0.0,108,4.999999999999997,232,63,8,60,147,734,1316,70,77.90000000000002,262,118,0.09536784741144415,754,58,-0.9999999999999973,0.3105263157894737,0.546875
9,8471214,Alex Ovechkin,F,73,1474.900000000001,343.6500000000001,42,33,18,75,25.0,294,34.540000000000006,578,273,94,188,23,958,1798,110,111.38000000000002,54,409,0.11482254697286012,938,81,7.459999999999994,0.8833693304535637,0.5759162303664922
10,8471215,Evgeni Malkin,F,82,1523.5999999999965,334.26666666666705,27,56,36,83,36.0,240,26.330000000000016,417,262,102,53,33,1094,1989,110,127.74000000000001,72,366,0.10054844606946983,1139,73,0.6699999999999839,0.8356164383561644,0.6010928961748634
11,8471218,Blake Wheeler,F,72,1227.183333333336,197.99999999999983,16,39,23,55,15.0,126,18.810000000000002,254,161,83,54,35,681,1394,74,80.05999999999999,135,344,0.10866372980910426,742,56,-2.8100000000000023,0.7181628392484343,0.5692307692307692
12,8471274,Alex Goligoski,D,46,812.6666666666655,24.850000000000097,2,4,2,6,1.0,63,2.3699999999999997,116,25,8,33,67,442,798,29,38.300000000000004,103,81,0.06561085972850679,366,42,-0.36999999999999966,0.44021739130434784,0.4084507042253521
13,8471276,David Krejci,F,70,1203.6166666666636,185.56666666666672,16,40,25,56,12.0,112,13.410000000000004,202,132,57,41,38,708,1253,92,74.21000000000001,127,286,0.12994350282485875,698,44,2.5899999999999963,0.6924939467312349,0.6764705882352942
14,8471303,Alexander Edler,D,64,945.5666666666652,3.6000000000000374,2,9,5,11,0.0,56,1.5300000000000007,154,40,2,106,104,464,891,43,38.73,164,118,0.09267241379310345,438,56,0.4699999999999993,0.41843971631205673,0.43434343434343436
15,8471669,Paul Stastny,F,73,866.5166666666657,115.13333333333306,9,13,6,22,4.0,80,14.369999999999997,137,109,74,21,18,550,1110,42,58.98999999999998,90,215,0.07636363636363637,566,26,-5.369999999999997,0.7049180327868853,0.6176470588235294
16,8471675,Sidney Crosby,F,82,1651.7666666666669,319.8666666666665,33,60,36,93,27.0,255,32.89,443,269,144,71,47,1129,2190,131,137.45999999999998,147,446,0.11603188662533215,1242,77,0.10999999999999943,0.7521079258010118,0.6298076923076923
17,8471677,Jack Johnson,D,83,1588.8833333333337,4.916666666666644,2,6,1,8,0.0,92,3.3999999999999972,173,38,10,117,127,631,1105,45,52.769999999999996,344,108,0.07131537242472266,510,88,-1.3999999999999972,0.23893805309734514,0.3383458646616541
18,8471685,Anze Kopitar,F,82,1664.7833333333335,248.86666666666684,28,46,24,74,20.0,169,19.910000000000007,290,186,94,68,87,930,1688,111,93.61999999999999,322,325,0.11935483870967742,917,76,8.089999999999993,0.5023183925811437,0.5935828877005348
19,8471686,Marc Staal,D,82,1491.883333333333,3.9166666666667034,3,12,4,15,0.0,55,4.839999999999996,160,57,18,152,122,738,1328,71,73.83,312,214,0.09620596205962059,683,89,-1.8399999999999963,0.4068441064638783,0.44375
20,8471698,T.J. Oshie,F,58,969.9666666666686,182.64999999999952,19,16,8,35,11.0,126,19.569999999999997,228,173,94,125,34,545,1071,57,62.499999999999986,109,244,0.10458715596330276,556,51,-0.5699999999999967,0.6912181303116147,0.5277777777777778
21,8471699,Andrew Cogliano,F,79,996.8000000000073,1.3833333333333397,10,9,5,19,0.0,85,7.2299999999999995,131,69,33,55,54,397,737,32,29.780000000000005,287,87,0.08060453400503778,336,49,2.7700000000000005,0.232620320855615,0.3950617283950617
22,8471709,Marc-Edouard Vlasic,D,78,1362.7000000000037,5.850000000000046,1,17,5,18,0.0,67,4.18,179,59,17,45,116,552,1066,49,58.02,314,73,0.08876811594202899,597,75,-3.1799999999999997,0.18863049095607234,0.3951612903225806
23,8471724,Kris Letang,D,64,1590.8833333333343,231.13333333333333,12,29,10,41,21.0,161,8.53,374,109,19,162,108,980,1872,97,115.53,171,300,0.09897959183673469,1035,79,3.4700000000000006,0.6369426751592356,0.5511363636363636
24,8471794,Darren Helm,F,11,99.06666666666739,0.0,0,0,0,0,0.0,10,0.8599999999999999,15,11,6,16,3,42,70,3,3.05,29,9,0.07142857142857142,33,6,-0.8599999999999999,0.23684210526315788,0.3333333333333333
25,8471817,Ryan Reaves,F,73,680.4166666666647,2.58333333333331,5,10,5,15,0.0,48,6.959999999999998,79,54,36,196,24,284,553,21,23.540000000000006,91,70,0.07394366197183098,234,27,-1.9599999999999982,0.43478260869565216,0.4375
26,8471873,Anton Stralman,D,8,122.9666666666663,0.0,0,0,0,0,0.0,3,0.19,14,4,1,12,10,59,111,4,5.59,8,16,0.06779661016949153,69,7,-0.19,0.6666666666666666,0.36363636363636365
27,8471887,Patric Hornqvist,F,22,203.88333333333318,48.64999999999997,1,2,2,3,1.0,40,5.13,66,45,27,18,8,135,265,5,14.440000000000001,19,46,0.037037037037037035,137,7,-4.13,0.7076923076923077,0.4166666666666667
28,8473419,Brad Marchand,F,73,1352.5499999999963,249.70000000000022,21,46,31,67,28.0,183,20.140000000000008,335,211,76,81,22,914,1686,104,101.85999999999997,306,446,0.1137855579868709,950,42,0.8599999999999923,0.5930851063829787,0.7123287671232876
29,8473422,Nick Foligno,F,60,741.9666666666668,83.9666666666667,10,16,12,26,5.0,71,8.420000000000002,116,75,42,147,29,371,640,42,31.919999999999995,125,79,0.11320754716981132,335,16,1.5799999999999983,0.3872549019607843,0.7241379310344828
30,8473446,Erik Johnson,D,63,1087.0333333333324,1.016666666666661,0,8,5,8,0.0,98,3.939999999999999,182,57,13,121,102,520,918,41,40.190000000000005,254,101,0.07884615384615384,441,54,-3.939999999999999,0.28450704225352114,0.43157894736842106
31,8473449,Kyle Okposo,F,75,1100.0666666666698,63.500000000000156,11,17,8,28,4.0,150,15.740000000000002,241,138,65,78,25,519,965,41,48.54,243,177,0.0789980732177264,459,54,-4.740000000000002,0.42142857142857143,0.43157894736842106
32,8473453,Trevor Lewis,F,82,993.733333333335,13.400000000000007,9,11,7,20,1.0,144,12.059999999999999,224,109,52,158,33,506,920,32,39.14999999999999,143,146,0.06324110671936758,397,51,-3.0599999999999987,0.5051903114186851,0.3855421686746988
33,8473473,Milan Lucic,F,77,870.6333333333343,18.0166666666667,7,12,9,19,0.0,73,9.539999999999997,144,88,50,168,15,460,903,35,39.65999999999999,72,139,0.07608695652173914,392,47,-2.5399999999999974,0.6587677725118484,0.4268292682926829
34,8473504,Cal Clutterbuck,F,49,598.9666666666658,2.366666666666651,6,6,2,12,0.0,44,5.659999999999997,79,49,24,194,33,242,461,22,22.690000000000005,216,60,0.09090909090909091,216,20,0.3400000000000034,0.21739130434782608,0.5238095238095238
