#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,📊,Reference Pipeline,"[AutoGluon 1.4 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1674.0,+64/-51,0.779,7.11,3.25,5.696,582.21,6.116,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[RealTabPFN-v2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1622.0,+87/-59,0.733,8.76,2.95,4.989,2040.22,8.92,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,[RealTabPFN-v2.5 (tuned)](https://arxiv.org/abs/2511.08667),1576.0,+73/-54,0.675,10.47,4.04,5.962,2040.22,1.218,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[RealTabPFN-v2.5 (default)](https://arxiv.org/abs/2511.08667),1544.0,+71/-51,0.643,11.79,5.2,6.68,5.81,0.645,✔️,0.0,False,GPU
4,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1534.0,+55/-51,0.542,12.23,5.48,8.82,1735.72,2.559,✔️,0.0,False,CPU
5,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1532.0,+57/-47,0.541,12.29,7.13,8.942,2950.72,11.988,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1476.0,+64/-52,0.51,14.92,4.58,8.97,4907.64,286.652,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1462.0,+55/-42,0.415,15.58,8.43,10.369,3285.87,1.472,✔️,0.0,False,GPU
8,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1446.0,+36/-31,0.372,16.4,11.34,11.57,416.98,2.639,✔️,0.0,False,CPU
9,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1442.0,+47/-47,0.371,16.62,8.87,10.411,2950.72,0.663,✔️,0.0,False,GPU
10,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1429.0,+42/-42,0.351,17.3,10.3,11.136,1658.41,0.653,✔️,0.0,False,CPU
11,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1417.0,+41/-42,0.335,17.95,9.81,11.319,1658.41,0.081,✔️,0.0,False,CPU
12,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1416.0,+59/-58,0.418,17.96,6.14,10.351,4907.64,39.96,✔️,0.0,False,GPU
13,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1406.0,+82/-53,0.381,18.5,7.7,11.589,4621.67,8.149,✔️,0.0,False,GPU
14,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1401.0,+55/-47,0.333,18.77,9.81,11.277,3285.87,0.173,✔️,0.0,False,GPU
15,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1396.0,+30/-29,0.275,19.03,13.61,12.262,416.98,0.334,✔️,0.0,False,CPU
16,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1386.0,+34/-34,0.289,19.61,12.83,12.354,693.49,1.69,✔️,0.0,False,CPU
17,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1376.0,+41/-43,0.302,20.17,11.47,12.131,6.83,0.08,✔️,0.0,False,CPU
18,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1368.0,+45/-40,0.241,20.58,10.45,12.119,4621.67,0.475,✔️,0.0,False,GPU
19,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1363.0,+48/-40,0.259,20.89,12.21,12.749,846.88,2.552,✔️,0.0,False,GPU
