author/model_name,Score,Behavior,8k 🪡,16k 🪡,24k 🪡,32k 🪡,Size,New,Base,Model Link,Settings
TheDrummer/Cydonia-24B-v4.1,93,10,94,93,,,24B,,,https://huggingface.co/TheDrummer/Cydonia-24B-v4.1,
mistralai/Mistral-Small-3.2-24B-Instruct-2506,93,10,94,92,67,57,24B,🆕,TRUE,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,
ConicCat/Mistral-Small-3.2-AntiRep-24B,87,10,94,83,,,24B,,,https://huggingface.co/ConicCat/Mistral-Small-3.2-AntiRep-24B,
TheDrummer/Cydonia-R1-24B-v4,84,10,85,83,,,24B,,,https://huggingface.co/TheDrummer/Cydonia-R1-24B-v4,
TheDrummer/Cydonia-24B-v4,78,10,86,74,,,24B,,,https://huggingface.co/TheDrummer/Cydonia-24B-v4,
zerofata/MS3.2-PaintedFantasy-v2-24B,78,10,89,72,,,24B,,,https://huggingface.co/zerofata/MS3.2-PaintedFantasy-v2-24B,
kyx0r/Neona-12B,75,9,92,70,,,12B,,,https://huggingface.co/kyx0r/Neona-12B,1
DreadPoor/Irix-12B-Model_Stock,73,8,91,70,,,12B,,,https://huggingface.co/DreadPoor/Irix-12B-Model_Stock,1
Nitral-AI/CaptainErisNebula-12B-AE-v1,71,9,92,64,,,12B,,,https://huggingface.co/Nitral-AI/CaptainErisNebula-12B-AE-v1,1
Doctor-Shotgun/MS3.2-24B-Magnum-Diamond,68,9,69,71,,,24B,,,https://huggingface.co/Doctor-Shotgun/MS3.2-24B-Magnum-Diamond,
Entropicengine/Pinecone-Rune-12b,68,9,87,61,,,12B,,,https://huggingface.co/Entropicengine/Pinecone-Rune-12b,1 & 2
DreadPoor/Ward-12B-Model_Stock,67,9,86,61,,,12B,,,https://huggingface.co/DreadPoor/Ward-12B-Model_Stock,1
yamatazen/LorablatedStock-12B,67,9,88,60,,,12B,,,https://huggingface.co/yamatazen/LorablatedStock-12B,1
Nitral-AI/CaptainErisNebula-12B-AE-v1r,67,8,91,61,,,12B,,,https://huggingface.co/Nitral-AI/CaptainErisNebula-12B-AE-v1r,1
Nitral-AI/Irixxed-Magcap-12B-Slerp,66,7,91,62,,,12B,,,https://huggingface.co/Nitral-AI/Irixxed-Magcap-12B-Slerp,1
TheDrummer/Rocinante-12B-v1.1,66,8,83,63,,,12B,,,https://huggingface.co/TheDrummer/Rocinante-12B-v1.1,1
Nitral-AI/CaptainErisNebula-12B-Chimera-v1.1,64,8,85,59,,,12B,,,https://huggingface.co/Nitral-AI/CaptainErisNebula-12B-Chimera-v1.1,1
SicariusSicariiStuff/Impish_Longtail_12B_GGUF_HA,63,9,87,54,,,12B,,,https://huggingface.co/SicariusSicariiStuff/Impish_Longtail_12B_GGUF_HA,1
mistralai/Mistral-Nemo-Instruct-2407,55,9,76,48,,,12B,,TRUE,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,1
inflatebot/MN-12B-Mag-Mell-R1,53,7,79,49,,,12B,,,https://huggingface.co/inflatebot/MN-12B-Mag-Mell-R1,1 & 2
grimjim/MagnaMellRei-v1-12B,52,8,79,45,,,12B,,,https://huggingface.co/grimjim/MagnaMellRei-v1-12B,1
ConicCat/NemoPlotter-12B,52,7,71,51,,,12B,,,https://huggingface.co/ConicCat/NemoPlotter-12B,1
SicariusSicariiStuff/Impish_Nemo_12B,49,8,72,43,,,12B,,,https://huggingface.co/SicariusSicariiStuff/Impish_Nemo_12B,1
pot99rta/PatriSlush-DarkRPMax-12B,47,8,69,42,,,12B,,,https://huggingface.co/pot99rta/PatriSlush-DarkRPMax-12B,1
ReadyArt/The-Omega-Directive-M-12B-v1.0,42,7,67,39,,,12B,,,https://huggingface.co/ReadyArt/The-Omega-Directive-M-12B-v1.0,1
CrucibleLab/M3.2-24B-Loki-V1.3,82,10,92,77,,,24B,,,https://huggingface.co/CrucibleLab/M3.2-24B-Loki-V1.3,
LatitudeGames/Wayfarer-2-12B ,43,7,66,41,,,12B,,,https://huggingface.co/LatitudeGames/Wayfarer-2-12B ,1
LatitudeGames/Muse-2-12B ,63,7,84,62,,,12B,,,https://huggingface.co/LatitudeGames/Muse-2-12B ,1
