team_name,discord_1,discord_2,discord_3,discord_4,discord_5,total_arena,ptos_arena,total_blend_es,ptos_blend_es,total_estereotipos,ptos_estereotipos,total_include,ptos_include,ptos_total
Think Paraguayo,enpaiva93,luceldasilva,edmenciab,,,195,1.95,0,0.0,3,0.03,502,1.0,2.98
TralaleloTralala-MemeAlign,andres_seba,peroloso,,,,120,1.2,0,0.0,70,0.7,370,1.0,2.9
HoCV-COL,dreamripper1,,,,,83,0.83,0,0.0,85,0.85,902,1.0,2.6799999999999997
Cresia,roverico,cresia.aillm,alberto.medina,,,164,1.64,0,0.0,1,0.01,303,1.0,2.65
Comida Colombia + Ecuador,pablo.ce,magodyboybusiness,nestoralarcon.ed,oddyec,,153,1.53,0,0.0,0,0.0,2830,1.0,2.5300000000000002
IberoTales,mcdaqc,,,,,118,1.18,0,0.0,2,0.02,449,1.0,2.2
Equipo LeIA,susanazhou,cosntanzapjeldres,,,,111,1.11,0,0.0,0,0.0,560,1.0,2.1100000000000003
Refranero Afro-Cubano,rasel3132,bel21093,,,,636,2.0,0,0.0,0,0.0,0,0.0,2.0
SabiduriaPopular Castellana,alvaro8gb,enrique.solera.navarro,angustias22,comasberto,,105,1.05,0,0.0,2,0.02,0,0.0,1.07
PeruWhisper,vandread13,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Falsos_Amigos,yeisonm3011,erick bustamante,dinho9779,,,0,0.0,0,0.0,0,0.0,0,0.0,0.0
MP,rvk6212,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0.0
