author,models,datasets,spaces
bamine,529165577,0,0
qisun,665821403,0,0
Jaskirat-04,0,2328,366655496
Idavidrein,0,0,0
DIAG-PSSeng,3738369862,0,0
Zaratahir123,1173,2234314943,0
Theju,65633476544,0,0
GigiWasThere,0,0,2067
wangfuyun,13141605267,0,12880160599
overlordx,0,0,1857006
GIDGruppe,0,2307,1052826
jianleo,20853152,0,0
mschiesser,1422167323,0,0
itsbaivab,1547,548276,0
Bisht15,0,0,1981
Rahmaa,0,2901264329,0
azad-wolf-se,11257016405,5146915473,0
TonyGold777,0,0,751119
andzhk,0,0,9696
tym2008321,0,0,6483
gokuls,262836568370,62791264054,0
samathuggingface,0,0,21521
avojarot,12579309826,262921,0
NemesisAlm,881049992,0,799914
Huertas97,6635563067,1099623,1019688896
jarguello76,1094493163,0,267724
Jaehun,97748627602,262287154,0
cRick,0,48533571,0
woaeo,0,74149674,0
tsabar,1477,70464895,0
dev7halo,100504217337,378860215,9185
AvaterClasher,0,0,63834955
dendimaki,2633925649,2674065,1857
rizvandwiki,1870987921,0,0
Jira,1500,20212,2012
CLIPP,10968155692,0,0
jiyuntu,0,111621,0
sureshs,268559595,0,0
UndueTarget,0,0,396823077
JoeyFoursheds,0,0,957676398
Elliot4AI,26956083184,37513895,5403
chosenone80,2803018127,443498368,0
xyntopia,90895537,0,0
angelina-wang,0,0,10225
teli168,0,0,8614
lmvasque,14031268566,90870796,0
ewfian,5767343139,0,10323
Saurabhgk18,0,0,58158
senseable,885811734918,0,6198
EE21,3257614957,4138972,18944
guaguale,140627134454,0,0
royyy,0,0,4044
Raghavan1988,0,0,31013102
LucasCodeBreak,0,0,751120
SanthoshG143,0,0,4555
ganeshjcs,0,1679185263,0
AWTStress,535932596,0,0
baudm,1192684251,0,138648
lckdG,35631271,0,0
one-thing,509159,24570733,0
subin,0,8932005,1736
lm233,0,1395789,0
llamaindex,0,0,368028660
UmaDiffusion,0,103284,0
yadhikari,19849912706,0,0
chuanenlin,0,0,257637597
Sadik-Sikder,27754852338,7783232,0
karansidhu,0,98223,0
mathin,10050609629,0,0
Wusul,38498043371,0,9241
Pfs2021Funny,2226568,1798175,4269260550
ActivatedOne,0,0,24544
LsTam,30698480734,19625620,0
davidtsong,0,0,7279
gr3yshadow,0,0,3540
kasnerz,0,127740394,0
smanjil,1406069246,0,0
inpars,125746307762,56901901989,0
candlend,0,0,3959278040
Zrital,23402870,0,0
smajumdar,53266810,0,46782
Moreza009,15744988,58513628,0
HY-KDPARK,105308378550,0,0
Abdelmageed95,2868391704,3908365,12064
javedkumail,0,0,2955
NTQAI,34817262918,12722117,0
Danil,0,0,699704445
AntiUser,0,0,65353191
bielalpha,2132626975,0,3683
luona,3473,2293,2195
HumanCompatibleAI,349741137,732651257,0
MohammedAlakhras,0,0,407651711
christopherthompson81,0,55747,0
open-source-metrics,0,1805484959,153880
glami,0,14122871507,0
tomaseo2022,0,2265,2993093
flutter-painter,2465317163,0,9403
OpenCUI,1927720076,0,0
RubielLabarta,25760165705,0,1875
Rongjiehuang,875277276,0,2555234145
dpredrag,18280677679,2575630,2779335
zhangliwei7758,0,0,1865731066
yuzuai,0,12229,0
Labelbox,0,0,27409
Ahmad,1984691525,0,0
phamson02,542050353,5090258547,84759303
vikhyatk,27700565240,384367045891,15516078
Sharathhebbar24,90323016808,4616185149,833931
bigjoedata,7321193317,0,0
MultiTransformer,0,0,4117362
zengzeng,18913532,130363,3053
hf-doc-build,0,64774160948,0
harshithvh,83658735592,439697,0
sgavela,0,1957614,0
megastudyedu,215696781922,0,0
dhansmair,5474941220,0,2687167
trprkkk,14963521181,135064576,1790
jy46604790,500018657,0,387786
justinsiow,1982744193,43533757272,0
khazen2,269018662,93886,0
jisukim8873,55384890428,0,0
Ajay-user,518582,0,2699519894
Jade1211,318049580155,0,0
fghhgf,3685233533,0,0
CyberAlaska,0,31705,0
Kasuzu,0,23610114,0
wissamantoun,1077725836,0,1115746
coallaoh,0,953277312,0
bagusatmaja,404903971,1243812,0
aaronb,53079256141,6555861723,266133781
Bhriganka,10051618006,0,0
Droidfanat,27493583205,0,0
SUSTech,213366059258,7180598827,7544413
Lujia,1314141158,0,0
Arsenalalex108,22077454038,401397,0
qqaatw,0,0,4185
Cognomen,1456929836,0,14212795790
psalama,0,28013791,27058921
arasu088,0,0,310798
nielsr,135707270536,130038424027,8831406
jeffdshen,0,3410660,0
arjundd,35069462026,103016390391,0
fluid-ai,2009503154,0,0
SeaLLMs,26813283172,13641490,7936677
vegaluisjose,1340687932,0,0
whgwd2023,0,0,1577381
MosIng,543035560,0,13633401824
Nondzu,216192429699,0,0
ryu-akm,0,0,137390854
skrishna,91093790645,42054805,0
borgsid,7088759374,0,0
kkuramitsu,11993966749,2328,0
xiakshay,3038,0,721977
