emotion,model,dataset,pitch,spectrogram,mel spectrogram,MFCCs,RMS,spectral centroid,spectral bandwidth,spectral contrast,spectral flatness,spectral roll-off,zero crossing rate,LPCs,tempogram,chromagram,pseudo-constant-Q transform,IIRT,variable-Q transform,constant-Q chromagram,wavlm
Happiness,coqui/XTTS-v2,TESS,0.6020980293685834,0.2912930731475353,0.8559762686491013,0.0657585035031661,0.6609080575406552,0.6791134043264077,0.8413928838445699,0.9316645929909574,0.235553179946728,0.6984240945067742,0.5593139874080855,0.9742765471339224,0.111271485463044,0.4325258013606071,0.645040812343359,0.9558032473921776,0.9042749986052512,0.6177502262592316,0.7988954812288285
Neutral,coqui/XTTS-v2,TESS,0.7199205118118575,0.2779868573695421,0.853423081934452,0.0284786398033611,0.7273141008615494,0.5932307196144342,0.8459111494965592,0.9348110164418136,0.1146778233733493,0.6603743177203728,0.4175503101002549,0.991932973265648,0.0776752835132667,0.3926588852703571,0.6403784553706646,0.9742398306727408,0.8811558133363724,0.5317104570567608,0.8640842181444168
Anger,coqui/XTTS-v2,TESS,0.8097242774159854,0.3574963142722845,0.9050253745913506,0.0455322645866544,0.7039372119307518,0.7727282373995208,0.9200803673118744,0.9444350874150016,0.2366694234893657,0.7697369845973193,0.6731709979882112,0.997732400894165,0.1770087935432747,0.4238066303730011,0.6958448687195777,0.9727324870228768,0.91497668415308,0.558625149577856,0.7770062550902367
Sadness,coqui/XTTS-v2,TESS,0.7686117132343125,0.3162625812739134,0.8922988799214363,0.0194829998974637,0.7301151067018509,0.6604595619674636,0.8732489245285996,0.9401918115148789,0.1758159506344236,0.694486491795229,0.5380015209493135,0.9786762955784798,0.1604462664458188,0.4056027738749981,0.5421181282401085,0.973310771882534,0.8977639874815941,0.556028487086296,0.8621510699391365
Fear,coqui/XTTS-v2,TESS,0.7882809919240082,0.3576826631277799,0.9094236579537393,0.0937626778427511,0.7498028349876403,0.7349440916841974,0.9311222528127402,0.9468348897450286,0.2013854810222983,0.756996382764604,0.5767109561242691,0.9867259088158608,0.1924767554158035,0.384410552456975,0.7197125779092312,0.9708524996042251,0.9085796183347702,0.5382755969464779,0.7362343342602253
Disgust,coqui/XTTS-v2,TESS,0.6730087413770082,0.2905440527200699,0.8708168894052506,0.0310767375095747,0.6306456257402897,0.6953030266856294,0.8730454318653961,0.9359801473483624,0.2274040832696482,0.7253294976697876,0.5566961758817864,0.9778433710336684,0.15716378512316,0.4726516862213611,0.6180302925407887,0.960623032450676,0.89701067507267,0.6291230012476444,0.8637486392259598
All,coqui/XTTS-v2,TESS,0.7030045023589383,0.3122065251107727,0.8780245460356985,0.0488625346297158,0.6980410421533244,0.6873757777316871,0.8793857051587476,0.9381556936018154,0.2041394287046777,0.717110283219362,0.552609105211113,0.98198059456689,0.1440671567676586,0.4225395647862128,0.6450314502205168,0.966077062870775,0.9003018997396741,0.5785910278132984,0.816667847526925
Anger,OuteAI/OuteTTS-0.2-500M,TESS,0.727716194583671,0.2268320321664214,0.9116850978136064,-0.0055314312578411,0.5813774244487285,0.7359131873061722,0.9526886250343763,0.9249220639890136,0.2205703237978741,0.7659019928843361,0.4919777692652511,0.9892916217446328,0.3058026564349669,0.4654609861969948,0.7083095216751099,0.972367568910122,0.902397263944149,0.5833086800575257,0.766439157128334
Disgust,OuteAI/OuteTTS-0.2-500M,TESS,0.7017194253825,0.1808677585609257,0.9071001943945884,0.0039443272362404,0.521559002622962,0.6553099950684484,0.944653022315445,0.9376490646675708,0.2760248307022266,0.7565413010176671,0.3549510824690018,0.9546741184592248,0.3403390106745078,0.5392359325289726,0.6357734839618207,0.9626012551784516,0.9000948509573936,0.6787560376524925,0.8402566400170326
Happiness,OuteAI/OuteTTS-0.2-500M,TESS,0.6412459735303792,0.201852004006505,0.9082049253582954,0.0184695072405884,0.692569339722395,0.6737377238572744,0.9392376562610888,0.9352644566734912,0.3070494850631803,0.7617679821424065,0.3775958581441507,0.962738419175148,0.3306210287470468,0.5179559044539929,0.6935997390747071,0.956149577498436,0.90533479064703,0.687442652285099,0.8506256532669068
