Model name,Model type,Accuracy,Top-3 accuracy,Macro F1-score,Samples,Mistakes,Resolution,Intermediate,MIM,Distilled,Self-supervised learning,ms / sample,Parameters (M),Samples / sec,Peak GPU memory (MB),device,max_batch_size,compile,amp,single_thread,torch_version
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,30.6874824835298,30.453609,32.586576645272466,,cpu,1,false,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,125.32338585937394,30.453609,7.979356710982142,,cpu,1,false,false,true,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,33.94792104553845,30.453609,29.456884816557075,,cpu,1,true,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,25.751442858794082,30.453609,38.832775525760546,,cpu,1,true,true,false,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,1.108927833386891,30.453609,901.771936723598,,cuda,512,false,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,0.9192001047116113,30.453609,1087.9024000043373,,cuda,512,true,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,0.47396236942707526,30.453609,2109.872142821798,,cuda,512,true,true,false,2.8.0+cu128
crossformer s,CrossFormer,0.9560556351370084,0.9883554364400906,0.9220050343813863,21641,951,256,false,false,false,false,,30.453609,,148.89404296875,cuda,1,false,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9687629961646874,0.9925604177256134,0.9432526964670293,21641,676,384,false,false,false,false,47.108298276499326,30.453609,21.227682522738565,,cpu,1,false,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9687629961646874,0.9925604177256134,0.9432526964670293,21641,676,384,false,false,false,false,284.71676408080384,30.453609,3.5122624522249617,,cpu,1,false,false,true,2.8.0+cu128
crossformer s,CrossFormer,0.9687629961646874,0.9925604177256134,0.9432526964670293,21641,676,384,false,false,false,false,41.44210262431039,30.453609,24.130049796589933,,cpu,1,true,false,false,2.8.0+cu128
crossformer s,CrossFormer,0.9687629961646874,0.9925604177256134,0.9432526964670293,21641,676,384,false,false,false,false,31.214135454501953,30.453609,32.036767491369744,,cpu,1,true,true,false,2.8.0+cu128
crossformer s,CrossFormer,0.9687629961646874,0.9925604177256134,0.9432526964670293,21641,676,384,false,false,false,false,3.014410426621907,30.453609,331.73982917802203,,cuda,512,false,false,false,2.8.0+cu128
