,model_name,model_dtype,ARC,HellaSwag,TruthfulQA,GSM8K,Winogrande,MMLU,Average
0,xxyyy123/mc_data_30k_from_platpus_orca_7b_10k_v1_lora_qkvo_rank14_v2,torch.float16,0.5716723549488054,0.7956582354112727,0.5250732685090884,0.0037907505686125853,0.7292817679558011,0.5023777107763882,0.5213090146949947
2,xxyyy123/10k_v1_lora_qkvo_rank28_v2,torch.float16,0.5537542662116041,0.7920732921728739,0.5275205964737351,0.006065200909780136,0.7324388318863457,0.5050238644611746,0.5194793420192523
4,xxyyy123/Mistral-dpo-v1,torch.bfloat16,0.6348122866894198,0.8358892650866361,0.50494275538215,0.4609552691432904,0.7932123125493291,0.6335259677833808,0.6438896427723677
5,xxyyy123/1701221123_Ads_Mistral7B-slimorca_all-Lqv-r4b128,torch.bfloat16,0.628839590443686,0.8398725353515236,0.505489709183939,0.40181956027293403,0.7971586424625099,0.6289183782968958,0.6336830693352481
8,xxyyy123/Mistral7B_adaptor_v1,torch.bfloat16,0.6296928327645052,0.8380800637323242,0.4976810372450733,0.41243366186504926,0.7916337805840569,0.6356198391088206,0.6341902025499716
9,DevaMalla/llama_7b_qlora_cds,torch.bfloat16,0.5247440273037542,0.7776339374626569,0.4613848175485234,0.04094010614101592,0.7174427782162589,0.32383381635820163,0.4743299138384018
10,DevaMalla/llama_7b_qlora,4bit,0.5511945392491467,0.7826130252937662,0.3397939807337936,0.045489006823351025,0.7205998421468035,0.35709576084120515,0.4661310258480111
11,DevaMalla/llama-base-7b,torch.float16,0.5093856655290102,0.7780322644891456,0.3433554241758255,0.0356330553449583,0.7142857142857143,0.3566880270259615,0.45623002514176925
12,DevaMalla/llama_7b_qlora_pds-eval,torch.bfloat16,0.5392491467576792,0.7813184624576778,0.4560380785373756,0.04169825625473844,0.7261247040252565,0.3297744787635578,0.47903385446604757
13,DevaMalla/llama7b_alpaca_1gpu_bf16,torch.bfloat16,0.5273037542662116,0.7877912766381199,0.3371327029021075,0.045489006823351025,0.7292817679558011,0.36261973272490694,0.4649363735517497
14,DevaMalla/llama_7b_lora,torch.bfloat16,0.5486348122866894,0.7909778928500298,0.34744866621498555,0.05534495830174375,0.7277032359905288,0.33628441935767683,0.46773233083360904
15,shadowml/Mixolar-4x7b,torch.float16,0.7107508532423208,0.8843855805616411,0.7180637595757683,0.6391205458680819,0.8358326756116812,0.6629177499268845,0.741845194131063
16,shadowml/DareBeagle-7B,torch.float16,0.7167235494880546,0.880103565026887,0.6897520361652546,0.7149355572403336,0.8232044198895028,0.6502847906932315,0.7458339864172108
17,shadowml/Beyonder-4x7B-v2,torch.bfloat16,0.6877133105802048,0.8679545907189803,0.606846132898595,0.7172100075815011,0.8089976322020521,0.651049357676904,0.7232951719430396
18,shadowml/Marcoro14-7B-slerp,torch.bfloat16,0.6979522184300341,0.8713403704441346,0.6354053076486196,0.7088703563305534,0.8161010260457774,0.6510511083047754,0.7301200645339824
19,shadowml/BeagSake-7B,torch.bfloat16,0.7244027303754266,0.8838876717785302,0.7227123192569592,0.7179681576952237,0.8216258879242304,0.6523305827953082,0.7538212249709463
20,shadowml/Marcoro14-7B-ties,torch.bfloat16,0.6979522184300341,0.8713403704441346,0.6354053076486196,0.7088703563305534,0.8161010260457774,0.6510511083047754,0.7301200645339824
21,shadowml/WestBeagle-7B,torch.float16,0.7226962457337884,0.8828918542123083,0.7170804043560985,0.7187263078089462,0.8200473559589582,0.6516949340870956,0.7521895170261992
22,shadowml/Daredevil-7B,torch.bfloat16,0.6936860068259386,0.8717386974706234,0.6408567221685382,0.7293404094010614,0.8129439621152328,0.6529652027021262,0.7335885001139201
23,shadowml/DareBeagel-2x7B,torch.float16,0.7201365187713311,0.8811989643497311,0.6908761125222723,0.7050796057619408,0.8271507498026835,0.6450976013250308,0.7449232587554983
24,RobbeD/OpenLlama-Platypus-3B,torch.float16,0.4121160409556314,0.7166899024098785,0.36454492667971283,0.011372251705837756,0.65982636148382,0.29856180927146336,0.41051854875105737
26,cgato/TheSpice-7b-FT-ExperimentalOrca,torch.bfloat16,0.6262798634812287,0.8425612427803226,0.5486536435888252,0.3821076573161486,0.7987371744277821,0.6333479300718942,0.6386145852777002
27,cgato/Thespis-7b-v0.2-SFTTest-3Epoch,torch.float16,0.6322525597269625,0.843855805616411,0.5389870544897879,0.3601213040181956,0.7750591949486977,0.6258855271521554,0.629360240992035
28,cgato/Thespis-Krangled-7b-v2,torch.float16,0.628839590443686,0.8304122684724159,0.5302234821166525,0.4131918119787718,0.7790055248618785,0.6244280970852553,0.6343501291597767
29,cgato/Thespis-CurtainCall-7b-v0.3,torch.float16,0.6424914675767918,0.8293168691495718,0.5095336916736214,0.3737680060652009,0.7861089187056038,0.6224470102723341,0.627277660573854
