LMMs,Health,Bus.,ICTs,Arts,Agri.,Soc. Sci.,Nat. Sci.,Eng.,En,Zh,CoT,no CoT.
Phi-3.5-vision-Inst.,0.00,0.00,0.00,0.14,0.95,0.85,2.64,0.82,5.90,2.53,3.88,1.83
Phi-4-multimodal-Inst.,19.23,4.47,4.77,6.82,4.59,4.99,9.60,5.58,18.84,8.78,12.82,9.37
InternVL-2B,17.95,10.00,13.84,10.53,9.14,8.03,10.99,7.72,14.99,11.50,12.90,11.18
Qwen2.5-VL-3B-Inst.,29.49,11.84,11.22,12.55,14.66,9.73,12.25,10.82,14.52,14.95,13.57,15.47
LLaVA_Qwen2-7B_base-lora,0.00,0.79,1.43,0.00,0.32,1.46,4.90,1.53,11.39,3.98,6.96,5.09
InternVL2.5-8B,43.59,22.89,18.85,17.77,16.54,16.30,16.20,14.19,17.22,18.45,17.96,15.43
InternVL2.5-8B-MPO,29.49,18.16,17.90,18.01,16.76,19.10,17.00,14.85,17.22,19.97,18.87,14.17
InternVL3-8B,24.36,17.11,20.53,26.47,28.84,25.30,25.64,22.28,26.31,28.99,27.92,23.19
Qwen2.5-VL-7B-Inst.,17.95,17.89,24.11,26.33,24.42,22.75,24.40,19.80,23.78,27.60,26.07,22.38
InternVL3-14B,30.77,40.53,30.79,32.91,36.85,26.03,29.57,27.08,29.65,33.59,32.01,24.72
InternVL2.5-38B,28.21,31.45,21.71,25.45,23.45,21.93,24.87,20.36,29.76,27.69,28.52,26.53
InternVL2.5-38B-MPO,23.08,13.42,25.06,12.74,12.83,13.63,22.13,16.28,28.58,27.03,27.65,22.46
Qwen2.5-VL-32B-Inst.,41.03,32.89,46.78,40.20,35.84,36.74,32.68,28.83,31.84,35.60,34.09,33.84
LLaVA_Qwen2-72B_base-lora,34.62,9.47,11.46,15.14,12.02,9.61,16.56,11.58,21.74,17.38,19.13,17.80
InternVL2.5-78B,38.46,25.00,33.41,19.65,22.59,18.73,25.18,21.33,29.27,28.47,28.79,22.15
InternVL2.5-78B-MPO,28.21,18.68,26.25,12.74,12.13,16.79,24.23,17.91,31.68,29.24,30.22,22.08
InternVL3-78B,21.79,28.42,41.53,20.87,21.84,16.42,28.16,18.36,34.86,33.02,33.36,23.59
QVQ-72B-Preview,30.77,27.63,22.20,22.99,26.17,25.06,21.62,18.36,23.73,23.03,27.21,/
Qwen2.5-VL-72B-Inst.,37.18,38.68,39.38,39.45,37.98,36.13,36.66,31.88,35.86,39.81,38.22,29.71
GPT-4o,20.51,35.79,38.90,19.61,21.12,22.51,22.22,18.75,26.65,24.08,25.11,7.05
Gemini-2.5-flash-thinking,46.58,32.49,53.39,33.80,33.90,31.34,39.28,31.00,49.07,40.83,44.16,33.40
Gemini-2.5-pro,38.89,46.99,50.93,40.90,46.74,36.51,50.95,30.57,45.33,53.06,50.15,48.66
o4-mini,44.44,28.92,45.37,35.57,26.19,43.77,37.56,22.14,31.53,38.56,35.91,/
o3,27.78,48.19,63.89,52.94,43.65,51.48,39.26,23.75,27.18,44.63,38.06,/
