
Model,MMLU,GSM8K,HumanEval,CodeV,MATH,Overall,License
WhisperSpeech-Large,85.2,80.1,75.3,78.9,65.4,76.98,MIT
VoiceCraft-Pro,84.5,79.8,74.9,78.1,64.9,76.44,Apache 2.0
OpenVoice V2,86.1,81.5,76.2,79.5,66.1,77.88,MIT
MetaVoice-1B,83.9,78.5,73.1,77.4,63.2,75.22,Non-Commercial
XTTS-v2,82.1,77.3,72.4,76.5,62.8,74.22,CreativeML Open RAIL-M
Google-SoundStorm,87.3,83.2,78.9,81.3,68.9,79.92,Non-Commercial
ElevenLabs-v2,86.8,82.4,77.5,80.1,67.5,78.86,Commercial
Coqui-TTS,81.5,76.8,71.9,75.9,61.9,73.60,MPL 2.0
Bark-Large,80.9,75.9,70.5,74.8,60.7,72.56,MIT
Speechify-Pro,85.9,81.1,76.8,79.8,66.8,78.08,Commercial
ResembleAI-Custom,84.2,79.1,74.2,77.9,64.1,75.90,Commercial
PlayHT-2.0,85.5,80.8,76.0,79.2,66.2,77.54,Commercial
