year,category,count
2020,astro-ph,2
2020,astro-ph.CO,1893
2020,astro-ph.EP,1868
2020,astro-ph.GA,3733
2020,astro-ph.HE,2939
2020,astro-ph.IM,1369
2020,astro-ph.SR,2825
2020,cond-mat.dis-nn,458
2020,cond-mat.mes-hall,3648
2020,cond-mat.mtrl-sci,4089
2020,cond-mat.other,86
2020,cond-mat.quant-gas,941
2020,cond-mat.soft,1648
2020,cond-mat.stat-mech,1693
2020,cond-mat.str-el,2468
2020,cond-mat.supr-con,1134
2020,cs.AI,1756
2020,cs.AR,281
2020,cs.CC,340
2020,cs.CE,374
2020,cs.CG,335
2020,cs.CL,5225
2020,cs.CR,2273
2020,cs.CV,10456
2020,cs.CY,1327
2020,cs.DB,544
2020,cs.DC,1400
2020,cs.DL,274
2020,cs.DM,300
2020,cs.DS,1395
2020,cs.ET,192
2020,cs.FL,227
2020,cs.GL,9
2020,cs.GR,276
2020,cs.GT,585
2020,cs.HC,1121
2020,cs.IR,951
2020,cs.IT,2365
2020,cs.LG,9986
2020,cs.LO,704
2020,cs.MA,242
2020,cs.MM,193
2020,cs.MS,111
2020,cs.NA,20
2020,cs.NE,710
2020,cs.NI,1337
2020,cs.OH,90
2020,cs.OS,49
2020,cs.PF,125
2020,cs.PL,404
2020,cs.RO,2373
2020,cs.SC,72
2020,cs.SD,486
2020,cs.SE,1097
2020,cs.SI,1172
2020,cs.SY,124
2020,econ.EM,284
2020,econ.GN,405
2020,econ.TH,183
2020,eess.AS,1191
2020,eess.IV,2445
2020,eess.SP,2814
2020,eess.SY,2243
2020,funct-an,1
2020,gr-qc,3288
2020,hep-ex,612
2020,hep-lat,403
2020,hep-ph,4557
2020,hep-th,3799
2020,math-ph,1411
2020,math.AC,451
2020,math.AG,2142
2020,math.AP,3918
2020,math.AT,555
2020,math.CA,977
2020,math.CO,3240
2020,math.CT,277
2020,math.CV,671
2020,math.DG,1660
2020,math.DS,1596
2020,math.FA,1479
2020,math.GM,275
2020,math.GN,196
2020,math.GR,867
2020,math.GT,903
2020,math.HO,200
2020,math.KT,126
2020,math.LO,648
2020,math.MG,367
2020,math.NA,2706
2020,math.NT,2177
2020,math.OA,410
2020,math.OC,2940
