Models,ha_rag_rate,ha_non_rag_rate
klusterai-Meta-Llama-3.1-8B-Instruct-Turbo,8.1,12.5
Qwen2.5-VL-7B-Instruct,9.35,4.55
Mistral-Nemo-Instruct-2407,10.63,8.74
Llama-4-Maverick-17B-128E-Instruct-FP8,3.34,0.69
Llama-4-Scout-17B-16E-Instruct,4.23,2.48
Mistral-Small-24B-Instruct-2501,4.74,7.85
Magistral-Small-2506,8.62,28.07
gemma-3-27b-it,3.71,0.48
klusterai-Meta-Llama-3.3-70B-Instruct-Turbo,2.12,1.09
DeepSeek-V3-0324,4.66,0.91
Qwen3-235B-A22B-FP8,6.16,2.09
DeepSeek-R1-0528,2.26,0.78
gpt-4o,6.05,0.64
claude-sonnet-4,2.21,0.6
gemini-2.5-pro,1.57,0.36
kimi-k2,2.9,3.04
Qwen3-235B-A22B-2507-FP8,7.53,0.82
