Task,Name,Description,Language,Donated By,Origin,Bench,Harness,Metric,Task type,Subtask,Domain,Format,Num labels,Paper,Test examples,Num few shots,License
[AQuAS](https://huggingface.co/datasets/IIC/AQuAS),AQuAS,Abstractive Question-Answering in Spanish,ES,IIC,Original,N/A,aquas,sas_encoder,Question Answering,"Abstractive QA, Long Form QA",Miscellaneous,Question with context,0,[📄](nan),87,1,N/A
[ARC_ca](https://huggingface.co/datasets/projecte-aina/arc_ca),ARC_ca,Grade-school level science questions in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,arc_ca_catalan_bench,acc,Question Answering,Multiple Choice QA,Miscellaneous,Multi choice QA,4,[📄](In press),869,2,N/A
[BEC2016eu](https://huggingface.co/datasets/orai-nlp/basqueGLUE),BEC2016eu,Basque Election Campaign 2016 Opinion Dataset,EU,HiTZ,Original,BasqueGlue,bec2016eu,f1,Text Classification,Sentiment Analysis,Miscellaneous,Multi choice QA,3,[📄](https://aclanthology.org/2022.lrec-1.172),1302,3,Twitter's license + CC BY-NC-SA 4.0
[Belebele Cat](https://huggingface.co/datasets/facebook/belebele),Belebele Cat,Reading Comprehension in Catalan,CA,Meta,Human translation,CatalanBench,belebele_cat_Latn,acc,Language Proficiency,Reading Comprehension,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2308.16884),900,2,N/A
[Belebele Eus](https://huggingface.co/datasets/facebook/belebele),Belebele Eus,Reading Comprehension in Basque,EU,Meta,Human translation,BasqueBench,belebele_eus_Latn,acc,Language Proficiency,Reading Comprehension,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2308.16884),900,2,N/A
[Belebele Glg](https://huggingface.co/datasets/facebook/belebele),Belebele Glg,Reading Comprehension in Galician,GL,Meta,Reviewed MT,GalicianBench,belebele_glg_Latn,acc,Language Proficiency,Reading Comprehension,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2308.16884),900,2,N/A
[Belebele Spa](https://huggingface.co/datasets/facebook/belebele),Belebele Spa,Reading Comprehension in Spanish,ES,Meta,Human translation,SpanishBench,belebele_spa_Latn,acc,Language Proficiency,Reading Comprehension,Miscellaneous,Multi choice QA,4,[📄](https://arxiv.org/abs/2308.16884),900,2,N/A
[BHTCv2](https://huggingface.co/datasets/orai-nlp/basqueGLUE),BHTCv2,Topic Classification of News Headlines in Basque,EU,HiTZ,Original,BasqueGlue,bhtc_v2,f1,Text Classification,Topic Classification,Miscellaneous,Multi choice QA,12,[📄](https://aclanthology.org/2022.lrec-1.172),1854,2,CC BY-SA 4.0
[caBREU](https://huggingface.co/datasets/projecte-aina/caBreu),caBREU,Article Summarization in Catalan,CA,"AINA, BSC",Original,CatalanBench,cabreu,bleu,Language Proficiency,Summarization,Miscellaneous,Summarization,0,[📄](https://aclanthology.org/2024.lrec-main.231),301,1,N/A
[CatalanQA](https://huggingface.co/datasets/projecte-aina/catalanqa),CatalanQA,Extractive QA in Catalan,CA,"AINA, BSC",Original,CatalanBench,catalanqa,f1,Question Answering,Extractive QA,Miscellaneous,Question with context,0,[📄](https://aclanthology.org/2024.lrec-main.231),2135,2,N/A
[CatCoLA](https://huggingface.co/datasets/nbel/CatCoLA),CatCoLA,Linguistic Acceptability in Catalan,CA,"AINA, BSC, UPF",Original,CatalanBench,catcola,mcc,Language Proficiency,Linguistic Acceptability,Miscellaneous,Multi choice QA,0,[📄](http://sepln2024.infor.uva.es/en/accepted-papers/),1020,2,N/A
[ClinDiagnosES](https://huggingface.co/datasets/LenguajeNaturalAI/ClinDiagnosES),ClinDiagnosES,Diagnosis of clinical cases in Spanish ,ES,LenguajeNaturalAI,Original,N/A,clindiagnoses,sas_encoder,Question Answering,Long Form QA,Miscellaneous,Open QA,0,[📄](nan),62,0,N/A
[ClinTreatES](https://huggingface.co/datasets/LenguajeNaturalAI/ClinTreatES),ClinTreatES,Treatment for clinical cases in Spanish ,ES,LenguajeNaturalAI,Original,N/A,clintreates,sas_encoder,Question Answering,Long Form QA,Miscellaneous,Open QA,0,[📄](nan),62,0,N/A
[COPA_ca](https://huggingface.co/datasets/projecte-aina/COPA-ca),COPA_ca,Choice Of Plausible Alternatives in Catalan,CA,"AINA, BSC",Human translation,CatalanBench,copa_ca,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2024.lrec-main.231),500,3,N/A
[COPA_es](https://huggingface.co/datasets/BSC-LT/COPA-es),COPA_es,Choice Of Plausible Alternatives in Spanish,ES,"AINA, BSC",Human translation,SpanishBench,copa_es,acc,Reasoning,Commonsense Reasoning,Miscellaneous,Multi choice QA,2,[📄](nan),500,3,N/A
[CoQCat](https://huggingface.co/datasets/projecte-aina/CoQCat),CoQCat,Conversational Question Answering in Catalan,CA,"AINA, BSC",Original,CatalanBench,coqcat,f1,Question Answering,Extractive QA,Miscellaneous,Question with context,0,[📄](https://aclanthology.org/2024.lrec-main.231/),8986,1,N/A
[Crows Pairs Spanish](https://huggingface.co/datasets/multilingual-crows-pairs/multilingual-crows-pairs),Crows Pairs Spanish,Bias evaluation using stereotypes,ES,"Fundación Vía Libre, UNC",Original,N/A,crows_pairs_spanish,pct_stereotype,Ethics,Stereotype Detection,Miscellaneous,Multi choice QA,2,[📄](https://aclanthology.org/2024.lrec-main.1545/),1509,0,CC BY-SA 4.0
