Model,Size,R,ChemIQ,ether0,SymMolic
Llama-molinst,8B,,3.2 ± 0.6,0.6 ± 0.2,8.9 ± 0.5
ChemDFM-8B,8B,,1.1 ± 0.4,1.9 ± 0.4,3.3 ± 0.3
ChemDFM-13B,13B,,1.4 ± 0.3,0.9 ± 0.4,2.3 ± 0.2
ChemLLM-7B,7B,,0.7 ± 0.3,0.4 ± 0.2,2.4 ± 0.2
LlaSMol-Mistral,7B,,1.6 ± 0.3,0.4 ± 0.2,3.6 ± 0.3
Txgemma-9b,9B,,2.6 ± 0.8,3.9 ± 0.8,0.7 ± 0.1
Txgemma-27b,27B,,4.0 ± 0.6,3.0 ± 0.6,3.0 ± 0.3
Ether0,24B,✓,13.1 ± 1.1,45.9 ± 2.2,2.4 ± 0.3
Qwen3-8b,8B,✓,12.0 ± 1.1,4.1 ± 0.7,19.3 ± 0.7
Qwen3-14b,14B,✓,12.2 ± 1.2,3.7 ± 0.7,24.9 ± 0.8
Qwen3-32b,32B,✓,22.6 ± 1.2,2.8 ± 0.6,28.2 ± 0.8
Qwen3-Think-30B,30B (A3B),✓,31.7 ± 1.5,4.1 ± 0.9,34.8 ± 0.9
Qwen3-Think-235B,235B (A22B),✓,65.5 ± 1.2,9.2 ± 1.3,50.1 ± 0.9
GPT-oss-20b-medium,20B (A4B),✓,20.8 ± 1.0,10.0 ± 1.1,33.8 ± 0.8
GPT-oss-20b-high,20B (A4B),✓,47.4 ± 1.0,13.5 ± 1.3,51.1 ± 0.8
GPT-oss-120b-medium,120B (A5B),✓,36.9 ± 1.2,15.9 ± 1.5,43.1 ± 0.9
GPT-oss-120b-high,120B (A5B),✓,65.6 ± 1.1,18.9 ± 1.5,57.2 ± 0.9
