id,main-event,location,zone,light-conditions,weather-conditions,vehicles-density
clgr0y79557jk076o681egs6p,near-collision,main-road,urban,night,clear-sky,high
clgr0y79657lc076o46dt0xjb,near-collision,main-road,urban,twilight,clear-sky,high
clgr0y79657n0076og7w6grt8,near-collision,main-road,urban,daylight,cloudy,medium
clgr0y7973glw0791gwwz2vd4,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0y7973gm407912vru07yd,near-collision,main-road,urban,night,clear-sky,low
clgr0y79757oo076o8cbhas2f,near-collision,highway,urban,night,clear-sky,medium
clgr0y79757pc076o87zgchfn,collision,highway,urban,night,rain,low
clgr0y7964us8075sbi9f13t4,near-collision,main-road,unknown,night,clear-sky,high
clgr0y7979p5m076z8b9p3tom,near-collision,main-road,urban,daylight,clear-sky,high
clgr0y7985g5i0796guveh1bq,near-collision,main-road,urban,night,clear-sky,medium
clgr0y7985g5q0796hc2ecw8x,near-collision,highway,urban,twilight,clear-sky,high
clgr0y7979p4y076zgqym26v6,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0y7985g7a07961d78hv7z,near-collision,main-road,urban,daylight,clear-sky,high
clgr0wqbq8eqi07861cy4ba7f,near-collision,main-road,urban,daylight,clear-sky,high
clgr0wqbs8aia07a985b74fjw,collision,highway,suburbs,night,clear-sky,high
clgr0wqbs1kh207aa7yxhh9c4,near-collision,main-road,urban,daylight,cloudy,high
clgr0wqbs1khm07aa47yjbnoj,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0yrh87482078sdb4e4bua,near-collision,main-road,urban,daylight,clear-sky,high
clgr0yrh89x52076zejdf60x6,near-collision,main-road,urban,daylight,clear-sky,high
clgr0yrh92cmm07aa1zitdtjj,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0yrh9545i075sba5k4b16,near-collision,main-road,urban,daylight,clear-sky,high
clgr0yrha3njg079114k7epda,near-collision,main-road,urban,daylight,clear-sky,low
clgr0yrha5txr078hdcp5g4sc,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0yrh94t7a078p8j56ccrk,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0yrha547y075sdye37khy,near-collision,main-road,urban,night,clear-sky,high
clgr0yrha8bs207ar0gdsausn,near-collision,main-road,suburbs,daylight,clear-sky,low
clgr0xb7w0s47078odcd1gnt6,near-collision,main-road,urban,night,cloudy,medium
clgr0xb7w10rf0790a50g88sz,near-collision,main-road,urban,night,clear-sky,high
clgr0xb7w4h82076oawcya0to,near-collision,main-road,urban,daylight,clear-sky,high
clgr0xb7w8zlu076zhulo5ejk,near-collision,highway,urban,night,clear-sky,medium
clgr0xb7x0nf6078vc365dn26,near-collision,highway,urban,daylight,clear-sky,medium
clgr0xb7x0nfi078vgeqyf7kt,near-collision,alley,suburbs,daylight,clear-sky,low
clgr0xb7x4ha2076ogite2fkq,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0xb7x7eu207arfb2p0v49,near-collision,main-road,urban,daylight,cloudy,high
clgr0xb7x7eua07arhjd35q6t,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0xb7w4rbi07962ik3ffag,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0xb7w7eqq07areiqe4hqn,near-collision,highway,urban,daylight,clear-sky,medium
clgr0xb7w7equ07ar1qdq2wn7,near-collision,main-road,urban,daylight,cloudy,high
clgr0xb7w8zmq076zggc9a7uo,near-collision,main-road,urban,daylight,clear-sky,high
clgr0xb7x4rdq079621ke0fp1,near-collision,main-road,urban,daylight,rain,low
clgr0xb7x4yjf078hbya0hpst,near-collision,main-road,suburbs,twilight,clear-sky,medium
clgr0xb7w8zmi076z7q0b7elq,near-collision,main-road,urban,night,clear-sky,high
clgr0xb7x4h9a076o5u21h4rc,near-collision,main-road,urban,daylight,cloudy,high
clgr0xb7x6c0e078s48p121sm,near-collision,main-road,urban,daylight,cloudy,high
clgr0uzze36ak075sdrqi52ug,near-collision,main-road,suburbs,daylight,clear-sky,low
clgr0uzze3qui07963vcub7x9,near-collision,main-road,urban,daylight,cloudy,high
clgr0uzze84a1077t9bcmgmwu,near-collision,main-road,urban,daylight,clear-sky,high
clgr0uzzf0irr0790blc9cajj,near-collision,highway,urban,daylight,clear-sky,high
clgr0uzze40ff078hc7iv2grm,near-collision,main-road,urban,daylight,clear-sky,high
clgr0uzze7jgm086s2zqvb7sq,near-collision,main-road,urban,daylight,clear-sky,medium
clgr0uzzf07pe078vbcq89o39,near-collision,main-road,urban,night,clear-sky,high
clgr0xo4r55ce07961wnx5axz,near-collision,main-road,urban,night,clear-sky,high
clgr0xo4s35lk0791dhgp7vqe,near-collision,main-road,urban,daylight,rain,medium
clgr0xo4t35m40791hlia7w7s,near-collision,main-road,urban,daylight,clear-sky,low
clgr0xo4t7twy07arawt098pb,near-collision,main-road,urban,night,clear-sky,high
clgr0xo4r55bq0796c91i0zqw,near-collision,highway,urban,daylight,clear-sky,high
