Model,Quantization,Params (B),Model Size (GB),Prefill (tokens/s),Decode (tokens/s),Backend,MMLU Accuracy
gemma-2-9b,Q8_0,10.159,10.796,2.169,0.012,llama_cpp,42.4
DeepSeek-V2-Lite,Q4_K_M,15.706,10.36,4.304,1.764,llama_cpp,38.9
aya-expanse-8b,Q8_0,9.077,9.644,3.1,0.027,llama_cpp,41.4
aya-23-8B,Q8_0,9.077,9.644,3.174,0.027,llama_cpp,38.3
Yi-1.5-9B,Q8_0,8.829,9.382,2.585,0.019,llama_cpp,41.8
Qwen2.5-14B,Q4_K_M,14.77,8.982,1.916,0.018,llama_cpp,42.5
DeepSeek-V2-Lite,Q4_0_4_4,15.706,8.901,7.788,3.867,llama_cpp,38.6
Phi-3-medium-128k-instruct,Q4_K_M,13.96,8.566,1.819,0.02,llama_cpp,42.7
Hermes-3-Llama-3.1-8B,Q8_0,8.03,8.533,3.286,0.922,llama_cpp,41.8
Qwen2.5-14B,Q4_0_4_4,14.77,8.512,4.698,0.028,llama_cpp,42.1
internlm2_5-7b-chat,Q8_0,7.738,8.222,3.258,1.238,llama_cpp,41.7
dolphin-2.9.2-qwen2-7b,Q8_0,7.616,8.093,4.241,1.301,llama_cpp,38.5
Qwen2.5-7B,Q8_0,7.616,8.093,4.253,1.302,llama_cpp,40.4
Phi-3-medium-128k-instruct,Q4_0_4_4,13.96,7.896,4.715,0.038,llama_cpp,42.1
NexusRaven-V2-13B,Q4_K_M,13.016,7.865,2.066,0.035,llama_cpp,32.9
Mistral-7B-Instruct-v0.3,Q8_0,7.248,7.702,4.104,1.29,llama_cpp,43.2
dolphin-2.9.3-mistral-7B-32k,Q8_0,7.248,7.702,4.135,1.294,llama_cpp,40.4
Yarn-Mistral-7b-128k,Q8_0,7.242,7.695,4.082,1.292,llama_cpp,40.2
Starling-LM-7B-beta,Q8_0,7.242,7.695,4.132,1.296,llama_cpp,41.3
Mistral-Nemo-Base-2407,Q4_K_M,12.248,7.469,2.453,1.358,llama_cpp,41.2
NexusRaven-V2-13B,Q4_0_4_4,13.016,7.365,4.979,1.348,llama_cpp,33.0
OLMoE-1B-7B-0924,Q8_0,6.919,7.358,26.942,7.489,llama_cpp,38.3
OLMo-7B-0724-hf,Q8_0,6.888,7.319,4.515,1.371,llama_cpp,36.2
mpt-7b-instruct,Q8_0,6.856,7.285,4.287,1.367,llama_cpp,35.3
Amber,Q8_0,6.738,7.16,4.442,1.373,llama_cpp,33.1
Mistral-Nemo-Base-2407,Q4_0_4_4,12.248,7.064,9.103,1.48,llama_cpp,41.9
gemma-2-9b,Q4_K_M,10.159,6.508,3.531,1.629,llama_cpp,41.8
Yarn-Solar-10b-64k,Q4_K_M,10.732,6.461,2.905,1.503,llama_cpp,38.8
SOLAR-10.7B-v1.0,Q4_K_M,10.732,6.461,2.925,1.505,llama_cpp,39.4
SOLAR-10.7B-Instruct-v1.0,Q4_K_M,10.732,6.461,2.916,1.506,llama_cpp,40.4
Yi-1.5-6B,Q8_0,6.061,6.441,5.269,1.584,llama_cpp,39.9
gemma-2-9b,Q4_0_4_4,10.159,6.19,10.553,1.757,llama_cpp,42.4
SOLAR-10.7B-v1.0,Q4_0_4_4,10.732,6.072,9.315,1.635,llama_cpp,39.5
SOLAR-10.7B-Instruct-v1.0,Q4_0_4_4,10.732,6.072,9.332,1.635,llama_cpp,40.7
Yarn-Solar-10b-64k,Q4_0_4_4,10.732,6.072,9.352,1.638,llama_cpp,39.4
aya-expanse-8b,Q4_K_M,9.077,5.906,4.406,1.911,llama_cpp,41.6
aya-23-8B,Q4_K_M,9.077,5.906,4.428,1.914,llama_cpp,37.8
aya-expanse-8b,Q4_0_4_4,9.077,5.647,14.074,2.05,llama_cpp,41.5
aya-23-8B,Q4_0_4_4,9.077,5.647,14.113,2.051,llama_cpp,38.3
Yi-1.5-9B,Q4_K_M,8.829,5.327,3.681,1.85,llama_cpp,41.2
Yi-1.5-9B,Q4_0_4_4,8.829,5.035,11.33,2.0,llama_cpp,40.5
Hermes-3-Llama-3.1-8B,Q4_K_M,8.03,4.913,4.375,2.078,llama_cpp,41.2
Llama-3.1-8B,Q4_K_M,8.03,4.913,4.403,2.086,llama_cpp,40.5
internlm2_5-7b-chat,Q4_K_M,7.738,4.711,4.4,2.133,llama_cpp,41.3
Qwen2.5-7B,Q4_K_M,7.616,4.677,4.769,2.201,llama_cpp,40.2
dolphin-2.9.2-qwen2-7b,Q4_K_M,7.616,4.677,4.759,2.204,llama_cpp,38.1
Llama-3.1-8B,Q4_0_4_4,8.03,4.653,13.99,2.245,llama_cpp,39.7
Hermes-3-Llama-3.1-8B,Q4_0_4_4,8.03,4.653,14.006,2.245,llama_cpp,40.7
internlm2_5-7b-chat,Q4_0_4_4,7.738,4.451,14.036,2.31,llama_cpp,41.7
mpt-7b-instruct,Q4_K_M,6.856,4.442,4.162,2.213,llama_cpp,35.3
Qwen2.5-7B,Q4_0_4_4,7.616,4.425,15.563,2.386,llama_cpp,40.1
dolphin-2.9.2-qwen2-7b,Q4_0_4_4,7.616,4.425,15.58,2.387,llama_cpp,37.7
dolphin-2.9.3-mistral-7B-32k,Q4_K_M,7.248,4.372,4.387,2.227,llama_cpp,39.7
Mistral-7B-Instruct-v0.3,Q4_K_M,7.248,4.372,4.462,2.241,llama_cpp,42.9
Starling-LM-7B-beta,Q4_K_M,7.242,4.368,4.406,2.234,llama_cpp,41.0
Yarn-Mistral-7b-128k,Q4_K_M,7.242,4.368,4.434,2.245,llama_cpp,40.1
