Model,Framework,Scenario,Problem,Runs,Successes
claude-3.5-sonnet-20240620,react,blogging,addAltTextToImage,10,10
claude-3.5-sonnet-20240620,react,blogging,addCanonicalUrl,10,10
claude-3.5-sonnet-20240620,react,blogging,addComment,10,10
claude-3.5-sonnet-20240620,react,blogging,addMetaDescription,10,10
claude-3.5-sonnet-20240620,react,blogging,addMetaKeywords,10,10
claude-3.5-sonnet-20240620,react,blogging,addMetaTitle,10,10
claude-3.5-sonnet-20240620,react,blogging,addSitemap,10,10
claude-3.5-sonnet-20240620,react,blogging,addStructuredData,10,10
claude-3.5-sonnet-20240620,react,blogging,analyzeCommentSentiment,10,0
claude-3.5-sonnet-20240620,react,blogging,analyzeKeywordDensity,10,10
claude-3.5-sonnet-20240620,react,blogging,analyzeReaderEngagement,10,0
claude-3.5-sonnet-20240620,react,blogging,approveRejectComments,10,10
claude-3.5-sonnet-20240620,react,blogging,assignPostToCategory,10,10
claude-3.5-sonnet-20240620,react,blogging,assignTagsToPost,10,0
claude-3.5-sonnet-20240620,react,blogging,checkForBrokenLinks,10,10
claude-3.5-sonnet-20240620,react,blogging,createBlogPost,10,10
claude-3.5-sonnet-20240620,react,blogging,createCategory,10,10
claude-3.5-sonnet-20240620,react,blogging,createTag,10,10
claude-3.5-sonnet-20240620,react,blogging,deleteBlogPost,10,10
claude-3.5-sonnet-20240620,react,blogging,deleteCategory,10,10
claude-3.5-sonnet-20240620,react,blogging,deleteComment,10,10
claude-3.5-sonnet-20240620,react,blogging,deleteTag,10,10
claude-3.5-sonnet-20240620,react,blogging,dislikeComment,10,10
claude-3.5-sonnet-20240620,react,blogging,draftBlogPost,10,10
claude-3.5-sonnet-20240620,react,blogging,editBlogPost,10,0
claude-3.5-sonnet-20240620,react,blogging,editCategory,10,0
claude-3.5-sonnet-20240620,react,blogging,editComment,10,0
claude-3.5-sonnet-20240620,react,blogging,editTag,10,0
claude-3.5-sonnet-20240620,react,blogging,likeComment,10,10
claude-3.5-sonnet-20240620,react,blogging,postPerformanceReport,10,0
claude-3.5-sonnet-20240620,react,blogging,publishBlogPost,10,10
claude-3.5-sonnet-20240620,react,blogging,replyToComment,10,10
claude-3.5-sonnet-20240620,react,blogging,reportComment,10,10
claude-3.5-sonnet-20240620,react,blogging,retrieveAllBlogPosts,10,7
claude-3.5-sonnet-20240620,react,blogging,retrieveCommentCount,10,10
claude-3.5-sonnet-20240620,react,blogging,retrieveComments,10,10
claude-3.5-sonnet-20240620,react,blogging,retrieveDraftBlogPosts,10,10
claude-3.5-sonnet-20240620,react,blogging,retrieveOverallSiteAnalytics,10,10
claude-3.5-sonnet-20240620,react,blogging,retrievePostAnalytics,10,0
claude-3.5-sonnet-20240620,react,blogging,retrievePostsByCategory,10,10
claude-3.5-sonnet-20240620,react,blogging,retrievePostsByTag,10,10
claude-3.5-sonnet-20240620,react,blogging,retrievePublishedBlogPosts,10,10
claude-3.5-sonnet-20240620,react,blogging,retrieveScheduledBlogPosts,10,10
claude-3.5-sonnet-20240620,react,blogging,schedulePostForPublication,10,10
claude-3.5-sonnet-20240620,react,blogging,seoAuditReport,10,10
claude-3.5-sonnet-20240620,react,blogging,trackBounceRate,10,10
claude-3.5-sonnet-20240620,react,blogging,trackPostLikesAndDislikes,10,10
claude-3.5-sonnet-20240620,react,blogging,trackPostShares,10,10
claude-3.5-sonnet-20240620,react,blogging,trackPostViews,10,10
claude-3.5-sonnet-20240620,react,blogging,trackUniqueVisitorsPerPost,10,10
claude-3.5-sonnet-20240620,react,customersupport,addArticle,10,10
claude-3.5-sonnet-20240620,react,customersupport,agentNotification,10,10
claude-3.5-sonnet-20240620,react,customersupport,agentPerformanceTracking,10,10
claude-3.5-sonnet-20240620,react,customersupport,agentTracking,10,10
claude-3.5-sonnet-20240620,react,customersupport,archiveArticle,10,10
claude-3.5-sonnet-20240620,react,customersupport,autoResponseSending,10,10
claude-3.5-sonnet-20240620,react,customersupport,autoResponseTemplates,10,10
claude-3.5-sonnet-20240620,react,customersupport,autoResponseTracking,10,10
claude-3.5-sonnet-20240620,react,customersupport,categorizeArticles,10,0
claude-3.5-sonnet-20240620,react,customersupport,customNotificationRules,10,10
claude-3.5-sonnet-20240620,react,customersupport,customNotificationTracking,10,10
claude-3.5-sonnet-20240620,react,customersupport,customReportCreation,10,10
claude-3.5-sonnet-20240620,react,customersupport,customReportSharing,10,10
claude-3.5-sonnet-20240620,react,customersupport,deleteArticle,10,10
claude-3.5-sonnet-20240620,react,customersupport,editArticle,10,10
claude-3.5-sonnet-20240620,react,customersupport,emailNotifications,10,10
claude-3.5-sonnet-20240620,react,customersupport,fileAttachments,10,10
claude-3.5-sonnet-20240620,react,customersupport,inAppNotifications,10,10
claude-3.5-sonnet-20240620,react,customersupport,internalNotes,10,10
claude-3.5-sonnet-20240620,react,customersupport,notificationDeliveryTracking,10,0
claude-3.5-sonnet-20240620,react,customersupport,notificationPreferences,10,10
claude-3.5-sonnet-20240620,react,customersupport,rateArticles,10,10
claude-3.5-sonnet-20240620,react,customersupport,reportExport,10,10
claude-3.5-sonnet-20240620,react,customersupport,responseHistory,10,10
claude-3.5-sonnet-20240620,react,customersupport,responseTimeAnalysis,10,10
claude-3.5-sonnet-20240620,react,customersupport,restoreArchivedArticle,10,10
claude-3.5-sonnet-20240620,react,customersupport,searchArticles,10,0
claude-3.5-sonnet-20240620,react,customersupport,slaBreachNotification,10,10
claude-3.5-sonnet-20240620,react,customersupport,slaComplianceTracking,10,10
claude-3.5-sonnet-20240620,react,customersupport,slaPerformanceReporting,10,10
claude-3.5-sonnet-20240620,react,customersupport,smsNotifications,10,10
claude-3.5-sonnet-20240620,react,customersupport,suggestArticles,10,0
claude-3.5-sonnet-20240620,react,customersupport,ticketAssignment,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketCategorization,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketComments,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketEscalation,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketListDisplay,10,2
claude-3.5-sonnet-20240620,react,customersupport,ticketPrioritization,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketReassignment,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketResolutionRate,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketSorting,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketStatusChange,10,10
claude-3.5-sonnet-20240620,react,customersupport,ticketStatusFilter,10,0
claude-3.5-sonnet-20240620,react,customersupport,ticketStatusNotification,10,10
